object,model,period,group,statistics,inside,coverage,w1_to_market,w1_reference,w1_ratio
brent,gaussian,contrast,volatility range,3,0.0,0.0,,,
brent,gaussian,contrast,tails (counts),6,6.0,1.0,,,
brent,gaussian,contrast,persistence,5,2.0,0.4,,,
brent,gaussian,contrast,concentration,1,1.0,1.0,,,
brent,gaussian,contrast,return vs future variance,3,2.0,0.6666666666666666,,,
brent,gaussian,contrast,W1 / sim-sim reference,1,,,0.0975218972757251,0.0503755777997337,1.9358963516690548
brent,gaussian,describe,volatility range,3,0.0,0.0,,,
brent,gaussian,describe,tails (counts),6,0.0,0.0,,,
brent,gaussian,describe,persistence,5,1.0,0.2,,,
brent,gaussian,describe,concentration,1,0.0,0.0,,,
brent,gaussian,describe,return vs future variance,3,1.0,0.3333333333333333,,,
brent,gaussian,describe,W1 / sim-sim reference,1,,,0.3730494698974106,0.0316978013221746,11.768938359659638
brent,stoch_vol,contrast,volatility range,3,3.0,1.0,,,
brent,stoch_vol,contrast,tails (counts),6,6.0,1.0,,,
brent,stoch_vol,contrast,persistence,5,5.0,1.0,,,
brent,stoch_vol,contrast,concentration,1,1.0,1.0,,,
brent,stoch_vol,contrast,return vs future variance,3,3.0,1.0,,,
brent,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.0834629104249885,0.0770479388283903,1.0832594835649834
brent,stoch_vol,describe,volatility range,3,1.0,0.3333333333333333,,,
brent,stoch_vol,describe,tails (counts),6,2.0,0.3333333333333333,,,
brent,stoch_vol,describe,persistence,5,3.0,0.6,,,
brent,stoch_vol,describe,concentration,1,1.0,1.0,,,
brent,stoch_vol,describe,return vs future variance,3,1.0,0.3333333333333333,,,
brent,stoch_vol,describe,W1 / sim-sim reference,1,,,0.2645488929036605,0.053769759178358,4.920031202411258
brent,sv_jump,contrast,volatility range,3,3.0,1.0,,,
brent,sv_jump,contrast,tails (counts),6,6.0,1.0,,,
brent,sv_jump,contrast,persistence,5,5.0,1.0,,,
brent,sv_jump,contrast,concentration,1,1.0,1.0,,,
brent,sv_jump,contrast,return vs future variance,3,3.0,1.0,,,
brent,sv_jump,contrast,W1 / sim-sim reference,1,,,0.1180315503361715,0.0986069141915024,1.1969906096741343
brent,sv_jump,describe,volatility range,3,1.0,0.3333333333333333,,,
brent,sv_jump,describe,tails (counts),6,4.0,0.6666666666666666,,,
brent,sv_jump,describe,persistence,5,2.0,0.4,,,
brent,sv_jump,describe,concentration,1,1.0,1.0,,,
brent,sv_jump,describe,return vs future variance,3,1.0,0.3333333333333333,,,
brent,sv_jump,describe,W1 / sim-sim reference,1,,,0.2102148730808274,0.0683020140846452,3.0777258313395075
eurusd,gaussian,contrast,volatility range,3,0.0,0.0,,,
eurusd,gaussian,contrast,tails (counts),6,5.0,0.8333333333333334,,,
eurusd,gaussian,contrast,persistence,5,3.0,0.6,,,
eurusd,gaussian,contrast,concentration,1,1.0,1.0,,,
eurusd,gaussian,contrast,return vs future variance,3,3.0,1.0,,,
eurusd,gaussian,contrast,W1 / sim-sim reference,1,,,0.0640109794264411,0.0496664192149322,1.2888180875176967
eurusd,gaussian,describe,volatility range,3,2.0,0.6666666666666666,,,
eurusd,gaussian,describe,tails (counts),6,4.0,0.6666666666666666,,,
eurusd,gaussian,describe,persistence,5,2.0,0.4,,,
eurusd,gaussian,describe,concentration,1,0.0,0.0,,,
eurusd,gaussian,describe,return vs future variance,3,3.0,1.0,,,
eurusd,gaussian,describe,W1 / sim-sim reference,1,,,0.0718472941906764,0.0313676629997473,2.290489227433207
eurusd,stoch_vol,contrast,volatility range,3,1.0,0.3333333333333333,,,
eurusd,stoch_vol,contrast,tails (counts),6,6.0,1.0,,,
eurusd,stoch_vol,contrast,persistence,5,3.0,0.6,,,
eurusd,stoch_vol,contrast,concentration,1,1.0,1.0,,,
eurusd,stoch_vol,contrast,return vs future variance,3,3.0,1.0,,,
eurusd,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.0852447605671246,0.0769185301486327,1.10824739373468
eurusd,stoch_vol,describe,volatility range,3,2.0,0.6666666666666666,,,
eurusd,stoch_vol,describe,tails (counts),6,6.0,1.0,,,
eurusd,stoch_vol,describe,persistence,5,2.0,0.4,,,
eurusd,stoch_vol,describe,concentration,1,1.0,1.0,,,
eurusd,stoch_vol,describe,return vs future variance,3,3.0,1.0,,,
eurusd,stoch_vol,describe,W1 / sim-sim reference,1,,,0.0734502632838674,0.0554834560248347,1.3238227851378015
eurusd,sv_jump,contrast,volatility range,3,1.0,0.3333333333333333,,,
eurusd,sv_jump,contrast,tails (counts),6,6.0,1.0,,,
eurusd,sv_jump,contrast,persistence,5,5.0,1.0,,,
eurusd,sv_jump,contrast,concentration,1,1.0,1.0,,,
eurusd,sv_jump,contrast,return vs future variance,3,3.0,1.0,,,
eurusd,sv_jump,contrast,W1 / sim-sim reference,1,,,0.1351925422872885,0.0988945266264585,1.3670376602128225
eurusd,sv_jump,describe,volatility range,3,2.0,0.6666666666666666,,,
eurusd,sv_jump,describe,tails (counts),6,6.0,1.0,,,
eurusd,sv_jump,describe,persistence,5,5.0,1.0,,,
eurusd,sv_jump,describe,concentration,1,1.0,1.0,,,
eurusd,sv_jump,describe,return vs future variance,3,3.0,1.0,,,
eurusd,sv_jump,describe,W1 / sim-sim reference,1,,,0.121067341402221,0.0706409358686699,1.7138411306908494
ff_momentum,gaussian,contrast,volatility range,3,1.0,0.3333333333333333,,,
ff_momentum,gaussian,contrast,tails (counts),6,3.0,0.5,,,
ff_momentum,gaussian,contrast,persistence,5,2.0,0.4,,,
ff_momentum,gaussian,contrast,concentration,1,0.0,0.0,,,
ff_momentum,gaussian,contrast,return vs future variance,3,2.0,0.6666666666666666,,,
ff_momentum,gaussian,contrast,W1 / sim-sim reference,1,,,0.1047133059405992,0.049172235595201,2.129520951673362
ff_momentum,gaussian,describe,volatility range,3,0.0,0.0,,,
ff_momentum,gaussian,describe,tails (counts),6,1.0,0.16666666666666666,,,
ff_momentum,gaussian,describe,persistence,5,0.0,0.0,,,
ff_momentum,gaussian,describe,concentration,1,0.0,0.0,,,
ff_momentum,gaussian,describe,return vs future variance,3,2.0,0.6666666666666666,,,
ff_momentum,gaussian,describe,W1 / sim-sim reference,1,,,0.2308656531525706,0.0324811888886846,7.107672503730206
ff_momentum,stoch_vol,contrast,volatility range,3,3.0,1.0,,,
ff_momentum,stoch_vol,contrast,tails (counts),6,5.0,0.8333333333333334,,,
ff_momentum,stoch_vol,contrast,persistence,5,5.0,1.0,,,
ff_momentum,stoch_vol,contrast,concentration,1,1.0,1.0,,,
ff_momentum,stoch_vol,contrast,return vs future variance,3,3.0,1.0,,,
ff_momentum,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.1021465630586818,0.0772046002700129,1.3230631685344874
ff_momentum,stoch_vol,describe,volatility range,3,3.0,1.0,,,
ff_momentum,stoch_vol,describe,tails (counts),6,5.0,0.8333333333333334,,,
ff_momentum,stoch_vol,describe,persistence,5,5.0,1.0,,,
ff_momentum,stoch_vol,describe,concentration,1,1.0,1.0,,,
ff_momentum,stoch_vol,describe,return vs future variance,3,3.0,1.0,,,
ff_momentum,stoch_vol,describe,W1 / sim-sim reference,1,,,0.1213601445108499,0.0558125584675292,2.1744236036313436
ff_momentum,sv_jump,contrast,volatility range,3,3.0,1.0,,,
ff_momentum,sv_jump,contrast,tails (counts),6,5.0,0.8333333333333334,,,
ff_momentum,sv_jump,contrast,persistence,5,5.0,1.0,,,
ff_momentum,sv_jump,contrast,concentration,1,1.0,1.0,,,
ff_momentum,sv_jump,contrast,return vs future variance,3,3.0,1.0,,,
ff_momentum,sv_jump,contrast,W1 / sim-sim reference,1,,,0.1317758419842563,0.1014960296598275,1.2983349439964709
ff_momentum,sv_jump,describe,volatility range,3,3.0,1.0,,,
ff_momentum,sv_jump,describe,tails (counts),6,6.0,1.0,,,
ff_momentum,sv_jump,describe,persistence,5,1.0,0.2,,,
