asset,label,category,source_file,snapshot_sha256,pinned_by,column_or_field,economic_meaning,units,frequency,coverage,study_window_n,transform,calendar,calendar_check,in_model_contrast,open_issue
ff_momentum,Momentum factor (daily),return,F-F_Momentum_Factor_daily_20260913T220310Z.zip,b039d986db27fc83,provenance,kenfrench,"a zero-investment long-short portfolio return, gross of costs","daily factor return, decimal",daily,1926-11-03..2026-07-31,1259.0,"already a return; the date set is checked against the calendar, and a factor return exists on the first day of the window while a price series needs a previous close -- that is a boundary difference, not a missing day",nyse,independent rule set,True,
gld,SPDR Gold Shares (GLD),return,GLD_HISTORICAL_20260914T014635Z.xlsx,d00908d12445a700,provenance,gld_xlsx,"an investment vehicle. The sponsor fee is paid in gold, so ounces per share decline over time and a GLD return is NOT a pure gold price return. GLD pays no distributions, so no distribution adjustment is needed.",share closing price in USD; returns are decimals,daily,2004-11-18..2026-09-10,1258.0,P_t/P_(t-1) - 1 between consecutive observed days,nyse,independent rule set,True,
sp500,S&P 500,price_change,SP500_20260913T031157Z.csv,7f08dc75562f523e,provenance,SP500,"index points, price index, dividends excluded","index points, price index, dividends excluded",daily,2016-09-12..2026-09-11,1258.0,P_t/P_(t-1) - 1 between consecutive observed days,nyse,independent rule set,True,
nasdaq100,Nasdaq-100,price_change,NASDAQ100_20260913T220232Z.csv,6739617594e497ca,provenance,NASDAQ100,"index points, price index, dividends excluded","index points, price index, dividends excluded",daily,1986-01-02..2026-09-11,1258.0,P_t/P_(t-1) - 1 between consecutive observed days,nyse,independent rule set,True,
nikkei225,Nikkei 225,price_change,NIKKEI225_20260913T220233Z.csv,26e2904304c406e7,provenance,NIKKEI225,"index points (JPY), price index, dividends excluded","index points (JPY), price index, dividends excluded",daily,1949-05-16..2026-09-11,1220.0,P_t/P_(t-1) - 1 between consecutive observed days,jpx,independent rule set,True,
sx5e,EURO STOXX 50,price_change,,,,2,"the official STOXX file hbrbcpe.txt is public and its own header row names the columns SX5P | SX5E | SXXP | SXXE | ... so column index 2 is EURO STOXX 50 -- confirmed by the file, not inferred. But this archive ends on 2016-10-04 and does not reach the study window, so the object is NOT in the baseline. The previous round's conclusion that Euro Stoxx was unavailable was reached from GUESSED FRED ids returning 404, which was the wrong kind of inference; this is the right reason, and it is a coverage gap rather than an absence of a source.","index points (EUR), price index, dividends excluded",daily,,,,,,False,"source found and column confirmed, COVERAGE INSUFFICIENT"
brent,Brent crude spot,price_change,DCOILBRENTEU_20260914T014818Z.csv,90b25160f3193d9c,provenance,DCOILBRENTEU,"a SPOT price. Not a futures return and not a continuous contract: no roll, no financing, no collateral yield.","USD per barrel, Europe Brent FOB spot",daily,1987-05-20..2026-09-09,1272.0,P_t/P_(t-1) - 1 between consecutive observed days,source_grid,the file's own date grid; weaker check,True,
eurusd,EUR/USD spot,price_change,DEXUSEU_20260914T014818Z.csv,9ec250f51460ee38,provenance,DEXUSEU,"a SPOT rate change. It contains no interest differential, so it is not an FX carry total return.","US dollars per one euro (FRED DEXUSEU quotes USD per EUR), so a rise means the euro appreciating",daily,1999-01-04..2026-09-04,1245.0,P_t/P_(t-1) - 1 between consecutive observed days,source_grid,the file's own date grid; weaker check,True,
usdjpy,USD/JPY spot,price_change,DEXJPUS_20260914T014818Z.csv,ded15c63243b4ba5,provenance,DEXJPUS,a SPOT rate change; not an FX carry total return.,"Japanese yen per one US dollar (FRED DEXJPUS quotes JPY per USD), so a rise means the dollar appreciating",daily,1971-01-04..2026-09-04,1245.0,P_t/P_(t-1) - 1 between consecutive observed days,source_grid,the file's own date grid; weaker check,True,
vix,VIX,market_state,CBOE_VIX_20260914T014635Z.csv,cb3515efe5577d39,provenance,CLOSE,"percent, annualised implied volatility; a change is in VIX POINTS and is not a return","percent, annualised implied volatility; a change is in VIX POINTS and is not a return",daily,1990-01-02..2026-09-11,,,,,False,
ovx,OVX (crude oil implied vol),market_state,CBOE_OVX_20260914T014635Z.csv,06e3a16671f19cce,provenance,OVX,"percent, annualised implied volatility; changes in points","percent, annualised implied volatility; changes in points",daily,2009-09-18..2026-09-11,,,,,False,
gvz,GVZ (gold implied vol),market_state,CBOE_GVZ_20260914T014635Z.csv,5ba0197cd0d43ef0,provenance,GVZ,"percent, annualised implied volatility; changes in points","percent, annualised implied volatility; changes in points",daily,2009-09-18..2026-09-11,,,,,False,
dgs2,US 2y Treasury yield,market_state,DGS2_20260914T014818Z.csv,5594fe6fc64ea032,provenance,DGS2,"percent per annum, a LEVEL; changes reported in basis points","percent per annum, a LEVEL; changes reported in basis points",daily,1976-06-01..2026-09-10,,,,,False,
dgs10,US 10y Treasury yield,market_state,DGS10_20260914T014818Z.csv,51cf02cc3952dd14,provenance,DGS10,"percent per annum, a LEVEL; changes reported in basis points","percent per annum, a LEVEL; changes reported in basis points",daily,1962-01-02..2026-09-10,,,,,False,
dgs30,US 30y Treasury yield,market_state,DGS30_20260914T014818Z.csv,9343918d2bfa19d6,provenance,DGS30,"percent per annum, a LEVEL; changes reported in basis points","percent per annum, a LEVEL; changes reported in basis points",daily,1977-02-15..2026-09-10,,,,,False,
wti,WTI crude spot,market_state,DCOILWTICO_20260914T014818Z.csv,fa61efee3e74b112,provenance,DCOILWTICO,"USD per barrel, Cushing OK spot","USD per barrel, Cushing OK spot",daily,1986-01-02..2026-09-09,,,,,False,"the series prints -36.98 on 2020-04-20. A simple return across a sign change is not a meaningful quantity, so no return series is formed. The observation is NOT deleted, NOT winsorised and NOT log-transformed; the level series is reported instead and the negative print is shown."
