asset,label,period,n_days,units,level_p10,level_median,level_p90,level_min,level_max,change_units,change_sd,change_p01,change_p99,n_negative_levels,returns_computed,why
vix,VIX,describe,1259,"percent, annualised implied volatility; a change is in VIX POINTS and is not a return",10.716000000000001,16.28,27.95,9.14,82.69,index points per day,2.201174330325873,-5.540300000000002,6.992900000000003,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
vix,VIX,contrast,513,"percent, annualised implied volatility; a change is in VIX POINTS and is not a return",13.708,20.58,29.916,12.07,36.45,index points per day,1.410608716715085,-2.8999999999999986,4.550099999999998,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
ovx,OVX (crude oil implied vol),describe,1257,"percent, annualised implied volatility; changes in points",25.752,33.43,52.224000000000004,17.86,325.15,index points per day,7.131405815067625,-13.686999999999998,13.336000000000011,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
ovx,OVX (crude oil implied vol),contrast,501,"percent, annualised implied volatility; changes in points",31.3,42.92,53.43,24.23,78.91,index points per day,2.1104259060696777,-5.3952,5.721399999999997,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
gvz,GVZ (gold implied vol),describe,1257,"percent, annualised implied volatility; changes in points",10.69,13.64,21.33,8.88,48.98,index points per day,0.9710302297535262,-2.523999999999998,3.3520000000000074,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
gvz,GVZ (gold implied vol),contrast,501,"percent, annualised implied volatility; changes in points",12.53,16.51,20.05,10.22,31.7,index points per day,0.883550157808104,-2.0521000000000007,3.260900000000001,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
dgs2,US 2y Treasury yield,describe,1251,"percent per annum, a LEVEL; changes reported in basis points",0.14,1.36,2.58,0.09,2.98,basis points per day,3.234506606329489,-10.509999999999998,7.999999999999985,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
dgs2,US 2y Treasury yield,contrast,499,"percent per annum, a LEVEL; changes reported in basis points",1.9260000000000004,4.2,4.96,0.77,5.19,basis points per day,8.853604112819049,-27.0,20.999999999999996,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
dgs10,US 10y Treasury yield,describe,1251,"percent per annum, a LEVEL; changes reported in basis points",0.74,2.06,2.89,0.52,3.24,basis points per day,4.297399068157483,-11.00000000000001,10.000000000000009,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
dgs10,US 10y Treasury yield,contrast,499,"percent per annum, a LEVEL; changes reported in basis points",2.148,3.57,4.34,1.63,4.98,basis points per day,7.632312883174272,-16.030000000000015,14.999999999999991,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
dgs30,US 30y Treasury yield,describe,1251,"percent per annum, a LEVEL; changes reported in basis points",1.47,2.57,3.11,0.99,3.46,basis points per day,4.510960160459789,-12.0,9.509999999999987,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
dgs30,US 30y Treasury yield,contrast,499,"percent per annum, a LEVEL; changes reported in basis points",2.44,3.73,4.4319999999999995,2.01,5.11,basis points per day,6.56986355695445,-15.030000000000035,14.999999999999991,0,False,"a market-state series: a change in it is not a return on anything, so no return series is formed and no model is fitted to it"
wti,WTI crude spot,describe,1252,"USD per barrel, Cushing OK spot",40.550999999999995,56.480000000000004,71.19,-36.98,85.64,USD per barrel per day,2.4206248351510316,-3.830000000000002,3.3549999999999933,1,False,"the series prints -36.98 on 2020-04-20. A simple return across a sign change is not a meaningful quantity, so no return series is formed. The observation is NOT deleted, NOT winsorised and NOT log-transformed; the level series is reported instead and the negative print is shown."
wti,WTI crude spot,contrast,499,"USD per barrel, Cushing OK spot",71.776,82.83,106.982,66.61,123.64,USD per barrel per day,2.439569281581826,-7.301600000000001,6.3233999999999755,0,False,"the series prints -36.98 on 2020-04-20. A simple return across a sign change is not a meaningful quantity, so no return series is formed. The observation is NOT deleted, NOT winsorised and NOT log-transformed; the level series is reported instead and the negative print is shown."
