object,model,period,group,statistics,inside,coverage,w1_to_market,w1_reference,w1_ratio
ff_momentum,gaussian,contrast,volatility range,3,1.0,0.3333333333333333,,,
ff_momentum,gaussian,contrast,tails (counts),6,3.0,0.5,,,
ff_momentum,gaussian,contrast,persistence,5,2.0,0.4,,,
ff_momentum,gaussian,contrast,concentration,1,0.0,0.0,,,
ff_momentum,gaussian,contrast,return vs future variance,3,3.0,1.0,,,
ff_momentum,gaussian,contrast,W1 / sim-sim reference,1,,,0.1050661071516418,0.0494530699676137,2.1245618769562435
ff_momentum,gaussian,describe,volatility range,3,0.0,0.0,,,
ff_momentum,gaussian,describe,tails (counts),6,1.0,0.16666666666666666,,,
ff_momentum,gaussian,describe,persistence,5,0.0,0.0,,,
ff_momentum,gaussian,describe,concentration,1,0.0,0.0,,,
ff_momentum,gaussian,describe,return vs future variance,3,2.0,0.6666666666666666,,,
ff_momentum,gaussian,describe,W1 / sim-sim reference,1,,,0.2307838574564815,0.0316657934171093,7.288112267282934
ff_momentum,stoch_vol,contrast,volatility range,3,3.0,1.0,,,
ff_momentum,stoch_vol,contrast,tails (counts),6,5.0,0.8333333333333334,,,
ff_momentum,stoch_vol,contrast,persistence,5,5.0,1.0,,,
ff_momentum,stoch_vol,contrast,concentration,1,1.0,1.0,,,
ff_momentum,stoch_vol,contrast,return vs future variance,3,3.0,1.0,,,
ff_momentum,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.1005453746696334,0.0771498867503837,1.3032472101345416
ff_momentum,stoch_vol,describe,volatility range,3,3.0,1.0,,,
ff_momentum,stoch_vol,describe,tails (counts),6,5.0,0.8333333333333334,,,
ff_momentum,stoch_vol,describe,persistence,5,5.0,1.0,,,
ff_momentum,stoch_vol,describe,concentration,1,1.0,1.0,,,
ff_momentum,stoch_vol,describe,return vs future variance,3,3.0,1.0,,,
ff_momentum,stoch_vol,describe,W1 / sim-sim reference,1,,,0.1212149906275306,0.0561487404589661,2.158819407821185
ff_momentum,sv_jump,contrast,volatility range,3,3.0,1.0,,,
ff_momentum,sv_jump,contrast,tails (counts),6,5.0,0.8333333333333334,,,
ff_momentum,sv_jump,contrast,persistence,5,5.0,1.0,,,
ff_momentum,sv_jump,contrast,concentration,1,1.0,1.0,,,
ff_momentum,sv_jump,contrast,return vs future variance,3,3.0,1.0,,,
ff_momentum,sv_jump,contrast,W1 / sim-sim reference,1,,,0.1328921940301917,0.0993302043173761,1.3378830230287215
ff_momentum,sv_jump,describe,volatility range,3,3.0,1.0,,,
ff_momentum,sv_jump,describe,tails (counts),6,6.0,1.0,,,
ff_momentum,sv_jump,describe,persistence,5,0.0,0.0,,,
ff_momentum,sv_jump,describe,concentration,1,1.0,1.0,,,
ff_momentum,sv_jump,describe,return vs future variance,3,2.0,0.6666666666666666,,,
ff_momentum,sv_jump,describe,W1 / sim-sim reference,1,,,0.0971915129548701,0.0679785946139413,1.4297370151123674
nasdaq100,gaussian,contrast,volatility range,3,0.0,0.0,,,
nasdaq100,gaussian,contrast,tails (counts),6,5.0,0.8333333333333334,,,
nasdaq100,gaussian,contrast,persistence,5,2.0,0.4,,,
nasdaq100,gaussian,contrast,concentration,1,1.0,1.0,,,
nasdaq100,gaussian,contrast,return vs future variance,3,3.0,1.0,,,
nasdaq100,gaussian,contrast,W1 / sim-sim reference,1,,,0.0668537815606959,0.048720826914841,1.3721807652720968
nasdaq100,gaussian,describe,volatility range,3,0.0,0.0,,,
nasdaq100,gaussian,describe,tails (counts),6,1.0,0.16666666666666666,,,
nasdaq100,gaussian,describe,persistence,5,1.0,0.2,,,
nasdaq100,gaussian,describe,concentration,1,0.0,0.0,,,
nasdaq100,gaussian,describe,return vs future variance,3,2.0,0.6666666666666666,,,
nasdaq100,gaussian,describe,W1 / sim-sim reference,1,,,0.2332137538962064,0.0316540850889736,7.367572091901788
nasdaq100,stoch_vol,contrast,volatility range,3,3.0,1.0,,,
nasdaq100,stoch_vol,contrast,tails (counts),6,6.0,1.0,,,
nasdaq100,stoch_vol,contrast,persistence,5,5.0,1.0,,,
nasdaq100,stoch_vol,contrast,concentration,1,1.0,1.0,,,
nasdaq100,stoch_vol,contrast,return vs future variance,3,3.0,1.0,,,
nasdaq100,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.0813972191608413,0.0754159965634302,1.0793097336104347
nasdaq100,stoch_vol,describe,volatility range,3,3.0,1.0,,,
nasdaq100,stoch_vol,describe,tails (counts),6,5.0,0.8333333333333334,,,
nasdaq100,stoch_vol,describe,persistence,5,4.0,0.8,,,
nasdaq100,stoch_vol,describe,concentration,1,1.0,1.0,,,
nasdaq100,stoch_vol,describe,return vs future variance,3,3.0,1.0,,,
nasdaq100,stoch_vol,describe,W1 / sim-sim reference,1,,,0.1179345162243259,0.0535692389880071,2.20153428445621
nasdaq100,sv_jump,contrast,volatility range,3,2.0,0.6666666666666666,,,
nasdaq100,sv_jump,contrast,tails (counts),6,6.0,1.0,,,
nasdaq100,sv_jump,contrast,persistence,5,5.0,1.0,,,
nasdaq100,sv_jump,contrast,concentration,1,1.0,1.0,,,
nasdaq100,sv_jump,contrast,return vs future variance,3,3.0,1.0,,,
nasdaq100,sv_jump,contrast,W1 / sim-sim reference,1,,,0.1295286320954855,0.0991622858767742,1.3062287839597264
nasdaq100,sv_jump,describe,volatility range,3,3.0,1.0,,,
nasdaq100,sv_jump,describe,tails (counts),6,5.0,0.8333333333333334,,,
nasdaq100,sv_jump,describe,persistence,5,2.0,0.4,,,
nasdaq100,sv_jump,describe,concentration,1,1.0,1.0,,,
nasdaq100,sv_jump,describe,return vs future variance,3,3.0,1.0,,,
nasdaq100,sv_jump,describe,W1 / sim-sim reference,1,,,0.0954957508099865,0.0698713135872302,1.3667375909680832
nikkei225,gaussian,contrast,volatility range,3,2.0,0.6666666666666666,,,
nikkei225,gaussian,contrast,tails (counts),6,6.0,1.0,,,
nikkei225,gaussian,contrast,persistence,5,5.0,1.0,,,
nikkei225,gaussian,contrast,concentration,1,1.0,1.0,,,
nikkei225,gaussian,contrast,return vs future variance,3,3.0,1.0,,,
nikkei225,gaussian,contrast,W1 / sim-sim reference,1,,,0.0640577650595502,0.0502879328445375,1.2738198099647764
nikkei225,gaussian,describe,volatility range,3,0.0,0.0,,,
nikkei225,gaussian,describe,tails (counts),6,2.0,0.3333333333333333,,,
nikkei225,gaussian,describe,persistence,5,1.0,0.2,,,
nikkei225,gaussian,describe,concentration,1,0.0,0.0,,,
nikkei225,gaussian,describe,return vs future variance,3,3.0,1.0,,,
nikkei225,gaussian,describe,W1 / sim-sim reference,1,,,0.1505836838537159,0.0329884223748078,4.564743416426966
