scenario,replicate,truth_in_screen_top3,truth_actually_scored_in_finalists,truth_is_the_fixed_baseline,n_candidates_scored,training_loss_baseline,training_loss_selected,training_improvement
A1.0_rho0.98,0,True,True,True,3,0.1706772714914474,0.1706772714914474,0.0
A1.0_rho0.98,1,False,True,True,4,0.7472204932586777,0.0898247020272876,0.6573957912313901
A1.0_rho0.98,2,True,True,True,3,0.2500595360528269,0.2500595360528269,0.0
A1.0_rho0.98,3,False,True,True,4,1.7144267683038423,0.1634091241001165,1.5510176442037258
A1.0_rho0.98,4,False,True,True,4,0.9217851595900944,0.2704473054015046,0.6513378541885899
A1.0_rho0.98,5,False,True,True,4,2.2153970680985977,0.0608286415106353,2.1545684265879625
A1.0_rho0.98,6,False,True,True,4,1.0460161329786342,0.1763686005904436,0.8696475323881906
A1.0_rho0.98,7,True,True,True,3,0.1984981949569521,0.1919177494225478,0.006580445534404289
A1.0_rho0.98,8,False,True,True,4,1.055595753990183,0.2476892803149513,0.8079064736752317
A1.0_rho0.98,9,True,True,True,3,0.2186634804023561,0.1515339050690088,0.06712957533334729
A1.0_rho0.98,10,False,True,True,4,0.8848940256066831,0.1625866490888792,0.7223073765178039
A1.0_rho0.98,11,True,True,True,3,0.1815344840165954,0.1815344840165954,0.0
A1.0_rho0.98,12,False,True,True,4,1.03501938513315,0.17644013272808,0.8585792524050699
A1.0_rho0.98,13,False,True,True,4,3.2375220277947,1.079585697854876,2.157936329939824
A1.0_rho0.98,14,True,True,True,3,0.5261372847562575,0.4552417903500594,0.07089549440619813
A1.0_rho0.98,15,True,True,True,3,0.1354632175092501,0.1354632175092501,0.0
A1.0_rho0.98,16,False,True,True,4,0.7125621279618224,0.2119671873582645,0.5005949406035579
A1.0_rho0.98,17,True,True,True,3,0.1617180629311521,0.1533987505975613,0.00831931233359079
A1.0_rho0.98,18,True,True,True,3,0.1282895528010857,0.1282895528010857,0.0
A1.0_rho0.98,19,False,True,True,4,1.0009313822831536,0.2178537008017801,0.7830776814813735
A1.4_rho0.96,0,True,True,False,4,1.3275390245630263,0.2793159573163568,1.0482230672466695
A1.4_rho0.96,1,False,False,False,4,1.0174630146688166,0.1545891765203078,0.8628738381485088
A1.4_rho0.96,2,True,True,False,4,0.8789886934857807,0.1280298069950745,0.7509588864907062
A1.4_rho0.96,3,True,True,False,4,0.7807973204916913,0.2445887894574591,0.5362085310342322
A1.4_rho0.96,4,False,False,False,4,1.0753329918654593,0.3496246051254024,0.7257083867400569
A1.4_rho0.96,5,False,False,False,4,1.270091842348021,0.3150635735171638,0.9550282688308571
A1.4_rho0.96,6,True,True,False,4,2.419723513459314,0.466507864922953,1.953215648536361
A1.4_rho0.96,7,True,True,False,4,2.3429719820474952,0.479794586201356,1.8631773958461393
A1.4_rho0.96,8,True,True,False,4,1.096404851518153,0.375041656382336,0.721363195135817
A1.4_rho0.96,9,False,False,False,4,1.1720889214533656,0.3805297492256604,0.7915591722277052
A1.4_rho0.96,10,False,False,False,4,0.7819496716882947,0.1807414449026017,0.601208226785693
A1.4_rho0.96,11,True,True,False,4,0.9088141421282886,0.1341972794707469,0.7746168626575417
A1.4_rho0.96,12,False,False,False,4,3.2623222461829195,0.304684743698885,2.9576375024840345
A1.4_rho0.96,13,True,True,False,4,1.7914537964071542,0.1439668063500164,1.6474869900571378
A1.4_rho0.96,14,True,True,False,4,1.025161242021548,0.0912903823326754,0.9338708596888725
A1.4_rho0.96,15,True,True,False,4,2.432376294545623,0.3251759928520005,2.1072003016936227
A1.4_rho0.96,16,False,False,False,4,0.8358391297721979,0.1915876402797341,0.6442514894924638
A1.4_rho0.96,17,False,False,False,4,5.420533197298711,0.6882310195687933,4.732302177729919
A1.4_rho0.96,18,False,False,False,4,0.64723547604599,0.3639708617412213,0.2832646143047687
A1.4_rho0.96,19,True,True,False,4,2.8402975339135494,0.3081908042860208,2.532106729627529
