scenario,statistic,version,n,n_inside_sim_range,mean_raw_error,median_raw_error,rmse_raw
A1.0_rho0.98,tail_below_m3_count,fixed_baseline,20,20,1.05,1.0,2.2693611435820435
A1.0_rho0.98,tail_below_m3_count,selected,20,20,0.45,0.0,2.5
A1.0_rho0.98,tail_below_m3_count,true_shape,20,20,1.05,1.0,2.2693611435820435
A1.0_rho0.98,tail_below_m3_count,true_everything,20,20,1.05,1.0,2.2693611435820435
A1.0_rho0.98,tail_above_p3_count,fixed_baseline,20,20,0.2,0.0,2.4698178070456938
A1.0_rho0.98,tail_above_p3_count,selected,20,19,-0.45,-0.5,3.0083217912982647
A1.0_rho0.98,tail_above_p3_count,true_shape,20,20,0.2,0.0,2.4698178070456938
A1.0_rho0.98,tail_above_p3_count,true_everything,20,20,0.2,0.0,2.4698178070456938
A1.0_rho0.98,acf_sqret_lag1,fixed_baseline,20,19,-0.0003727724944328506,0.019943530673184953,0.06718372699592658
A1.0_rho0.98,acf_sqret_lag1,selected,20,20,-0.010614189014529056,0.015023053632365349,0.06946811235029464
A1.0_rho0.98,acf_sqret_lag1,true_shape,20,19,-0.0003727724944328506,0.019943530673184953,0.06718372699592658
A1.0_rho0.98,acf_sqret_lag1,true_everything,20,19,-0.00037277249443285756,0.019943530673184953,0.06718372699592659
A1.0_rho0.98,acf_sqret_lag5,fixed_baseline,20,20,0.03004946710230133,0.027894491705803853,0.04436959429438137
A1.0_rho0.98,acf_sqret_lag5,selected,20,20,0.011013898459215023,0.013801274345867337,0.03973555866855183
A1.0_rho0.98,acf_sqret_lag5,true_shape,20,20,0.03004946710230133,0.027894491705803853,0.04436959429438137
A1.0_rho0.98,acf_sqret_lag5,true_everything,20,20,0.030049467102301337,0.027894491705803853,0.044369594294381365
A1.0_rho0.98,acf_sqret_lag21,fixed_baseline,20,20,-0.009660069318603734,-0.008844741921748209,0.04495611305134016
A1.0_rho0.98,acf_sqret_lag21,selected,20,17,-0.034758802839100676,-0.025047498007130044,0.06454505095734575
A1.0_rho0.98,acf_sqret_lag21,true_shape,20,20,-0.009660069318603734,-0.008844741921748209,0.04495611305134016
A1.0_rho0.98,acf_sqret_lag21,true_everything,20,20,-0.009660069318603717,-0.00884474192174816,0.04495611305134016
A1.4_rho0.96,tail_below_m3_count,fixed_baseline,20,19,-2.7,-2.0,4.0743097574926725
A1.4_rho0.96,tail_below_m3_count,selected,20,19,0.0,0.5,2.8460498941515415
A1.4_rho0.96,tail_below_m3_count,true_shape,20,19,0.3,1.0,3.0659419433511785
A1.4_rho0.96,tail_below_m3_count,true_everything,20,19,0.3,1.0,3.0659419433511785
A1.4_rho0.96,tail_above_p3_count,fixed_baseline,20,18,-2.5,-2.0,3.7013511046643495
A1.4_rho0.96,tail_above_p3_count,selected,20,20,0.2,0.5,3.1780497164141406
A1.4_rho0.96,tail_above_p3_count,true_shape,20,20,0.5,1.0,2.7748873851023217
A1.4_rho0.96,tail_above_p3_count,true_everything,20,20,0.5,1.0,2.7748873851023217
A1.4_rho0.96,acf_sqret_lag1,fixed_baseline,20,19,-0.04163010514964363,-0.02718901058347581,0.08215612577209395
A1.4_rho0.96,acf_sqret_lag1,selected,20,20,0.0026891114558902293,0.020479471743123104,0.07029714486066999
A1.4_rho0.96,acf_sqret_lag1,true_shape,20,20,0.010184596626398378,0.023758883930658947,0.07225765410991028
A1.4_rho0.96,acf_sqret_lag1,true_everything,20,20,0.010184596626398378,0.023758883930658947,0.07225765410991027
A1.4_rho0.96,acf_sqret_lag5,fixed_baseline,20,18,-0.016580139726111814,-0.017874218694638247,0.07324178047016752
A1.4_rho0.96,acf_sqret_lag5,selected,20,18,-0.018125637264653955,-0.03223947318061186,0.08287042741740733
A1.4_rho0.96,acf_sqret_lag5,true_shape,20,20,-0.010570188816277418,-0.011971771448428953,0.0720119694027221
A1.4_rho0.96,acf_sqret_lag5,true_everything,20,20,-0.010570188816277418,-0.011971771448428897,0.0720119694027221
A1.4_rho0.96,acf_sqret_lag21,fixed_baseline,20,16,0.04210398602903581,0.0574249008779744,0.061709546417401805
A1.4_rho0.96,acf_sqret_lag21,selected,20,17,-0.003136505171006719,0.0059465954521011,0.06221046869680663
A1.4_rho0.96,acf_sqret_lag21,true_shape,20,19,-0.003091479204510905,0.013191791058713598,0.04590031561625178
A1.4_rho0.96,acf_sqret_lag21,true_everything,20,19,-0.003091479204510905,0.013191791058713646,0.04590031561625179
