scenario,metric,comparison,n,paired_mean,paired_mean_mc_se,paired_median,n_better,n_tied,n_worse,difference_of_the_two_medians
A1.0_rho0.98,J_eval_loss,selected - fixed_baseline,20,0.3198747217087514,0.21475261506160725,0.041347557998626716,5,5,10,0.19437934619904296
A1.0_rho0.98,J_eval_loss,true_shape - fixed_baseline,20,0.0,0.0,0.0,0,20,0,0.0
A1.0_rho0.98,J_eval_loss,true_everything - true_shape,20,-0.40644476355406384,0.22886147713392385,-0.12679591434126514,12,0,8,-0.14546920210450853
A1.0_rho0.98,J_eval_loss,true_everything - fixed_baseline,20,-0.40644476355406384,0.22886147713392385,-0.12679591434126514,12,0,8,-0.14546920210450853
A1.0_rho0.98,energy_score,selected - fixed_baseline,20,0.34415862504586986,0.1756853366445383,0.03689911929445144,5,5,10,0.31093760691710326
A1.0_rho0.98,energy_score,true_shape - fixed_baseline,20,0.0,0.0,0.0,0,20,0,0.0
A1.0_rho0.98,energy_score,true_everything - true_shape,20,-0.27263361438313066,0.16297432114868687,-0.11128287152052463,12,0,8,-0.08956788896382095
A1.0_rho0.98,energy_score,true_everything - fixed_baseline,20,-0.27263361438313066,0.16297432114868687,-0.11128287152052463,12,0,8,-0.08956788896382095
A1.4_rho0.96,J_eval_loss,selected - fixed_baseline,20,-0.9676892206864782,0.30049487654864926,-0.9932579319202052,15,0,5,-0.8929185942736735
A1.4_rho0.96,J_eval_loss,true_shape - fixed_baseline,20,-1.2320413005131297,0.3195779389305546,-1.4101576903145623,16,0,4,-1.2633893885080996
A1.4_rho0.96,J_eval_loss,true_everything - true_shape,20,-0.45972388989908125,0.19011621210362808,-0.44672136613155855,12,0,8,-0.25759116890505496
A1.4_rho0.96,J_eval_loss,true_everything - fixed_baseline,20,-1.691765190412211,0.3140359022455944,-1.5522301557920932,18,0,2,-1.5209805574131545
A1.4_rho0.96,energy_score,selected - fixed_baseline,20,-0.7424761888382548,0.21138507135234597,-0.6134889999294655,17,0,3,-0.6773190397449671
A1.4_rho0.96,energy_score,true_shape - fixed_baseline,20,-1.0631309436212537,0.2225673343046682,-1.3603014856065867,18,0,2,-1.1642718593063681
A1.4_rho0.96,energy_score,true_everything - true_shape,20,-0.30342827627209956,0.12819205124101388,-0.3308706013689263,12,0,8,-0.14040538449676454
A1.4_rho0.96,energy_score,true_everything - fixed_baseline,20,-1.3665592198933534,0.2226885817274456,-1.4135477741766749,18,0,2,-1.3046772438031327
