object,period,status,n_old,n_new,first_date_old,first_date_new,first_prev_date_new,used_prior_close,prior_close_calendar_checked,dates_added,dates_dropped,added_dates,max_abs_diff_on_shared_dates,n_shared,sigma_annual_old,sigma_annual_new,n_spans_missing_day,calendar
ff_momentum,describe,compared,1259.0,1259.0,2017-01-03,2017-01-03,2016-12-30,False,,0.0,0.0,,0.0,1259.0,0.18857887055227532,0.18857887055227532,0.0,nyse
gld,describe,compared,1258.0,1259.0,2017-01-04,2017-01-03,2016-12-30,True,True,1.0,0.0,2017-01-03,0.0,1258.0,0.13390036298195174,0.1338887735372099,0.0,nyse
sp500,describe,compared,1258.0,1259.0,2017-01-04,2017-01-03,2016-12-30,True,True,1.0,0.0,2017-01-03,0.0,1258.0,0.19236867212948663,0.19232401188918352,0.0,nyse
nasdaq100,describe,compared,1258.0,1259.0,2017-01-04,2017-01-03,2016-12-30,True,True,1.0,0.0,2017-01-03,0.0,1258.0,0.22616448309739204,0.22610848522380628,0.0,nyse
nikkei225,describe,compared,1220.0,1221.0,2017-01-05,2017-01-04,2016-12-30,True,False,1.0,0.0,2017-01-04,0.0,1220.0,0.18519240596404887,0.1854567586964922,0.0,jpx
sx5e,describe,no returns in this window,,,,,,,,,,,,,,,,
brent,describe,compared,1272.0,1273.0,2017-01-04,2017-01-03,2016-12-30,True,False,1.0,0.0,2017-01-03,0.0,1272.0,0.5633659968565148,0.5631445965359894,0.0,source_grid
eurusd,describe,compared,1245.0,1246.0,2017-01-04,2017-01-03,2016-12-30,True,False,1.0,0.0,2017-01-03,0.0,1245.0,0.06367572948883153,0.0639165775504225,0.0,source_grid
usdjpy,describe,compared,1245.0,1246.0,2017-01-04,2017-01-03,2016-12-30,True,False,1.0,0.0,2017-01-03,0.0,1245.0,0.06986094790984193,0.06991901129511068,0.0,source_grid
ff_momentum,contrast,compared,501.0,501.0,2022-01-03,2022-01-03,2021-12-31,False,,0.0,0.0,,0.0,501.0,0.19553129773948882,0.19553129773948882,0.0,nyse
gld,contrast,compared,500.0,501.0,2022-01-04,2022-01-03,2021-12-31,True,True,1.0,0.0,2022-01-03,0.0,500.0,0.14331798086433536,0.14360575349057422,0.0,nyse
sp500,contrast,compared,500.0,501.0,2022-01-04,2022-01-03,2021-12-31,True,True,1.0,0.0,2022-01-03,0.0,500.0,0.1948899920260432,0.19474642987731633,0.0,nyse
nasdaq100,contrast,compared,500.0,501.0,2022-01-04,2022-01-03,2021-12-31,True,True,1.0,0.0,2022-01-03,0.0,500.0,0.2642728708197198,0.2641227782356382,0.0,nyse
nikkei225,contrast,compared,489.0,490.0,2022-01-05,2022-01-04,2021-12-30,True,True,1.0,0.0,2022-01-04,0.0,489.0,0.18356846054167447,0.18380363824156107,0.0,jpx
sx5e,contrast,no returns in this window,,,,,,,,,,,,,,,,
brent,contrast,compared,502.0,503.0,2022-01-04,2022-01-03,2021-12-31,True,False,1.0,0.0,2022-01-03,0.0,502.0,0.409743796240341,0.4094350426001669,0.0,source_grid
eurusd,contrast,compared,498.0,499.0,2022-01-04,2022-01-03,2021-12-30,True,False,1.0,0.0,2022-01-03,0.0,498.0,0.08968461385773685,0.08961142376357652,0.0,source_grid
usdjpy,contrast,compared,498.0,499.0,2022-01-04,2022-01-03,2021-12-30,True,False,1.0,0.0,2022-01-03,0.0,498.0,0.1150415191674871,0.11492637998304712,0.0,source_grid
