scenario,replicate,seed_set,true_A,true_rho,sigma_hat,selected_A,selected_rho,selected_is_true,selected_is_baseline,true_screen_rank,true_in_finalists,n_candidates,training_loss_selected,training_loss_baseline,eval_loss_selected,eval_loss_baseline,eval_loss_true_shape,delta_J_selected_minus_baseline,energy_selected,energy_baseline,energy_true_shape,delta_energy_selected_minus_baseline,eval_loss_mc_se_selected
A1.0_rho0.98,0,0,1.0,0.98,0.1838949699011025,1.0,0.98,True,True,1,True,3,0.17209810520805707,0.17209810520805707,0.5309013407385744,0.5309013407385744,0.5309013407385744,0.0,1.4232745547729957,1.4232745547729957,1.4232745547729957,0.0,0.021482428172662986
A1.0_rho0.98,0,1,1.0,0.98,0.1838949699011025,1.0,0.98,True,True,1,True,3,0.17251215880220994,0.17251215880220994,0.5309013407385744,0.5309013407385744,0.5309013407385744,0.0,1.4232745547729957,1.4232745547729957,1.4232745547729957,0.0,0.021482428172662986
A1.0_rho0.98,0,2,1.0,0.98,0.1838949699011025,1.0,0.98,True,True,1,True,3,0.1610949682542291,0.1610949682542291,0.5309013407385744,0.5309013407385744,0.5309013407385744,0.0,1.4232745547729957,1.4232745547729957,1.4232745547729957,0.0,0.021482428172662986
A1.0_rho0.98,0,3,1.0,0.98,0.1838949699011025,1.0,0.98,True,True,1,True,3,0.1832267455358895,0.1832267455358895,0.5309013407385744,0.5309013407385744,0.5309013407385744,0.0,1.4232745547729957,1.4232745547729957,1.4232745547729957,0.0,0.021482428172662986
A1.0_rho0.98,0,4,1.0,0.98,0.1838949699011025,1.0,0.98,True,True,1,True,3,0.17285370164686267,0.17285370164686267,0.5309013407385744,0.5309013407385744,0.5309013407385744,0.0,1.4232745547729957,1.4232745547729957,1.4232745547729957,0.0,0.021482428172662986
A1.0_rho0.98,1,0,1.0,0.98,0.1362679397944911,1.0,0.94,False,False,11,True,4,0.08725152860469307,0.7008010306954534,3.1367083056032534,3.7808421280340445,3.7808421280340445,-0.6441338224307911,3.4536296365837984,3.590724866825689,3.590724866825689,-0.1370952302418904,0.030356552453781577
A1.0_rho0.98,1,1,1.0,0.98,0.1362679397944911,1.0,0.94,False,False,11,True,4,0.0891285344860634,0.7275892762154367,3.1367083056032534,3.7808421280340445,3.7808421280340445,-0.6441338224307911,3.4536296365837984,3.590724866825689,3.590724866825689,-0.1370952302418904,0.030356552453781577
A1.0_rho0.98,1,2,1.0,0.98,0.1362679397944911,1.0,0.94,False,False,11,True,4,0.08534885875427496,0.6868364643258063,3.1367083056032534,3.7808421280340445,3.7808421280340445,-0.6441338224307911,3.4536296365837984,3.590724866825689,3.590724866825689,-0.1370952302418904,0.030356552453781577
A1.0_rho0.98,1,3,1.0,0.98,0.1362679397944911,1.0,0.94,False,False,11,True,4,0.08243586887463306,0.7310876609013297,3.1367083056032534,3.7808421280340445,3.7808421280340445,-0.6441338224307911,3.4536296365837984,3.590724866825689,3.590724866825689,-0.1370952302418904,0.030356552453781577
A1.0_rho0.98,1,4,1.0,0.98,0.1362679397944911,1.0,0.94,False,False,11,True,4,0.08281836217559294,0.7214696239524571,3.1367083056032534,3.7808421280340445,3.7808421280340445,-0.6441338224307911,3.4536296365837984,3.590724866825689,3.590724866825689,-0.1370952302418904,0.030356552453781577
A1.4_rho0.96,0,0,1.4,0.96,0.16839344148368376,1.4,0.96,True,False,1,True,4,0.26119626897219417,1.3858194259647745,1.6428805587138742,0.42599459843144266,1.6428805587138742,1.2168859602824316,2.4522515381571637,1.4907513283551765,2.4522515381571637,0.9615002098019871,0.03466882640390356
A1.4_rho0.96,0,1,1.4,0.96,0.16839344148368376,1.4,0.96,True,False,1,True,4,0.2794180722353135,1.3799224643488572,1.6428805587138742,0.42599459843144266,1.6428805587138742,1.2168859602824316,2.4522515381571637,1.4907513283551765,2.4522515381571637,0.9615002098019871,0.03466882640390356
A1.4_rho0.96,0,2,1.4,0.96,0.16839344148368376,1.4,0.96,True,False,1,True,4,0.27522559265982577,1.3836533209538522,1.6428805587138742,0.42599459843144266,1.6428805587138742,1.2168859602824316,2.4522515381571637,1.4907513283551765,2.4522515381571637,0.9615002098019871,0.03466882640390356
A1.4_rho0.96,0,3,1.4,0.96,0.16839344148368376,1.4,0.96,True,False,2,True,4,0.27795603017821435,1.33778732210606,1.6428805587138742,0.42599459843144266,1.6428805587138742,1.2168859602824316,2.4522515381571637,1.4907513283551765,2.4522515381571637,0.9615002098019871,0.03466882640390356
A1.4_rho0.96,0,4,1.4,0.96,0.16839344148368376,1.4,0.96,True,False,2,True,4,0.27963797530020895,1.3888825238319735,1.6428805587138742,0.42599459843144266,1.6428805587138742,1.2168859602824316,2.4522515381571637,1.4907513283551765,2.4522515381571637,0.9615002098019871,0.03466882640390356
