date,prev_date,price,ret,gap_trading_days,spans_missing_day
2017-01-04,2017-01-03,2270.75,0.00572230858833489,1,False
2017-01-05,2017-01-04,2269.0,-0.0007706704833204681,1,False
2017-01-06,2017-01-05,2276.98,0.00351696782723665,1,False
2017-01-09,2017-01-06,2268.9,-0.0035485599346501973,1,False
2017-01-10,2017-01-09,2268.9,0.0,1,False
2017-01-11,2017-01-10,2275.32,0.002829564987438804,1,False
2017-01-12,2017-01-11,2270.44,-0.002144753265474808,1,False
2017-01-13,2017-01-12,2274.64,0.0018498617008155804,1,False
2017-01-17,2017-01-13,2267.89,-0.0029675025498540064,1,False
2017-01-18,2017-01-17,2271.89,0.0017637539739581154,1,False
2017-01-19,2017-01-18,2263.69,-0.0036093296770529637,1,False
2017-01-20,2017-01-19,2271.31,0.003366185299223723,1,False
2017-01-23,2017-01-20,2265.2,-0.0026900775323491777,1,False
2017-01-24,2017-01-23,2280.07,0.006564541762317022,1,False
2017-01-25,2017-01-24,2298.37,0.008026069375062894,1,False
2017-01-26,2017-01-25,2296.68,-0.0007353037152416642,1,False
2017-01-27,2017-01-26,2294.69,-0.000866468119198105,1,False
2017-01-30,2017-01-27,2280.9,-0.006009526341248739,1,False
2017-01-31,2017-01-30,2278.87,-0.0008899995615766487,1,False
2017-02-01,2017-01-31,2279.55,0.00029839350204285964,1,False
2017-02-02,2017-02-01,2280.85,0.0005702879954376794,1,False
2017-02-03,2017-02-02,2297.42,0.007264835478001608,1,False
2017-02-06,2017-02-03,2292.56,-0.002115416423640437,1,False
2017-02-07,2017-02-06,2293.08,0.00022682067208701362,1,False
2017-02-08,2017-02-07,2294.67,0.0006933905489561187,1,False
2017-02-09,2017-02-08,2307.87,0.0057524611382027135,1,False
2017-02-10,2017-02-09,2316.1,0.0035660587468098193,1,False
2017-02-13,2017-02-10,2328.25,0.005245887483269263,1,False
2017-02-14,2017-02-13,2337.58,0.004007301621389514,1,False
2017-02-15,2017-02-14,2349.25,0.004992342508064018,1,False
2017-02-16,2017-02-15,2347.22,-0.0008641055656061214,1,False
2017-02-17,2017-02-16,2351.16,0.0016785814708464297,1,False
2017-02-21,2017-02-17,2365.38,0.00604807839534538,1,False
2017-02-22,2017-02-21,2362.82,-0.0010822785345272479,1,False
2017-02-23,2017-02-22,2363.81,0.00041899086684549225,1,False
2017-02-24,2017-02-23,2367.34,0.001493351834538359,1,False
2017-02-27,2017-02-24,2369.75,0.001018020225231675,1,False
2017-02-28,2017-02-27,2363.64,-0.0025783310475788745,1,False
2017-03-01,2017-02-28,2395.96,0.013673825117192173,1,False
2017-03-02,2017-03-01,2381.92,-0.0058598641045760624,1,False
2017-03-03,2017-03-02,2383.12,0.0005037952576072424,1,False
2017-03-06,2017-03-03,2375.31,-0.0032772164221692712,1,False
2017-03-07,2017-03-06,2368.39,-0.0029133039476952893,1,False
2017-03-08,2017-03-07,2362.98,-0.0022842521713062336,1,False
2017-03-09,2017-03-08,2364.87,0.0007998374933346764,1,False
2017-03-10,2017-03-09,2372.6,0.0032686786165836423,1,False
2017-03-13,2017-03-10,2373.47,0.00036668633566550035,1,False
2017-03-14,2017-03-13,2365.45,-0.0033790189048102937,1,False
2017-03-15,2017-03-14,2385.26,0.008374727853051489,1,False
2017-03-16,2017-03-15,2381.38,-0.001626657052061442,1,False
2017-03-17,2017-03-16,2378.25,-0.0013143639402364293,1,False
2017-03-20,2017-03-17,2373.47,-0.00200988121517931,1,False
2017-03-21,2017-03-20,2344.02,-0.012407993359932812,1,False
2017-03-22,2017-03-21,2348.45,0.0018899156150544716,1,False
2017-03-23,2017-03-22,2345.96,-0.0010602737976110888,1,False
2017-03-24,2017-03-23,2343.98,-0.0008440041603438031,1,False
2017-03-27,2017-03-24,2341.59,-0.0010196332733214408,1,False
2017-03-28,2017-03-27,2358.57,0.007251482966702083,1,False
2017-03-29,2017-03-28,2361.13,0.0010854034436120763,1,False
2017-03-30,2017-03-29,2368.06,0.0029350353432466836,1,False
2017-03-31,2017-03-30,2362.72,-0.002255010430479043,1,False
2017-04-03,2017-03-31,2358.84,-0.0016421751202002621,1,False
2017-04-04,2017-04-03,2360.16,0.0005595970900948988,1,False
2017-04-05,2017-04-04,2352.95,-0.0030548776354145657,1,False
2017-04-06,2017-04-05,2357.49,0.0019294927644020188,1,False
2017-04-07,2017-04-06,2355.54,-0.0008271509105022279,1,False
2017-04-10,2017-04-07,2357.16,0.0006877403907383783,1,False
2017-04-11,2017-04-10,2353.78,-0.0014339289653649834,1,False
2017-04-12,2017-04-11,2344.93,-0.0037599095922304926,1,False
2017-04-13,2017-04-12,2328.95,-0.006814702357852864,1,False
2017-04-17,2017-04-13,2349.01,0.008613323600764389,1,False
2017-04-18,2017-04-17,2342.19,-0.0029033507733046138,1,False
2017-04-19,2017-04-18,2338.17,-0.0017163423974997372,1,False
2017-04-20,2017-04-19,2355.84,0.007557192163101911,1,False
2017-04-21,2017-04-20,2348.69,-0.0030350108666123976,1,False
2017-04-24,2017-04-21,2374.15,0.010840085324159476,1,False
2017-04-25,2017-04-24,2388.61,0.006090600846618832,1,False
2017-04-26,2017-04-25,2387.45,-0.0004856380907726221,1,False
2017-04-27,2017-04-26,2388.77,0.0005528911600243269,1,False
2017-04-28,2017-04-27,2384.2,-0.0019131184668260692,1,False
2017-05-01,2017-04-28,2388.33,0.00173223722842053,1,False
2017-05-02,2017-05-01,2391.17,0.001189115406999841,1,False
2017-05-03,2017-05-02,2388.13,-0.0012713441536987835,1,False
2017-05-04,2017-05-03,2389.52,0.000582045366039452,1,False
2017-05-05,2017-05-04,2399.29,0.004088687267735702,1,False
2017-05-08,2017-05-05,2399.38,3.751109703298283e-05,1,False
2017-05-09,2017-05-08,2396.92,-0.0010252648600889147,1,False
2017-05-10,2017-05-09,2399.63,0.0011306176259533451,1,False
2017-05-11,2017-05-10,2394.44,-0.002162833436821554,1,False
2017-05-12,2017-05-11,2390.9,-0.0014784250179582514,1,False
2017-05-15,2017-05-12,2402.32,0.004776444016897363,1,False
2017-05-16,2017-05-15,2400.67,-0.0006868360584768585,1,False
2017-05-17,2017-05-16,2357.03,-0.01817825856948263,1,False
2017-05-18,2017-05-17,2365.72,0.0036868431882495223,1,False
2017-05-19,2017-05-18,2381.73,0.00676749573068669,1,False
2017-05-22,2017-05-19,2394.02,0.005160114706536767,1,False
2017-05-23,2017-05-22,2398.42,0.0018379127993919386,1,False
2017-05-24,2017-05-23,2404.39,0.0024891386829661855,1,False
2017-05-25,2017-05-24,2415.07,0.004441875070184231,1,False
2017-05-26,2017-05-25,2415.82,0.0003105500047617671,1,False
2017-05-30,2017-05-26,2412.91,-0.0012045599423798903,1,False
2017-05-31,2017-05-30,2411.8,-0.00046002544645251664,1,False
2017-06-01,2017-05-31,2430.06,0.007571108715482167,1,False
2017-06-02,2017-06-01,2439.07,0.003707727381216941,1,False
2017-06-05,2017-06-02,2436.1,-0.0012176772294358873,1,False
2017-06-06,2017-06-05,2429.33,-0.0027790320594393014,1,False
2017-06-07,2017-06-06,2433.14,0.001568333655781684,1,False
2017-06-08,2017-06-07,2433.79,0.0002671445128517025,1,False
2017-06-09,2017-06-08,2431.77,-0.0008299812227020587,1,False
2017-06-12,2017-06-09,2429.39,-0.000978710980068076,1,False
2017-06-13,2017-06-12,2440.35,0.004511420562363311,1,False
2017-06-14,2017-06-13,2437.92,-0.0009957588050893973,1,False
2017-06-15,2017-06-14,2432.46,-0.002239614097263254,1,False
2017-06-16,2017-06-15,2433.15,0.00028366345181418673,1,False
2017-06-19,2017-06-16,2453.46,0.00834720424141544,1,False
2017-06-20,2017-06-19,2437.03,-0.006696665117833511,1,False
2017-06-21,2017-06-20,2435.61,-0.0005826764545369123,1,False
2017-06-22,2017-06-21,2434.5,-0.00045573798760889517,1,False
2017-06-23,2017-06-22,2438.3,0.0015608954610804027,1,False
2017-06-26,2017-06-23,2439.07,0.00031579379075585834,1,False
2017-06-27,2017-06-26,2419.38,-0.008072749039592986,1,False
2017-06-28,2017-06-27,2440.69,0.0088080417296994,1,False
2017-06-29,2017-06-28,2419.7,-0.008600027041533398,1,False
2017-06-30,2017-06-29,2423.41,0.0015332479232963436,1,False
2017-07-03,2017-06-30,2429.01,0.0023107934687074394,1,False
2017-07-05,2017-07-03,2432.54,0.0014532669688471778,1,False
2017-07-06,2017-07-05,2409.75,-0.00936880791271677,1,False
2017-07-07,2017-07-06,2425.18,0.006403153854134258,1,False
2017-07-10,2017-07-07,2427.43,0.0009277661864273146,1,False
2017-07-11,2017-07-10,2425.53,-0.0007827208199616686,1,False
2017-07-12,2017-07-11,2443.25,0.007305619802682184,1,False
2017-07-13,2017-07-12,2447.83,0.00187455233807432,1,False
2017-07-14,2017-07-13,2459.27,0.0046735271648765675,1,False
2017-07-17,2017-07-14,2459.14,-5.286121491343554e-05,1,False
