scenario,scale,statistic,sim_median,sim_p2.5,sim_p97.5,sim_median_mc_se,n_paths,real,real_inside_sim_range
gaussian,native,sd_daily,0.00629278075363534,0.006034727542562698,0.006546099069713438,3.5553494700072055e-06,2000,0.012118087297484344,False
gaussian,native,skewness,-0.0035067914574336014,-0.14773060933330198,0.13026762794516542,0.0019392754419179188,2000,-0.7389961323250143,False
gaussian,native,excess_kurtosis,-0.017487764346320045,-0.24949127851116287,0.27410758107279976,0.0038018946053525347,2000,20.367350270538573,False
gaussian,native,rv21_q10,0.07902253441342569,0.07433672551197416,0.08385293453539044,6.791315160622425e-05,2000,0.06272305159358481,False
gaussian,native,rv21_q50,0.0983187931416551,0.09395064345104842,0.10251769743363519,6.214952877689462e-05,2000,0.11036933306935255,False
gaussian,native,rv21_q90,0.11886798129905854,0.11318051778698279,0.12506120846846389,8.54667945689731e-05,2000,0.24178335481744329,False
gaussian,native,concentration_max_exceed_63d,1.0,0.0,3.0,0.01658459990240891,2000,16.0,False
gaussian,native,tail_below_m2_count,29.0,20.0,37.0,0.12005825816242385,2000,37.0,True
gaussian,native,tail_above_p2_count,29.0,20.0,37.0,0.11597190085231282,2000,18.0,False
gaussian,native,tail_below_m2_freq,0.023052464228934817,0.01589825119236884,0.029411764705882353,9.543581729922406e-05,2000,0.029411764705882353,True
gaussian,native,tail_above_p2_freq,0.023052464228934817,0.01589825119236884,0.029411764705882353,9.218752055032815e-05,2000,0.014308426073131956,False
gaussian,native,tail_below_m3_count,2.0,0.0,4.0,0.03449081942187174,2000,11.0,False
gaussian,native,tail_above_p3_count,1.0,0.0,4.0,0.033795800206577166,2000,9.0,False
gaussian,native,tail_below_m3_freq,0.001589825119236884,0.0,0.003179650238473768,2.7417185549977535e-05,2000,0.008744038155802861,False
gaussian,native,tail_above_p3_freq,0.000794912559618442,0.0,0.003179650238473768,2.686470604656373e-05,2000,0.007154213036565978,False
gaussian,native,tail_below_m5_count,0.0,0.0,0.0,0.0008859952360674222,2000,3.0,False
gaussian,native,tail_above_p5_count,0.0,0.0,0.0,0.0006266500000000002,2000,4.0,False
gaussian,native,tail_below_m5_freq,0.0,0.0,0.0,7.042887409121005e-07,2000,0.0023847376788553257,False
gaussian,native,tail_above_p5_freq,0.0,0.0,0.0,4.981319554848965e-07,2000,0.003179650238473768,False
gaussian,native,acf_ret_lag1,-0.0021989449075881483,-0.057187588153509945,0.05425184227509423,0.0007911635289973527,2000,-0.24396953335811908,False
gaussian,native,acf_ret_lag5,-0.0010189512592838944,-0.053855182696249684,0.05313656539176714,0.0007853663819250984,2000,0.07865234975544919,False
gaussian,native,acf_ret_lag10,-0.00041947919182301,-0.05475526896548545,0.054729370526048864,0.0007895168074048171,2000,-0.07868045072246492,False
gaussian,native,acf_ret_lag21,-9.058781246886758e-05,-0.052088301096693074,0.05487105412454793,0.0007958915917845342,2000,0.06479069799423903,False
gaussian,native,acf_ret_lag63,0.0004238694377035233,-0.05925763510338499,0.05590939270663061,0.0008147239303242247,2000,0.06187167625917269,False
