statistic,S&P 500,Gaussian,Student-t,pure SV,jumps only,SV + jumps
daily sd,0.0121,"0.0121 [0.0116, 0.0126]","0.0121 [0.0113, 0.0131]","0.0119 [0.0089, 0.0163]","0.0121 [0.0111, 0.0134]","0.0118 [0.0091, 0.0156]"
RV21 10th pct,0.063,"0.152 [0.143, 0.161] **out**","0.137 [0.127, 0.147] **out**","0.082 [0.057, 0.114]","0.141 [0.131, 0.149] **out**","0.077 [0.055, 0.108]"
RV21 median,0.110,"0.189 [0.181, 0.197] **out**","0.181 [0.170, 0.192] **out**","0.151 [0.112, 0.202] **out**","0.177 [0.168, 0.185] **out**","0.146 [0.112, 0.195] **out**"
RV21 90th pct,0.242,"0.229 [0.218, 0.241] **out**","0.242 [0.221, 0.268]","0.277 [0.200, 0.403]","0.227 [0.208, 0.282]","0.282 [0.210, 0.388]"
skewness,-0.74,"-0.00 [-0.13, +0.14] **out**","+0.00 [-0.95, +0.88]","-0.01 [-0.63, +0.55] **out**","-0.03 [-1.80, +1.60]","+0.03 [-2.21, +2.22]"
excess kurtosis,20.4,"-0.0 [-0.2, 0.3] **out**","3.1 [1.3, 18.0] **out**","3.1 [1.2, 10.4] **out**","7.0 [0.4, 29.0]","10.2 [2.7, 45.6]"
days < -2 sd,37,"28 [20, 37]","31 [22, 40]","35 [26, 44]","22 [12, 32] **out**","30 [18, 41]"
days > +2 sd,18,"29 [20, 37] **out**","31 [22, 40] **out**","35 [26, 44] **out**","21 [12, 32]","30 [18, 40]"
days < -3 sd,11,"2 [0, 4] **out**","7 [3, 12]","9 [4, 15]","3 [1, 7] **out**","9 [4, 15]"
days > +3 sd,9,"2 [0, 4] **out**","7 [3, 12]","9 [4, 15]","3 [0, 7] **out**","9 [4, 15]"
days < -5 sd,3,"0 [0, 0] **out**","1 [0, 3]","1 [0, 3]","1 [0, 4]","2 [0, 5]"
days > +5 sd,4,"0 [0, 0] **out**","1 [0, 3] **out**","1 [0, 3] **out**","1 [0, 4]","2 [0, 5]"
"ACF return, lag 1",-0.244,"-0.001 [-0.057, +0.053] **out**","+0.000 [-0.054, +0.054] **out**","-0.004 [-0.083, +0.078] **out**","-0.002 [-0.053, +0.056] **out**","+0.001 [-0.074, +0.071] **out**"
"ACF \|ret\|, lag 1",+0.501,"-0.002 [-0.057, +0.055] **out**","-0.001 [-0.054, +0.057] **out**","+0.244 [+0.135, +0.380] **out**","-0.001 [-0.051, +0.053] **out**","+0.178 [+0.069, +0.318] **out**"
"ACF \|ret\|, lag 10",+0.366,"-0.000 [-0.054, +0.056] **out**","-0.000 [-0.053, +0.054] **out**","+0.191 [+0.084, +0.328] **out**","-0.003 [-0.055, +0.050] **out**","+0.138 [+0.043, +0.274] **out**"
"ACF \|ret\|, lag 21",+0.158,"-0.001 [-0.055, +0.054] **out**","-0.001 [-0.055, +0.058] **out**","+0.144 [+0.041, +0.275]","-0.001 [-0.050, +0.059] **out**","+0.106 [+0.018, +0.229]"
"ACF \|ret\|, lag 63",+0.040,"-0.000 [-0.055, +0.057]","-0.001 [-0.054, +0.058]","+0.043 [-0.045, +0.162]","-0.002 [-0.053, +0.055]","+0.030 [-0.043, +0.138]"
"corr(r_t, r^2_{t+1})",-0.095,"+0.000 [-0.053, +0.055] **out**","-0.001 [-0.056, +0.056] **out**","-0.001 [-0.108, +0.103]","-0.000 [-0.052, +0.051] **out**","+0.000 [-0.076, +0.085] **out**"
"corr(r_t, r^2_{t+21})",-0.051,"+0.001 [-0.056, +0.057]","+0.000 [-0.058, +0.054]","-0.001 [-0.080, +0.078]","-0.001 [-0.056, +0.052]","+0.001 [-0.067, +0.068]"
5-day excess kurtosis,5.93,"-0.05 [-0.51, 0.72] **out**","0.54 [-0.24, 4.27] **out**","2.45 [0.52, 10.33]","1.12 [-0.25, 6.84]","3.60 [0.95, 12.59]"
21-day excess kurtosis,1.56,"-0.17 [-0.88, 1.50] **out**","-0.08 [-0.84, 1.97]","1.29 [-0.34, 9.26]","0.07 [-0.79, 2.73]","1.21 [-0.32, 8.16]"
max \|z\|>3 days in any 63,16,"1 [0, 3] **out**","3 [2, 5] **out**","8 [3, 17]","2 [1, 3] **out**","6 [2, 14] **out**"
