A,rho,is_current_setting,sv_acf_abs_lag1,sv_acf_abs_lag21,sv_acf_abs_lag63,acf63_over_acf1,median_variance_multiplier,median_vol_multiplier
1.0,0.98,True,0.272996101852769,0.17474015141721422,0.0713145902518905,0.26122933539304366,0.6065306597126334,0.7788007830714049
1.0,0.96,False,0.2667301001273262,0.11004701390280477,0.018962054525732297,0.07109079371499721,0.6065306597126334,0.7788007830714049
1.0,0.94,False,0.260495350215868,0.06937718650994454,0.004998040779258595,0.019186679436376905,0.6065306597126334,0.7788007830714049
1.2,0.98,False,0.33804005358723516,0.2122162718015413,0.08476214749624084,0.2507458704871107,0.4867522559599717,0.697676326071031
1.2,0.96,False,0.3298823275295738,0.13187763958338042,0.022282107233472397,0.06754562270837262,0.4867522559599717,0.697676326071031
1.2,0.94,False,0.32178312615783194,0.08242512817536962,0.005854955413842954,0.01819534629970357,0.4867522559599717,0.697676326071031
1.4,0.98,False,0.39410699134026267,0.241640231693456,0.09404400960974668,0.23862558055599503,0.37531109885139957,0.6126263941844161
1.4,0.96,False,0.38402836959777437,0.14776648281706062,0.024388848945794312,0.06350793555001895,0.37531109885139957,0.6126263941844161
1.4,0.94,False,0.37404803595006725,0.09140565667600899,0.0063850393634468814,0.017070105306739903,0.37531109885139957,0.6126263941844161
1.6,0.98,False,0.4408121007829431,0.2627712150785721,0.09919316418601669,0.22502368698553407,0.2780373004531941,0.5272924240430485
1.6,0.96,False,0.4287789210742873,0.1576655802374379,0.025321292112433388,0.05905442377855696,0.2780373004531941,0.5272924240430485
1.6,0.94,False,0.4168987845002973,0.09635442425581668,0.006601058245391444,0.015833719096359555,0.2780373004531941,0.5272924240430485
