rule,branch,eval_year,window_start,window_end,window_n_returns,sigma_annual,A,rho,calibration_loss,calibration_loss_mc_se,n_within_one_mc_se,on_grid_boundary,scales_floored,seed_tag
rolling3y,sv_only,2020,2017-01-01,2019-12-31,753,0.12800611779874022,1.2,0.94,0.26789377409408677,0.0072052482686632375,1,False,[],35547786
rolling3y,sv_jump,2020,2017-01-01,2019-12-31,753,0.12800611779874022,1.2,0.96,0.42274500485594674,0.013616266343734041,1,False,[],929224567
expanding,sv_only,2020,2017-01-01,2019-12-31,753,0.12800611779874022,1.2,0.94,0.2749864029025967,0.007057733475822532,1,False,[],2111829271
expanding,sv_jump,2020,2017-01-01,2019-12-31,753,0.12800611779874022,1.2,0.96,0.41198097189130456,0.015918506299731332,1,False,[],1714811991
rolling3y,sv_only,2021,2018-01-01,2020-12-31,756,0.23331492211399943,1.6,0.98,1.105818786815366,0.027198819925173943,2,False,[],1913729623
rolling3y,sv_jump,2021,2018-01-01,2020-12-31,756,0.23331492211399943,1.6,0.98,2.4743924228955523,0.05335896549185184,2,False,[],227359699
expanding,sv_only,2021,2017-01-01,2020-12-31,1006,0.20491959836521506,1.6,0.98,1.3288051840103121,0.02999211850215629,1,False,[],747409356
expanding,sv_jump,2021,2017-01-01,2020-12-31,1006,0.20491959836521506,1.6,0.98,3.1645026067856,0.06246653652520186,1,False,[],786312001
rolling3y,sv_only,2022,2019-01-01,2021-12-31,757,0.2244403317858161,1.6,0.98,1.5776332411867848,0.0293795551291557,1,False,[],1941819843
rolling3y,sv_jump,2022,2019-01-01,2021-12-31,757,0.2244403317858161,1.6,0.98,3.111057302036031,0.06300158672412634,1,False,[],2108723190
expanding,sv_only,2022,2017-01-01,2021-12-31,1258,0.1923686721294862,1.4,0.98,1.5134372471971027,0.024662338831635763,1,False,[],1840149988
expanding,sv_jump,2022,2017-01-01,2021-12-31,1258,0.1923686721294862,1.4,0.98,3.468572835278061,0.06449992173753058,1,False,[],574941415
rolling3y,sv_only,2023,2020-01-01,2022-12-31,756,0.2545126126076897,1.2,0.98,1.0408336407807957,0.019929692228394177,2,False,[],424714349
rolling3y,sv_jump,2023,2020-01-01,2022-12-31,756,0.2545126126076897,1.2,0.98,2.0761233694086774,0.03780998637724776,3,False,[],439982976
expanding,sv_only,2023,2017-01-01,2022-12-31,1509,0.20150379648559902,1.4,0.98,0.7393091528377068,0.017621038389410357,1,False,[],2036624753
expanding,sv_jump,2023,2017-01-01,2022-12-31,1509,0.20150379648559902,1.4,0.98,2.0244360288919205,0.04750565176957396,1,False,[],1051331462
