eval_year,branch,target,standardising_scale,shared_by
2020,sv_only,rv21_q10,0.3427699286546451,"every method scored in this (year, branch) cell"
2020,sv_only,rv21_q50,0.31137852095908225,"every method scored in this (year, branch) cell"
2020,sv_only,rv21_q90,0.3431370942207196,"every method scored in this (year, branch) cell"
2020,sv_only,acf_absret_lag1,0.10405079236797525,"every method scored in this (year, branch) cell"
2020,sv_only,acf_absret_lag5,0.10176674063932195,"every method scored in this (year, branch) cell"
2020,sv_only,acf_absret_lag10,0.10071588249027973,"every method scored in this (year, branch) cell"
2020,sv_only,acf_absret_lag21,0.09278131063780054,"every method scored in this (year, branch) cell"
2020,sv_only,acf_absret_lag63,0.09060202995469731,"every method scored in this (year, branch) cell"
2020,sv_jump,rv21_q10,0.3364308355379548,"every method scored in this (year, branch) cell"
2020,sv_jump,rv21_q50,0.30572227629711207,"every method scored in this (year, branch) cell"
2020,sv_jump,rv21_q90,0.32040212860576345,"every method scored in this (year, branch) cell"
2020,sv_jump,acf_absret_lag1,0.10140127067948314,"every method scored in this (year, branch) cell"
2020,sv_jump,acf_absret_lag5,0.10003943279610261,"every method scored in this (year, branch) cell"
2020,sv_jump,acf_absret_lag10,0.09549015429517857,"every method scored in this (year, branch) cell"
2020,sv_jump,acf_absret_lag21,0.08826508312981787,"every method scored in this (year, branch) cell"
2020,sv_jump,acf_absret_lag63,0.0817471000601846,"every method scored in this (year, branch) cell"
2021,sv_only,rv21_q10,0.33227867373748954,"every method scored in this (year, branch) cell"
2021,sv_only,rv21_q50,0.30080735971015204,"every method scored in this (year, branch) cell"
2021,sv_only,rv21_q90,0.34095315850040486,"every method scored in this (year, branch) cell"
2021,sv_only,acf_absret_lag1,0.10366348991941556,"every method scored in this (year, branch) cell"
2021,sv_only,acf_absret_lag5,0.10104847360745496,"every method scored in this (year, branch) cell"
2021,sv_only,acf_absret_lag10,0.1014806606714387,"every method scored in this (year, branch) cell"
2021,sv_only,acf_absret_lag21,0.0933406468778703,"every method scored in this (year, branch) cell"
2021,sv_only,acf_absret_lag63,0.0900478172191878,"every method scored in this (year, branch) cell"
2021,sv_jump,rv21_q10,0.343342164225059,"every method scored in this (year, branch) cell"
2021,sv_jump,rv21_q50,0.3091439092862655,"every method scored in this (year, branch) cell"
2021,sv_jump,rv21_q90,0.3234666074074146,"every method scored in this (year, branch) cell"
2021,sv_jump,acf_absret_lag1,0.0988228778440923,"every method scored in this (year, branch) cell"
2021,sv_jump,acf_absret_lag5,0.09896263650315185,"every method scored in this (year, branch) cell"
2021,sv_jump,acf_absret_lag10,0.09342003569305833,"every method scored in this (year, branch) cell"
2021,sv_jump,acf_absret_lag21,0.08665245008200853,"every method scored in this (year, branch) cell"
2021,sv_jump,acf_absret_lag63,0.08171634428384526,"every method scored in this (year, branch) cell"
2022,sv_only,rv21_q10,0.33349509111261244,"every method scored in this (year, branch) cell"
2022,sv_only,rv21_q50,0.30463865164541365,"every method scored in this (year, branch) cell"
2022,sv_only,rv21_q90,0.33743488114528436,"every method scored in this (year, branch) cell"
2022,sv_only,acf_absret_lag1,0.10185402517786056,"every method scored in this (year, branch) cell"
2022,sv_only,acf_absret_lag5,0.10407446772541253,"every method scored in this (year, branch) cell"
2022,sv_only,acf_absret_lag10,0.1014946799709027,"every method scored in this (year, branch) cell"
2022,sv_only,acf_absret_lag21,0.09474533641732052,"every method scored in this (year, branch) cell"
2022,sv_only,acf_absret_lag63,0.0883053498750615,"every method scored in this (year, branch) cell"
2022,sv_jump,rv21_q10,0.32773486889622766,"every method scored in this (year, branch) cell"
2022,sv_jump,rv21_q50,0.3013536166899958,"every method scored in this (year, branch) cell"
2022,sv_jump,rv21_q90,0.32013703711921954,"every method scored in this (year, branch) cell"
2022,sv_jump,acf_absret_lag1,0.09987890096604492,"every method scored in this (year, branch) cell"
2022,sv_jump,acf_absret_lag5,0.09974655398024795,"every method scored in this (year, branch) cell"
2022,sv_jump,acf_absret_lag10,0.09163446743739947,"every method scored in this (year, branch) cell"
2022,sv_jump,acf_absret_lag21,0.085425169630735,"every method scored in this (year, branch) cell"
2022,sv_jump,acf_absret_lag63,0.08219744230933482,"every method scored in this (year, branch) cell"
2023,sv_only,rv21_q10,0.337258406141187,"every method scored in this (year, branch) cell"
2023,sv_only,rv21_q50,0.30507183580863334,"every method scored in this (year, branch) cell"
2023,sv_only,rv21_q90,0.33875044044691943,"every method scored in this (year, branch) cell"
2023,sv_only,acf_absret_lag1,0.10564514229246608,"every method scored in this (year, branch) cell"
2023,sv_only,acf_absret_lag5,0.10242022882656934,"every method scored in this (year, branch) cell"
2023,sv_only,acf_absret_lag10,0.09883141440709094,"every method scored in this (year, branch) cell"
2023,sv_only,acf_absret_lag21,0.09560030210099016,"every method scored in this (year, branch) cell"
2023,sv_only,acf_absret_lag63,0.09327863339408207,"every method scored in this (year, branch) cell"
2023,sv_jump,rv21_q10,0.32944939587053645,"every method scored in this (year, branch) cell"
2023,sv_jump,rv21_q50,0.3001098069088859,"every method scored in this (year, branch) cell"
2023,sv_jump,rv21_q90,0.3120748149122806,"every method scored in this (year, branch) cell"
2023,sv_jump,acf_absret_lag1,0.10084900346589254,"every method scored in this (year, branch) cell"
2023,sv_jump,acf_absret_lag5,0.097552163329222,"every method scored in this (year, branch) cell"
2023,sv_jump,acf_absret_lag10,0.0951285364561861,"every method scored in this (year, branch) cell"
2023,sv_jump,acf_absret_lag21,0.08772668100128049,"every method scored in this (year, branch) cell"
2023,sv_jump,acf_absret_lag63,0.08552197526014158,"every method scored in this (year, branch) cell"
