eval_year,rule,branch,A_prefix,rho_prefix,loss_recalibrated_prefix,loss_fixed_baseline_prefix,loss_difference_prefix,A_postfix,rho_postfix,loss_recalibrated_postfix,loss_fixed_baseline_postfix,loss_difference_postfix,parameters_moved,sign_flipped
2020,expanding,sv_jump,1.2,0.96,7.359951418134225,8.001766282802274,-0.6418148646680493,1.2,0.96,7.502562672461018,8.031174517439492,-0.5286118449784745,False,False
2020,expanding,sv_only,1.2,0.94,6.068379308795063,6.641827792306381,-0.573448483511318,1.2,0.94,6.2172908420145045,6.588178280858905,-0.3708874388444005,False,False
2020,rolling3y,sv_jump,1.2,0.96,7.5124117637062735,8.017073717817842,-0.5046619541115689,1.2,0.96,7.60598971584624,8.003223669198249,-0.3972339533520088,False,False
2020,rolling3y,sv_only,1.2,0.94,6.082437851793901,6.569534093054399,-0.487096241260498,1.2,0.94,6.087852030399182,6.576714301476348,-0.4888622710771662,False,False
2021,expanding,sv_jump,1.6,0.98,1.437057753293132,1.0112646643827157,0.4257930889104164,1.6,0.98,1.4416647293449445,1.018808808868754,0.4228559204761903,False,False
2021,expanding,sv_only,1.6,0.98,1.7674599314782125,1.14125859389745,0.6262013375807625,1.6,0.98,1.8398863208090872,1.0775822004780182,0.762304120331069,False,False
2021,rolling3y,sv_jump,1.6,0.98,1.4543559841398412,1.4103467951354332,0.044009189004408,1.6,0.98,1.4043452170113009,1.417593911681298,-0.0132486946699974,False,True
2021,rolling3y,sv_only,1.6,0.98,1.8793522963856375,1.5238855043987192,0.3554667919869185,1.6,0.98,1.7488675829030649,1.593492450232162,0.1553751326709027,False,False
2022,expanding,sv_jump,1.4,0.98,4.029594692735867,2.0836383459343883,1.9459563468014789,1.4,0.98,4.406611335674045,2.284821268969517,2.121790066704528,False,False
2022,expanding,sv_only,1.4,0.98,4.874050752027097,2.4223345967759387,2.4517161552511584,1.4,0.98,4.817532996586374,2.3343321804453265,2.4832008161410477,False,False
2022,rolling3y,sv_jump,1.6,0.98,4.29358386317062,1.5261070366711371,2.767476826499483,1.6,0.98,4.7621022071078905,1.690288955245956,3.0718132518619345,False,False
2022,rolling3y,sv_only,1.4,0.98,3.9577409117632865,1.824580850795169,2.1331600609681174,1.6,0.98,5.525277266761995,1.7343064744918202,3.7909707922701745,True,False
2023,expanding,sv_jump,1.4,0.98,0.9728761233582552,0.613701057365402,0.3591750659928532,1.4,0.98,1.0105241057684982,0.6572974924231638,0.3532266133453343,False,False
2023,expanding,sv_only,1.4,0.98,1.2188594326588689,0.6844693944627346,0.5343900381961343,1.4,0.98,1.2482561950872897,0.722767206629374,0.5254889884579155,False,False
2023,rolling3y,sv_jump,1.4,0.98,1.2566567156285735,1.3610441642346591,-0.1043874486060854,1.2,0.98,1.3581053080478005,1.4254125670292084,-0.0673072589814081,True,False
2023,rolling3y,sv_only,1.4,0.98,1.565330481040327,1.375777881720743,0.1895525993195841,1.2,0.98,1.4263115503004125,1.4510114931914195,-0.024699942891007,True,True
