date,prev_date,prev_price,price,ret,return_percent,z_vs_training,gap_trading_days
2020-03-16,2020-03-13,2711.02,2386.13,-0.11984050283657066,-11.9841,-9.945,1
2020-03-12,2020-03-11,2741.38,2480.64,-0.09511268047479748,-9.5113,-7.904,1
2020-03-24,2020-03-23,2237.4,2447.33,0.09382765710199337,9.3828,7.688,1
2020-03-13,2020-03-12,2480.64,2711.02,0.0928711945304439,9.2871,7.609,1
2020-03-09,2020-03-06,2972.37,2746.56,-0.07596968075979771,-7.597,-6.324,1
2020-04-06,2020-04-03,2488.65,2663.68,0.07033130412070787,7.0331,5.749,1
2020-03-26,2020-03-25,2475.56,2630.07,0.06241416083633622,6.2414,5.095,1
2020-03-17,2020-03-16,2386.13,2529.19,0.05995482224354909,5.9955,4.892,1
2020-06-11,2020-06-10,3190.14,3002.1,-0.058944121574601716,-5.8944,-4.919,1
2020-03-18,2020-03-17,2529.19,2398.1,-0.05183082330706679,-5.1831,-4.332,1
