eval_year,rule,branch,method,statistic,real,sim_median,sim_p2.5,sim_p97.5
2020,rolling3y,sv_only,recalibrated,skewness,-0.5501807512353083,-0.010193231914856816,-1.5165715528532357,1.4736498602854058
2020,rolling3y,sv_only,recalibrated,excess_kurtosis,7.849403534837148,3.369671352160998,0.7863576713329915,16.321137195428683
2020,rolling3y,sv_only,recalibrated,tail_below_m2_count,9.0,7.0,3.0,11.0
2020,rolling3y,sv_only,recalibrated,tail_above_p2_count,7.0,7.0,3.0,11.0
2020,rolling3y,sv_only,recalibrated,tail_below_m3_count,3.0,2.0,0.0,5.0
2020,rolling3y,sv_only,recalibrated,tail_above_p3_count,3.0,2.0,0.0,5.0
2020,rolling3y,sv_only,recalibrated,acf_ret_lag1,-0.3530845972629322,-0.0004947739301524476,-0.19185558067713399,0.1921362748401132
2020,rolling3y,sv_only,recalibrated,acf_ret_lag5,0.15352132809560168,-0.0030266365225501677,-0.17336560411851204,0.16488055544812483
2020,rolling3y,sv_only,recalibrated,acf_sqret_lag1,0.5189618523614875,0.18854428949592691,0.015895500934639598,0.4679836143838576
2020,rolling3y,sv_only,recalibrated,acf_sqret_lag5,0.3070037455135595,0.10717363486195014,-0.0166931162135524,0.3663527704200783
2020,rolling3y,sv_only,recalibrated,leadlag_ret_vs_future_sq_lag1,-0.09234598538757922,-0.0005573806998950421,-0.23453814186072364,0.20978900414140705
2020,rolling3y,sv_only,recalibrated,leadlag_ret_vs_future_sq_lag5,-0.08216822923904046,0.0015044753512423819,-0.18796227144600203,0.19011840029168287
2020,rolling3y,sv_only,recalibrated,concentration_max_exceed_63d,6.0,3.0,1.0,6.0
2020,rolling3y,sv_only,fixed_baseline,skewness,-0.5501807512353083,0.005210229158856978,-0.803068515230994,0.7902031191192065
2020,rolling3y,sv_only,fixed_baseline,excess_kurtosis,7.849403534837148,1.5218401319382062,0.10062087076048302,7.016914342726002
2020,rolling3y,sv_only,fixed_baseline,tail_below_m2_count,9.0,7.0,3.0,11.0
2020,rolling3y,sv_only,fixed_baseline,tail_above_p2_count,7.0,7.0,3.0,11.0
2020,rolling3y,sv_only,fixed_baseline,tail_below_m3_count,3.0,1.0,0.0,4.0
2020,rolling3y,sv_only,fixed_baseline,tail_above_p3_count,3.0,1.0,0.0,4.0
2020,rolling3y,sv_only,fixed_baseline,acf_ret_lag1,-0.3530845972629322,-0.0022750210501959424,-0.1683022301718299,0.15043147696240172
2020,rolling3y,sv_only,fixed_baseline,acf_ret_lag5,0.15352132809560168,-0.004550345710425094,-0.16156066496593324,0.15119713395233314
2020,rolling3y,sv_only,fixed_baseline,acf_sqret_lag1,0.5189618523614875,0.13295128525145022,-0.02169633601461736,0.3881397491014341
2020,rolling3y,sv_only,fixed_baseline,acf_sqret_lag5,0.3070037455135595,0.11203636716576208,-0.02791089418373398,0.3626253785999638
2020,rolling3y,sv_only,fixed_baseline,leadlag_ret_vs_future_sq_lag1,-0.09234598538757922,0.0005329751577018779,-0.17388942955088485,0.18238252544730943
2020,rolling3y,sv_only,fixed_baseline,leadlag_ret_vs_future_sq_lag5,-0.08216822923904046,-0.004744663920703204,-0.17036204448514103,0.164689500691593
2020,rolling3y,sv_only,fixed_baseline,concentration_max_exceed_63d,6.0,2.0,0.0,6.0
2020,rolling3y,sv_jump,recalibrated,skewness,-0.5501807512353083,-0.015074591957719072,-4.25844221651053,3.7003011530531054
2020,rolling3y,sv_jump,recalibrated,excess_kurtosis,7.849403534837148,6.102162268147421,0.9492601871815937,53.498397249666176
2020,rolling3y,sv_jump,recalibrated,tail_below_m2_count,9.0,6.0,2.0,11.0
2020,rolling3y,sv_jump,recalibrated,tail_above_p2_count,7.0,6.0,2.0,11.0
2020,rolling3y,sv_jump,recalibrated,tail_below_m3_count,3.0,2.0,0.0,5.0
2020,rolling3y,sv_jump,recalibrated,tail_above_p3_count,3.0,2.0,0.0,5.0
2020,rolling3y,sv_jump,recalibrated,acf_ret_lag1,-0.3530845972629322,-0.0032164454166356254,-0.18111489347305026,0.15906225924174705
2020,rolling3y,sv_jump,recalibrated,acf_ret_lag5,0.15352132809560168,-0.004821784706698211,-0.16731732657023965,0.15439455800716362
2020,rolling3y,sv_jump,recalibrated,acf_sqret_lag1,0.5189618523614875,0.08879667809481702,-0.01797310392912384,0.42690063325142735
2020,rolling3y,sv_jump,recalibrated,acf_sqret_lag5,0.3070037455135595,0.05493029485744798,-0.024823888089279617,0.34269855077710887
2020,rolling3y,sv_jump,recalibrated,leadlag_ret_vs_future_sq_lag1,-0.09234598538757922,-0.002217209605313829,-0.19754750525410855,0.17713273857780099
2020,rolling3y,sv_jump,recalibrated,leadlag_ret_vs_future_sq_lag5,-0.08216822923904046,-0.0008070631195314306,-0.1677119651107554,0.1639246683780679
2020,rolling3y,sv_jump,recalibrated,concentration_max_exceed_63d,6.0,3.0,1.0,6.0
2020,rolling3y,sv_jump,fixed_baseline,skewness,-0.5501807512353083,0.0197154904278639,-4.344737927074358,4.630158067064635
2020,rolling3y,sv_jump,fixed_baseline,excess_kurtosis,7.849403534837148,4.167963273614657,0.2897462095548424,63.10540360399832
2020,rolling3y,sv_jump,fixed_baseline,tail_below_m2_count,9.0,6.0,1.0,10.0
2020,rolling3y,sv_jump,fixed_baseline,tail_above_p2_count,7.0,6.0,1.0,11.0
2020,rolling3y,sv_jump,fixed_baseline,tail_below_m3_count,3.0,1.0,0.0,4.0
2020,rolling3y,sv_jump,fixed_baseline,tail_above_p3_count,3.0,1.0,0.0,4.0
