rule,branch,eval_year,window_start,window_end,window_n_returns,sigma_annual,A,rho,calibration_loss,calibration_loss_mc_se,n_within_one_mc_se,on_grid_boundary,scales_floored,seed_tag
rolling3y,sv_only,2020,2017-01-01,2019-12-31,753,0.12800611779874022,1.2,0.94,0.2709660776065845,0.008535449962741921,1,False,[],837473799
rolling3y,sv_jump,2020,2017-01-01,2019-12-31,753,0.12800611779874022,1.2,0.96,0.42784700895693656,0.01491862966308929,2,False,[],67783011
expanding,sv_only,2020,2017-01-01,2019-12-31,753,0.12800611779874022,1.2,0.94,0.25813884820551997,0.007576147481120473,1,False,[],1173120993
expanding,sv_jump,2020,2017-01-01,2019-12-31,753,0.12800611779874022,1.2,0.96,0.41037028301603673,0.013084823630456729,1,False,[],403430205
rolling3y,sv_only,2021,2018-01-01,2020-12-31,756,0.23331492211399943,1.6,0.98,1.1387754263610321,0.027309216109739274,2,False,[],837441282
rolling3y,sv_jump,2021,2018-01-01,2020-12-31,756,0.23331492211399943,1.6,0.98,2.357129039594373,0.04949197631236849,2,False,[],67750494
expanding,sv_only,2021,2017-01-01,2020-12-31,1006,0.20491959836521506,1.6,0.98,1.2767252694064959,0.029623966079257717,1,False,[],1173088476
expanding,sv_jump,2021,2017-01-01,2020-12-31,1006,0.20491959836521506,1.6,0.98,3.0381855158696127,0.055431072765485825,1,False,[],403397688
rolling3y,sv_only,2022,2019-01-01,2021-12-31,757,0.2244403317858161,1.4,0.98,1.5728765595281748,0.02483213579191791,1,False,[],837447520
rolling3y,sv_jump,2022,2019-01-01,2021-12-31,757,0.2244403317858161,1.6,0.98,3.2698427578657365,0.06302199966639815,1,False,[],67756732
expanding,sv_only,2022,2017-01-01,2021-12-31,1258,0.1923686721294862,1.4,0.98,1.4793738478839242,0.0270512549556628,1,False,[],1173094714
expanding,sv_jump,2022,2017-01-01,2021-12-31,1258,0.1923686721294862,1.4,0.98,3.5281151009801857,0.055298895015351776,2,False,[],403403926
rolling3y,sv_only,2023,2020-01-01,2022-12-31,756,0.2545126126076897,1.4,0.98,1.0396393307416691,0.02297535711342777,1,False,[],837422980
rolling3y,sv_jump,2023,2020-01-01,2022-12-31,756,0.2545126126076897,1.4,0.98,2.0164961676944886,0.04495099623687772,1,False,[],67732192
expanding,sv_only,2023,2017-01-01,2022-12-31,1509,0.20150379648559902,1.4,0.98,0.7631692403643809,0.01967779395338889,1,False,[],1173070174
expanding,sv_jump,2023,2017-01-01,2022-12-31,1509,0.20150379648559902,1.4,0.98,2.014076249783376,0.04897276737759683,1,False,[],403379386
