eval_year,rule,branch,method,A,rho,sigma_annual,eval_n_days,loss,loss_mc_se,rv21_component,acf_abs_component,calibration_window,calibration_n_returns,on_grid_boundary,n_within_one_mc_se
2020,rolling3y,sv_only,recalibrated,1.2,0.94,0.12800611779874022,253,6.082437851793901,0.06710454504215771,8.171610762363853,3.9932649412239485,2017-01-01..2019-12-31,753,False,1
2020,rolling3y,sv_only,fixed_baseline,1.0,0.98,0.12800611779874022,253,6.569534093054399,0.07815011010052557,7.777274223421922,5.3617939626868765,2017-01-01..2019-12-31,753,False,1
2020,rolling3y,sv_jump,recalibrated,1.2,0.96,0.12800611779874022,253,7.5124117637062735,0.07779452864450881,9.357761130170791,5.6670623972417555,2017-01-01..2019-12-31,753,False,2
2020,rolling3y,sv_jump,fixed_baseline,1.0,0.98,0.12800611779874022,253,8.017073717817842,0.08725512430674882,8.812171991206085,7.2219754444295985,2017-01-01..2019-12-31,753,False,2
2020,expanding,sv_only,recalibrated,1.2,0.94,0.12800611779874022,253,6.068379308795063,0.06221444526408682,8.084419595076847,4.052339022513278,2017-01-01..2019-12-31,753,False,1
2020,expanding,sv_only,fixed_baseline,1.0,0.98,0.12800611779874022,253,6.641827792306381,0.08749511985192703,7.865716859034571,5.41793872557819,2017-01-01..2019-12-31,753,False,1
2020,expanding,sv_jump,recalibrated,1.2,0.96,0.12800611779874022,253,7.359951418134225,0.07844546751352793,9.135324000024434,5.584578836244015,2017-01-01..2019-12-31,753,False,1
2020,expanding,sv_jump,fixed_baseline,1.0,0.98,0.12800611779874022,253,8.001766282802274,0.08504768712345351,8.68637475682007,7.3171578087844775,2017-01-01..2019-12-31,753,False,1
2021,rolling3y,sv_only,recalibrated,1.6,0.98,0.23331492211399943,252,1.8793522963856377,0.04478548036418394,0.8948288586771129,2.8638757340941625,2018-01-01..2020-12-31,756,False,2
2021,rolling3y,sv_only,fixed_baseline,1.0,0.98,0.23331492211399943,252,1.5238855043987192,0.03493104632160297,1.694322728373263,1.3534482804241752,2018-01-01..2020-12-31,756,False,2
2021,rolling3y,sv_jump,recalibrated,1.6,0.98,0.23331492211399943,252,1.4543559841398412,0.04235362329986296,1.2101412500326412,1.6985707182470413,2018-01-01..2020-12-31,756,False,2
2021,rolling3y,sv_jump,fixed_baseline,1.0,0.98,0.23331492211399943,252,1.4103467951354332,0.026949453754942877,1.6859517965873643,1.1347417936835023,2018-01-01..2020-12-31,756,False,2
2021,expanding,sv_only,recalibrated,1.6,0.98,0.20491959836521506,252,1.7674599314782125,0.04981088082173699,0.8453862050417084,2.6895336579147164,2017-01-01..2020-12-31,1006,False,1
2021,expanding,sv_only,fixed_baseline,1.0,0.98,0.20491959836521506,252,1.14125859389745,0.031733520364892374,0.9319347741264125,1.3505824136684876,2017-01-01..2020-12-31,1006,False,1
2021,expanding,sv_jump,recalibrated,1.6,0.98,0.20491959836521506,252,1.4370577532931321,0.04018699956439392,1.1105624019096494,1.7635531046766146,2017-01-01..2020-12-31,1006,False,1
2021,expanding,sv_jump,fixed_baseline,1.0,0.98,0.20491959836521506,252,1.0112646643827157,0.025823626718947213,0.8777425486478935,1.1447867801175378,2017-01-01..2020-12-31,1006,False,1
2022,rolling3y,sv_only,recalibrated,1.4,0.98,0.2244403317858161,251,3.9577409117632865,0.06311352924254021,3.7756661278074137,4.139815695719159,2019-01-01..2021-12-31,757,False,1
2022,rolling3y,sv_only,fixed_baseline,1.0,0.98,0.2244403317858161,251,1.824580850795169,0.03574738221100724,1.3419721852968542,2.307189516293484,2019-01-01..2021-12-31,757,False,1
2022,rolling3y,sv_jump,recalibrated,1.6,0.98,0.2244403317858161,251,4.29358386317062,0.09560680815739517,5.637846238892389,2.9493214874488514,2019-01-01..2021-12-31,757,False,1
2022,rolling3y,sv_jump,fixed_baseline,1.0,0.98,0.2244403317858161,251,1.5261070366711373,0.030911579272024883,1.5397260806333624,1.5124879927089123,2019-01-01..2021-12-31,757,False,1
2022,expanding,sv_only,recalibrated,1.4,0.98,0.1923686721294862,251,4.874050752027097,0.0939599140232448,5.3797269063558675,4.368374597698326,2017-01-01..2021-12-31,1258,False,1
2022,expanding,sv_only,fixed_baseline,1.0,0.98,0.1923686721294862,251,2.4223345967759387,0.04355182824929254,2.561873676390289,2.2827955171615884,2017-01-01..2021-12-31,1258,False,1
2022,expanding,sv_jump,recalibrated,1.4,0.98,0.1923686721294862,251,4.029594692735867,0.07812269007205794,5.564612600705126,2.494576784766609,2017-01-01..2021-12-31,1258,False,2
2022,expanding,sv_jump,fixed_baseline,1.0,0.98,0.1923686721294862,251,2.0836383459343883,0.043614358543975974,2.682453833481133,1.4848228583876435,2017-01-01..2021-12-31,1258,False,2
2023,rolling3y,sv_only,recalibrated,1.4,0.98,0.2545126126076897,250,1.565330481040327,0.04032225589832718,1.5179488748714558,1.6127120872091982,2020-01-01..2022-12-31,756,False,1
2023,rolling3y,sv_only,fixed_baseline,1.0,0.98,0.2545126126076897,250,1.375777881720743,0.03265855799367397,2.163880631845743,0.5876751315957428,2020-01-01..2022-12-31,756,False,1
2023,rolling3y,sv_jump,recalibrated,1.4,0.98,0.2545126126076897,250,1.2566567156285737,0.03249285007500408,1.8289214596822798,0.6843919715748678,2020-01-01..2022-12-31,756,False,1
2023,rolling3y,sv_jump,fixed_baseline,1.0,0.98,0.2545126126076897,250,1.3610441642346591,0.030505221162488973,2.423247926108798,0.29884040236052006,2020-01-01..2022-12-31,756,False,1
2023,expanding,sv_only,recalibrated,1.4,0.98,0.20150379648559902,250,1.2188594326588689,0.03770125979081234,0.8287154157894117,1.6090034495283259,2017-01-01..2022-12-31,1509,False,1
2023,expanding,sv_only,fixed_baseline,1.0,0.98,0.20150379648559902,250,0.6844693944627346,0.021877068555923664,0.7881400389096692,0.5807987500158,2017-01-01..2022-12-31,1509,False,1
2023,expanding,sv_jump,recalibrated,1.4,0.98,0.20150379648559902,250,0.9728761233582552,0.027312981692126776,1.2420342751940028,0.7037179715225077,2017-01-01..2022-12-31,1509,False,1
2023,expanding,sv_jump,fixed_baseline,1.0,0.98,0.20150379648559902,250,0.613701057365402,0.020618811673132263,0.9101172247863781,0.31728488994442594,2017-01-01..2022-12-31,1509,False,1
