method,subgroup,A_high,kappa_high,note,n_invalid,detect_d504,detect_d504_lo,detect_d504_hi,n_valid,far_d504,far_d504_lo,far_d504_hi
binary_gaussian,"A < 0.5, kappa < 4",False,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2488,0.5731511254019293,0.5536175662609645,0.5924591428777738,2486,0.1415929203539823,0.1284407506356291,0.15585102879194984
binary_gaussian,"A < 0.5, kappa >= 4",False,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2483,0.5698751510269835,0.5503083334643082,0.5892260943413765,2471,0.13921489275596924,0.1261249746884444,0.1534248349993118
binary_gaussian,"A >= 0.5, kappa < 4",True,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2516,0.568362480127186,0.5489189923100722,0.587597532884729,2496,0.14463141025641027,0.13137873467985717,0.15897626213786564
binary_gaussian,"A >= 0.5, kappa >= 4",True,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2513,0.5567051333068046,0.5372104652942647,0.5760267030625935,2547,0.1385944248135061,0.12571905593598637,0.15255831656244728
binary_student_t,"A < 0.5, kappa < 4",False,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2488,0.6045016077170418,0.585141698364864,0.6235393146904765,2486,0.1745776347546259,0.16016067848541354,0.1899987486267204
binary_student_t,"A < 0.5, kappa >= 4",False,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2483,0.6242448650825614,0.6050169260553495,0.643088958544384,2471,0.14366653176851477,0.13038966347155354,0.15804960453749792
binary_student_t,"A >= 0.5, kappa < 4",True,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2516,0.6164546899841018,0.5972908981927015,0.6352634150751867,2496,0.1438301282051282,0.13061041825877337,0.15814447708615956
binary_student_t,"A >= 0.5, kappa >= 4",True,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2513,0.6203740549144449,0.6012300232917102,0.6391506323430244,2547,0.11228896741264233,0.10060683426359104,0.12513885323472856
trailing_sharpe_252,"A < 0.5, kappa < 4",False,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2488,0.5486334405144695,0.5290197103625692,0.5680972226362625,2486,0.16009654062751408,0.14620792233842797,0.17503400091219404
trailing_sharpe_252,"A < 0.5, kappa >= 4",False,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2483,0.5722915827627869,0.552734651760157,0.5916251741252632,2471,0.14407122622420074,0.13077758852518206,0.1584698120585326
trailing_sharpe_252,"A >= 0.5, kappa < 4",True,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2516,0.559220985691574,0.5397455894174588,0.5785158190361772,2496,0.14783653846153846,0.13445343101640142,0.16230197169248053
trailing_sharpe_252,"A >= 0.5, kappa >= 4",True,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2513,0.5594906486271389,0.5400044407210773,0.5787952552041882,2547,0.14055751864939145,0.12760014465018193,0.15459750284826024
ewma_student_t,"A < 0.5, kappa < 4",False,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2488,0.5482315112540193,0.528616867242193,0.5676974464756565,2486,0.13998390989541432,0.1268993423853773,0.15417938105758916
ewma_student_t,"A < 0.5, kappa >= 4",False,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2483,0.6085380587998389,0.5891868354918632,0.6275539615895895,2471,0.14123836503439902,0.1280628997073571,0.15552757285371513
ewma_student_t,"A >= 0.5, kappa < 4",True,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2516,0.6649443561208267,0.6462617259470237,0.6831240761218281,2496,0.14783653846153846,0.13445343101640142,0.16230197169248053
ewma_student_t,"A >= 0.5, kappa >= 4",True,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2513,0.6828491842419419,0.664387055313074,0.7007531472130764,2547,0.13898704358068315,0.12609520196697585,0.15296622553145947
ewma_trunc_student_t,"A < 0.5, kappa < 4",False,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2488,0.5409967845659164,0.5213678847348391,0.5604992819253329,2486,0.13314561544650041,0.1203552288038321,0.14706800670453157
ewma_trunc_student_t,"A < 0.5, kappa >= 4",False,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2483,0.6190092629883206,0.5997378874008061,0.637912968026167,2471,0.1424524484014569,0.12922611224718203,0.1567887580378798
ewma_trunc_student_t,"A >= 0.5, kappa < 4",True,False,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2516,0.6617647058823529,0.6430440767286596,0.6799921195171781,2496,0.14342948717948717,0.13022631437595983,0.1577285302325782
ewma_trunc_student_t,"A >= 0.5, kappa >= 4",True,True,"the single frozen mixture threshold, read back on this subgroup; no subgroup was calibrated separately",2513,0.7103064066852368,0.6922605195495305,0.7277103118652041,2547,0.14840989399293286,0.13513322006247136,0.16274552743600484
