day,n_reps,brier_a,brier_b,diff,lo,hi,excludes_zero,scenario,a,b,followup
63,2000,0.2217283638830434,0.23248240874278717,-0.010754044859743767,-0.012148984245261563,-0.00940518033808834,True,sv_jump,ewma_student_t,ewma_gaussian,False
126,2000,0.197449627433343,0.21697189306537967,-0.019522265632036684,-0.02146162544452554,-0.017565755583291473,True,sv_jump,ewma_student_t,ewma_gaussian,False
252,2000,0.16145733559789868,0.19212868438089786,-0.03067134878299918,-0.03299679968230093,-0.028253879710273783,True,sv_jump,ewma_student_t,ewma_gaussian,False
504,2000,0.10995280439765207,0.1534756240634192,-0.043522819665767126,-0.04624498884464988,-0.04067637502122019,True,sv_jump,ewma_student_t,ewma_gaussian,False
63,2000,0.2217283638830434,0.2272746981904803,-0.005546334307436895,-0.006495929862665151,-0.004594414557054341,True,sv_jump,ewma_student_t,binary_student_t,True
126,2000,0.197449627433343,0.20658402397891873,-0.00913439654557574,-0.01040391707833825,-0.007883779470934656,True,sv_jump,ewma_student_t,binary_student_t,True
252,2000,0.16145733559789868,0.17429757918463698,-0.012840243586738298,-0.014436523902977092,-0.011177016783521851,True,sv_jump,ewma_student_t,binary_student_t,True
504,2000,0.10995280439765207,0.127269296660026,-0.017316492262373945,-0.01909478257605307,-0.015522059809418667,True,sv_jump,ewma_student_t,binary_student_t,True
63,2000,0.2168085858905769,0.23480953545423763,-0.018000949563660745,-0.019733547237710244,-0.016236661293132056,True,sv_jump_big,ewma_student_t,ewma_gaussian,False
126,2000,0.1904225595082526,0.22950467972431735,-0.03908212021606475,-0.04181893585003164,-0.03650411301624471,True,sv_jump_big,ewma_student_t,ewma_gaussian,False
252,2000,0.14924180098446774,0.21330088725290688,-0.06405908626843915,-0.06721300215083904,-0.060921506650209775,True,sv_jump_big,ewma_student_t,ewma_gaussian,False
504,2000,0.0943307640583839,0.18013455578083715,-0.08580379172245324,-0.08956050289551198,-0.0820862865557632,True,sv_jump_big,ewma_student_t,ewma_gaussian,False
63,2000,0.2168085858905769,0.2236647326884518,-0.0068561467978749124,-0.007879377321191127,-0.005898086991434325,True,sv_jump_big,ewma_student_t,binary_student_t,True
126,2000,0.1904225595082526,0.20022832184670056,-0.00980576233844796,-0.011188339200699338,-0.008370098908845318,True,sv_jump_big,ewma_student_t,binary_student_t,True
252,2000,0.14924180098446774,0.1635933591977137,-0.014351558213245963,-0.016091565876419193,-0.012683884230122601,True,sv_jump_big,ewma_student_t,binary_student_t,True
504,2000,0.0943307640583839,0.11299380147721885,-0.018663037418834946,-0.020439410859335577,-0.01687440469618205,True,sv_jump_big,ewma_student_t,binary_student_t,True
