observed,bound,gap,fraction_of_bound,method,far_target,realised_far,bound_uses,violates_bound
0.3427,0.3996049820079866,0.056904982007986604,0.8575969155288227,binary_gaussian,0.05,0.0476,"the REALISED far, not the budget",False
0.3189,0.39369876466632203,0.07479876466632202,0.810010161627717,binary_student_t,0.05,0.0461,"the REALISED far, not the budget",False
0.2891,0.4099248842604547,0.12082488426045468,0.7052511596644473,trailing_sharpe_252,0.05,0.0503,"the REALISED far, not the budget",False
0.2825,0.4053861686964617,0.12288616869646174,0.6968664000264044,known_vol_rolling_252,0.05,0.0491,"the REALISED far, not the budget",False
0.3223,0.39409652138396756,0.07179652138396758,0.8178199565633406,ewma_gaussian,0.05,0.0462,"the REALISED far, not the budget",False
0.3028,0.40347264334493527,0.10067264334493525,0.750484586735987,ewma_student_t,0.05,0.0486,"the REALISED far, not the budget",False
0.3219,0.39369876466632203,0.07179876466632201,0.8176302007775544,ewma_trunc_gaussian,0.05,0.0461,"the REALISED far, not the budget",False
0.3029,0.40347264334493527,0.10057264334493526,0.7507324350143013,ewma_trunc_student_t,0.05,0.0486,"the REALISED far, not the budget",False
0.5657,0.6451236983706337,0.07942369837063368,0.8768860939828573,binary_gaussian,0.15,0.1487,"the REALISED far, not the budget",False
0.5337,0.6433513255688084,0.10965132556880841,0.8295622916889741,binary_student_t,0.15,0.1476,"the REALISED far, not the budget",False
0.5148,0.63547509092864,0.12067509092863993,0.8101025631826204,trailing_sharpe_252,0.15,0.1428,"the REALISED far, not the budget",False
0.5175,0.6376314718338916,0.12013147183389161,0.8115973298990692,known_vol_rolling_252,0.15,0.1441,"the REALISED far, not the budget",False
0.545,0.6412412288526956,0.09624122885269559,0.8499141594109759,ewma_gaussian,0.15,0.1463,"the REALISED far, not the budget",False
0.5258,0.6384562034077268,0.11265620340772675,0.8235490503398195,ewma_student_t,0.15,0.1446,"the REALISED far, not the budget",False
0.5451,0.6415669588328432,0.09646695883284317,0.8496385178433462,ewma_trunc_gaussian,0.15,0.1465,"the REALISED far, not the budget",False
0.5257,0.6387853786165891,0.11308537861658918,0.822968116675593,ewma_trunc_student_t,0.15,0.1448,"the REALISED far, not the budget",False
