method,scenario,far_target,rebuilt,frozen,ulps,exact
binary_student_t,gaussian_ctrl,0.05,-2.4642687148689535,-2.4642687148689535,0,True
binary_student_t,gaussian_ctrl,0.15,-1.6803386899820827,-1.6803386899820827,0,True
ewma_gaussian,gaussian_ctrl,0.05,-2.23553729256309,-2.23553729256309,0,True
ewma_gaussian,gaussian_ctrl,0.15,-1.5108684691576784,-1.5108684691576784,0,True
ewma_student_t,gaussian_ctrl,0.05,-2.596104964478025,-2.596104964478025,0,True
ewma_student_t,gaussian_ctrl,0.15,-1.768887162553452,-1.768887162553452,0,True
ewma_trunc_gaussian,gaussian_ctrl,0.05,-2.2367615402512717,-2.2367615402512717,0,True
ewma_trunc_gaussian,gaussian_ctrl,0.15,-1.5107211658148543,-1.5107211658148543,0,True
ewma_trunc_student_t,gaussian_ctrl,0.05,-2.596104964478025,-2.596104964478025,0,True
ewma_trunc_student_t,gaussian_ctrl,0.15,-1.7689146292603888,-1.7689146292603888,0,True
binary_student_t,sv_ctrl,0.05,-2.0646621551675466,-2.0646621551675466,0,True
binary_student_t,sv_ctrl,0.15,-1.3415934073116509,-1.3415934073116509,0,True
ewma_gaussian,sv_ctrl,0.05,-2.618324411065767,-2.618324411065767,0,True
ewma_gaussian,sv_ctrl,0.15,-1.678259552212735,-1.678259552212735,0,True
ewma_student_t,sv_ctrl,0.05,-2.837571218442267,-2.837571218442267,0,True
ewma_student_t,sv_ctrl,0.15,-1.827905395963949,-1.827905395963949,0,True
ewma_trunc_gaussian,sv_ctrl,0.05,-2.6221453973362343,-2.6221453973362343,0,True
ewma_trunc_gaussian,sv_ctrl,0.15,-1.6876837165051084,-1.6876837165051084,0,True
ewma_trunc_student_t,sv_ctrl,0.05,-2.8384311455544586,-2.8384311455544586,0,True
ewma_trunc_student_t,sv_ctrl,0.15,-1.8289201484542654,-1.8289201484542654,0,True
binary_student_t,jump_ctrl,0.05,-2.339495462968957,-2.339495462968957,0,True
binary_student_t,jump_ctrl,0.15,-1.6047720587712007,-1.6047720587712007,0,True
ewma_gaussian,jump_ctrl,0.05,-2.4949259413850577,-2.4949259413850577,0,True
ewma_gaussian,jump_ctrl,0.15,-1.6932156399349862,-1.6932156399349862,0,True
ewma_student_t,jump_ctrl,0.05,-2.662218130765669,-2.662218130765669,0,True
ewma_student_t,jump_ctrl,0.15,-1.7999286602308775,-1.7999286602308775,0,True
ewma_trunc_gaussian,jump_ctrl,0.05,-2.5521450806252566,-2.5521450806252566,0,True
ewma_trunc_gaussian,jump_ctrl,0.15,-1.740196788038652,-1.740196788038652,0,True
ewma_trunc_student_t,jump_ctrl,0.05,-2.692954973884227,-2.692954973884227,0,True
ewma_trunc_student_t,jump_ctrl,0.15,-1.8360182812904116,-1.8360182812904116,0,True
binary_student_t,sv_jump,0.05,-1.9513411793267041,-1.9513411793267041,0,True
binary_student_t,sv_jump,0.15,-1.2715559290766394,-1.2715559290766394,0,True
ewma_gaussian,sv_jump,0.05,-3.4792325643102897,-3.4792325643102897,0,True
ewma_gaussian,sv_jump,0.15,-2.177898478006957,-2.177898478006957,0,True
ewma_student_t,sv_jump,0.05,-2.769415851309927,-2.769415851309927,0,True
ewma_student_t,sv_jump,0.15,-1.7817128819635761,-1.7817128819635761,0,True
ewma_trunc_gaussian,sv_jump,0.05,-3.7455996454040017,-3.7455996454040017,0,True
ewma_trunc_gaussian,sv_jump,0.15,-2.2633941527091204,-2.2633941527091204,0,True
ewma_trunc_student_t,sv_jump,0.05,-2.856088791863527,-2.856088791863527,0,True
ewma_trunc_student_t,sv_jump,0.15,-1.8499432676487935,-1.8499432676487935,0,True
binary_student_t,sv_jump_big,0.05,-1.8279482874448258,-1.8279482874448258,0,True
binary_student_t,sv_jump_big,0.15,-1.1647318220953173,-1.1647318220953173,0,True
ewma_gaussian,sv_jump_big,0.05,-4.950305960927168,-4.950305960927168,0,True
ewma_gaussian,sv_jump_big,0.15,-2.8727740847919985,-2.8727740847919985,0,True
ewma_student_t,sv_jump_big,0.05,-2.8172424155717324,-2.8172424155717324,0,True
ewma_student_t,sv_jump_big,0.15,-1.7642670426765874,-1.7642670426765874,0,True
ewma_trunc_gaussian,sv_jump_big,0.05,-5.488821771737441,-5.488821771737441,0,True
ewma_trunc_gaussian,sv_jump_big,0.15,-3.0812062837278456,-3.0812062837278456,0,True
ewma_trunc_student_t,sv_jump_big,0.05,-2.9453008247653787,-2.9453008247653787,0,True
ewma_trunc_student_t,sv_jump_big,0.15,-1.8602199595007352,-1.8602199595007352,0,True
