scenario,method,far_target,n_test_valid,far_total,far_on_jump_day,far_within_window,far_elsewhere,window_days
gaussian_ctrl,binary_gaussian,0.05,10000,0.0476,0.0009,0.0061,0.0406,20
gaussian_ctrl,binary_gaussian,0.15,10000,0.1487,0.0015,0.0224,0.1248,20
gaussian_ctrl,binary_student_t,0.05,10000,0.0461,0.0004,0.0078,0.0379,20
gaussian_ctrl,binary_student_t,0.15,10000,0.1476,0.0011,0.0218,0.1247,20
gaussian_ctrl,trailing_sharpe_252,0.05,10000,0.0503,0.0004,0.0081,0.0418,20
gaussian_ctrl,trailing_sharpe_252,0.15,10000,0.1428,0.0008,0.0215,0.1205,20
gaussian_ctrl,known_vol_rolling_252,0.05,10000,0.0491,0.0005,0.0079,0.0407,20
gaussian_ctrl,known_vol_rolling_252,0.15,10000,0.1441,0.0007,0.0215,0.1219,20
gaussian_ctrl,ewma_gaussian,0.05,10000,0.0462,0.0004,0.0066,0.0392,20
gaussian_ctrl,ewma_gaussian,0.15,10000,0.1463,0.0011,0.023,0.1222,20
gaussian_ctrl,ewma_student_t,0.05,10000,0.0486,0.0009,0.008,0.0397,20
gaussian_ctrl,ewma_student_t,0.15,10000,0.1446,0.0013,0.0213,0.122,20
gaussian_ctrl,ewma_trunc_gaussian,0.05,10000,0.0461,0.0004,0.0065,0.0392,20
gaussian_ctrl,ewma_trunc_gaussian,0.15,10000,0.1465,0.0011,0.0231,0.1223,20
gaussian_ctrl,ewma_trunc_student_t,0.05,10000,0.0486,0.0009,0.008,0.0397,20
gaussian_ctrl,ewma_trunc_student_t,0.15,10000,0.1448,0.0014,0.0213,0.1221,20
sv_ctrl,binary_gaussian,0.05,10000,0.0452,0.0004,0.0065,0.0383,20
sv_ctrl,binary_gaussian,0.15,10000,0.1402,0.0011,0.02,0.1191,20
sv_ctrl,binary_student_t,0.05,10000,0.0447,0.0006,0.0051,0.039,20
sv_ctrl,binary_student_t,0.15,10000,0.1437,0.0009,0.0214,0.1214,20
sv_ctrl,trailing_sharpe_252,0.05,10000,0.0454,0.0005,0.007,0.0379,20
sv_ctrl,trailing_sharpe_252,0.15,10000,0.1415,0.0015,0.0191,0.1209,20
sv_ctrl,known_vol_rolling_252,0.05,10000,0.0452,0.0005,0.0053,0.0394,20
sv_ctrl,known_vol_rolling_252,0.15,10000,0.1416,0.0009,0.0198,0.1209,20
sv_ctrl,ewma_gaussian,0.05,10000,0.0441,0.0004,0.0065,0.0372,20
sv_ctrl,ewma_gaussian,0.15,10000,0.1446,0.001,0.0206,0.123,20
sv_ctrl,ewma_student_t,0.05,10000,0.0445,0.0006,0.0073,0.0366,20
sv_ctrl,ewma_student_t,0.15,10000,0.1446,0.0015,0.0201,0.123,20
sv_ctrl,ewma_trunc_gaussian,0.05,10000,0.0445,0.0005,0.0067,0.0373,20
sv_ctrl,ewma_trunc_gaussian,0.15,10000,0.1427,0.0011,0.0202,0.1214,20
sv_ctrl,ewma_trunc_student_t,0.05,10000,0.0446,0.0005,0.0073,0.0368,20
sv_ctrl,ewma_trunc_student_t,0.15,10000,0.145,0.0015,0.0204,0.1231,20
jump_ctrl,binary_gaussian,0.05,10000,0.0454,0.0059,0.0101,0.0294,20
jump_ctrl,binary_gaussian,0.15,10000,0.1345,0.0194,0.0226,0.0925,20
jump_ctrl,binary_student_t,0.05,10000,0.0412,0.0004,0.0056,0.0352,20
jump_ctrl,binary_student_t,0.15,10000,0.1298,0.0018,0.0168,0.1112,20
jump_ctrl,trailing_sharpe_252,0.05,10000,0.043,0.0007,0.0081,0.0342,20
jump_ctrl,trailing_sharpe_252,0.15,10000,0.1352,0.007,0.023,0.1052,20
jump_ctrl,known_vol_rolling_252,0.05,10000,0.0445,0.0032,0.0097,0.0316,20
jump_ctrl,known_vol_rolling_252,0.15,10000,0.1311,0.0097,0.024,0.0974,20
jump_ctrl,ewma_gaussian,0.05,10000,0.0441,0.0054,0.0059,0.0328,20
jump_ctrl,ewma_gaussian,0.15,10000,0.1356,0.0168,0.0121,0.1067,20
jump_ctrl,ewma_student_t,0.05,10000,0.0401,0.0008,0.0033,0.036,20
jump_ctrl,ewma_student_t,0.15,10000,0.1326,0.0006,0.0144,0.1176,20
jump_ctrl,ewma_trunc_gaussian,0.05,10000,0.0445,0.0061,0.0074,0.031,20
jump_ctrl,ewma_trunc_gaussian,0.15,10000,0.1339,0.0177,0.0164,0.0998,20
jump_ctrl,ewma_trunc_student_t,0.05,10000,0.0414,0.0007,0.0044,0.0363,20
jump_ctrl,ewma_trunc_student_t,0.15,10000,0.1338,0.0013,0.0158,0.1167,20
sv_jump,binary_gaussian,0.05,10000,0.0392,0.0034,0.0077,0.0281,20
sv_jump,binary_gaussian,0.15,10000,0.1342,0.014,0.0219,0.0983,20
