trunc_time_diff_days,trunc_time_diff_lo,trunc_time_diff_hi,scenario,far_target,method_a,method_b,trunc_mean_a,trunc_mean_b,interval_covers
-0.0227,-0.050799282912710436,0.005399282912710437,gaussian_ctrl,0.05,ewma_trunc_student_t,ewma_student_t,450.2507,450.2734,"test sampling only, thresholds frozen"
0.1534,0.028523485443792088,0.27827651455620794,gaussian_ctrl,0.05,ewma_trunc_gaussian,ewma_gaussian,447.0753,446.9219,"test sampling only, thresholds frozen"
3.1754,1.991028064466283,4.359771935533717,gaussian_ctrl,0.05,ewma_trunc_student_t,ewma_trunc_gaussian,450.2507,447.0753,"test sampling only, thresholds frozen"
-0.0552,-0.12124028273789038,0.01084028273789038,gaussian_ctrl,0.15,ewma_trunc_student_t,ewma_student_t,378.119,378.1742,"test sampling only, thresholds frozen"
-0.1091,-0.18132129529856908,-0.036878704701430925,gaussian_ctrl,0.15,ewma_trunc_gaussian,ewma_gaussian,371.5925,371.7016,"test sampling only, thresholds frozen"
6.5265,4.874006423205884,8.178993576794117,gaussian_ctrl,0.15,ewma_trunc_student_t,ewma_trunc_gaussian,378.119,371.5925,"test sampling only, thresholds frozen"
-0.144,-0.28656249722826016,-0.001437502771739818,sv_ctrl,0.05,ewma_trunc_student_t,ewma_student_t,385.7297,385.8737,"test sampling only, thresholds frozen"
-0.1796,-0.36413017512151924,0.0049301751215191925,sv_ctrl,0.05,ewma_trunc_gaussian,ewma_gaussian,392.6941,392.8737,"test sampling only, thresholds frozen"
-6.9644,-8.491198780587643,-5.4376012194123575,sv_ctrl,0.05,ewma_trunc_student_t,ewma_trunc_gaussian,385.7297,392.6941,"test sampling only, thresholds frozen"
-0.2375,-0.38272630064371005,-0.09227369935628993,sv_ctrl,0.15,ewma_trunc_student_t,ewma_student_t,300.5457,300.7832,"test sampling only, thresholds frozen"
0.2031,-0.10137142043894048,0.5075714204389405,sv_ctrl,0.15,ewma_trunc_gaussian,ewma_gaussian,310.2274,310.0243,"test sampling only, thresholds frozen"
-9.6817,-11.572349113850406,-7.791050886149593,sv_ctrl,0.15,ewma_trunc_student_t,ewma_trunc_gaussian,300.5457,310.2274,"test sampling only, thresholds frozen"
-2.0829,-2.5887142775518326,-1.5770857224481671,jump_ctrl,0.05,ewma_trunc_student_t,ewma_student_t,442.5265,444.6094,"test sampling only, thresholds frozen"
-0.706,-1.284498064416609,-0.12750193558339085,jump_ctrl,0.05,ewma_trunc_gaussian,ewma_gaussian,447.8606,448.5666,"test sampling only, thresholds frozen"
-5.3341,-6.824311436012812,-3.8438885639871883,jump_ctrl,0.05,ewma_trunc_student_t,ewma_trunc_gaussian,442.5265,447.8606,"test sampling only, thresholds frozen"
-1.1437,-1.8669338845807562,-0.4204661154192437,jump_ctrl,0.15,ewma_trunc_student_t,ewma_student_t,365.6676,366.8113,"test sampling only, thresholds frozen"
0.3143,-0.47094572732544004,1.09954572732544,jump_ctrl,0.15,ewma_trunc_gaussian,ewma_gaussian,373.3752,373.0609,"test sampling only, thresholds frozen"
-7.7076,-9.797189067494038,-5.618010932505963,jump_ctrl,0.15,ewma_trunc_student_t,ewma_trunc_gaussian,365.6676,373.3752,"test sampling only, thresholds frozen"
-4.6256,-5.539178948328882,-3.712021051671119,sv_jump,0.05,ewma_trunc_student_t,ewma_student_t,373.4836,378.1092,"test sampling only, thresholds frozen"
2.9801,2.1629213826227462,3.797278617377254,sv_jump,0.05,ewma_trunc_gaussian,ewma_gaussian,426.291,423.3109,"test sampling only, thresholds frozen"
-52.8074,-55.011948989527546,-50.602851010472456,sv_jump,0.05,ewma_trunc_student_t,ewma_trunc_gaussian,373.4836,426.291,"test sampling only, thresholds frozen"
-3.0789,-4.0541039554790625,-2.1036960445209374,sv_jump,0.15,ewma_trunc_student_t,ewma_student_t,288.1793,291.2582,"test sampling only, thresholds frozen"
-2.63,-3.4992477159159314,-1.7607522840840684,sv_jump,0.15,ewma_trunc_gaussian,ewma_gaussian,339.3782,342.0082,"test sampling only, thresholds frozen"
-51.1989,-53.671081466548856,-48.72671853345115,sv_jump,0.15,ewma_trunc_student_t,ewma_trunc_gaussian,288.1793,339.3782,"test sampling only, thresholds frozen"
-11.3093,-12.492362248300278,-10.126237751699723,sv_jump_big,0.05,ewma_trunc_student_t,ewma_student_t,347.2846,358.5939,"test sampling only, thresholds frozen"
0.4609,-0.4429096146037631,1.364709614603763,sv_jump_big,0.05,ewma_trunc_gaussian,ewma_gaussian,448.5425,448.0816,"test sampling only, thresholds frozen"
-101.2579,-103.93625672589877,-98.57954327410124,sv_jump_big,0.05,ewma_trunc_student_t,ewma_trunc_gaussian,347.2846,448.5425,"test sampling only, thresholds frozen"
-6.7428,-7.964550591725251,-5.521049408274749,sv_jump_big,0.15,ewma_trunc_student_t,ewma_student_t,260.2936,267.0364,"test sampling only, thresholds frozen"
-2.4077,-3.5310386785247303,-1.28436132147527,sv_jump_big,0.15,ewma_trunc_gaussian,ewma_gaussian,361.5198,363.9275,"test sampling only, thresholds frozen"
-101.2262,-104.13547538646817,-98.31692461353184,sv_jump_big,0.15,ewma_trunc_student_t,ewma_trunc_gaussian,260.2936,361.5198,"test sampling only, thresholds frozen"
