method,scenario,far_target,rank,threshold,n_calibration_paths,J
binary_gaussian,gaussian_ctrl,0.05,431,-2.011145242363618,10000,80
binary_gaussian,gaussian_ctrl,0.15,1386,-1.353043562737925,10000,80
binary_student_t,gaussian_ctrl,0.05,431,-2.4642687148689535,10000,80
binary_student_t,gaussian_ctrl,0.15,1386,-1.6803386899820827,10000,80
trailing_sharpe_252,gaussian_ctrl,0.05,431,-1.5332993657087854,10000,80
trailing_sharpe_252,gaussian_ctrl,0.15,1386,-1.0182691091785714,10000,80
known_vol_rolling_252,gaussian_ctrl,0.05,431,-1.5386976913583252,10000,80
known_vol_rolling_252,gaussian_ctrl,0.15,1386,-1.007215778377783,10000,80
ewma_gaussian,gaussian_ctrl,0.05,431,-2.23553729256309,10000,80
ewma_gaussian,gaussian_ctrl,0.15,1386,-1.5108684691576784,10000,80
ewma_student_t,gaussian_ctrl,0.05,431,-2.596104964478025,10000,80
ewma_student_t,gaussian_ctrl,0.15,1386,-1.768887162553452,10000,80
ewma_trunc_gaussian,gaussian_ctrl,0.05,431,-2.2367615402512717,10000,80
ewma_trunc_gaussian,gaussian_ctrl,0.15,1386,-1.5107211658148543,10000,80
ewma_trunc_student_t,gaussian_ctrl,0.05,431,-2.596104964478025,10000,80
ewma_trunc_student_t,gaussian_ctrl,0.15,1386,-1.7689146292603888,10000,80
binary_gaussian,sv_ctrl,0.05,431,-2.0976457421604113,10000,80
binary_gaussian,sv_ctrl,0.15,1386,-1.3410602671810024,10000,80
binary_student_t,sv_ctrl,0.05,431,-2.0646621551675466,10000,80
binary_student_t,sv_ctrl,0.15,1386,-1.3415934073116509,10000,80
trailing_sharpe_252,sv_ctrl,0.05,431,-1.4935082610271257,10000,80
trailing_sharpe_252,sv_ctrl,0.15,1386,-0.9256366551893054,10000,80
known_vol_rolling_252,sv_ctrl,0.05,431,-1.6933219375045605,10000,80
known_vol_rolling_252,sv_ctrl,0.15,1386,-0.9486271348041723,10000,80
ewma_gaussian,sv_ctrl,0.05,431,-2.618324411065767,10000,80
ewma_gaussian,sv_ctrl,0.15,1386,-1.678259552212735,10000,80
ewma_student_t,sv_ctrl,0.05,431,-2.837571218442267,10000,80
ewma_student_t,sv_ctrl,0.15,1386,-1.827905395963949,10000,80
