scenario,sharpe_valid,method,far_target,threshold,first_eligible_day,far_alarms,far_lo,far_hi,far_d63,detect_d63,far_d126,detect_d126,far_d252,detect_d252,far_d504,detect_d504,far_total,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid,ewma_lambda,student_t_df,truncation_c,thresholds_apply_to
gaussian_ctrl,0.6,binary_gaussian,0.05,-1.3997588743969835,1,445,0.04063039538203104,0.048719427133655326,0.0,0.0,0.0003,0.0022,0.0085,0.0347,0.0445,0.1802,0.0445,476.4473,0.7221311858768886,,not reached within 504d,0.8198,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,binary_student_t,0.05,-1.7203704889174807,1,418,0.03805024400211621,0.0459016521047718,0.0,0.0,0.0004,0.0009,0.0079,0.0273,0.0418,0.1633,0.0418,479.4353,0.6782142130941259,,not reached within 504d,0.8367,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,trailing_sharpe_252,0.05,-1.9798994691911882,252,415,0.037763827388615986,0.04558829911729445,0.0,0.0,0.0,0.0,0.0041,0.0235,0.0415,0.1462,0.0415,480.7503,0.6409904694058929,,not reached within 504d,0.8538,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,known_vol_rolling_252,0.05,-1.9563207035908585,252,431,0.039292009027508144,0.047258888683616114,0.0,0.0,0.0,0.0,0.0045,0.0257,0.0431,0.1494,0.0431,480.3717,0.6448829516378389,,not reached within 504d,0.8506,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,ewma_gaussian,0.05,-1.5474100297028444,1,430,0.03919645311021771,0.04715452140058068,0.0,0.0,0.0004,0.0012,0.0086,0.0304,0.043,0.1699,0.043,478.59,0.6899090283847173,,not reached within 504d,0.8301000000000001,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,ewma_student_t,0.05,-1.7998472341946936,1,420,0.0382412189005821,0.04611052360695765,0.0,0.0,0.0006,0.0011,0.0082,0.0284,0.042,0.1631,0.042,479.9063,0.6718130434187259,,not reached within 504d,0.8369,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,ewma_trunc_gaussian,0.05,-1.5479985256897413,1,430,0.03919645311021771,0.04715452140058068,0.0,0.0,0.0004,0.0013,0.0085,0.0305,0.043,0.1695,0.043,478.6048,0.6900430259293715,,not reached within 504d,0.8305,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,-1.80014714816762,1,420,0.0382412189005821,0.04611052360695765,0.0,0.0,0.0006,0.0011,0.0082,0.0283,0.042,0.1631,0.042,479.8944,0.6718680119834198,,not reached within 504d,0.8369,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,binary_gaussian,0.15,-0.9753004649010643,1,1371,0.13049785428319532,0.14398085173424174,0.0003,0.0011,0.0117,0.0301,0.0564,0.1521,0.1371,0.3761,0.1371,424.498,1.2462183539085605,,not reached within 504d,0.6239,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,binary_student_t,0.15,-1.193466164305068,1,1359,0.12932319758077757,0.1427564300327491,0.0001,0.001,0.0104,0.0252,0.0552,0.1423,0.1359,0.3593,0.1359,428.9196,1.2168986801799822,,not reached within 504d,0.6407,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,trailing_sharpe_252,0.15,-1.4113355112635864,252,1403,0.13363111376762415,0.14724513466024058,0.0,0.0,0.0,0.0,0.0206,0.077,0.1403,0.3441,0.1403,445.8467,0.9340220980463814,,not reached within 504d,0.6558999999999999,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,known_vol_rolling_252,0.15,-1.411522714436914,252,1372,0.13059575018587788,0.14408287903188505,0.0,0.0,0.0,0.0,0.0194,0.0756,0.1372,0.3417,0.1372,446.1876,0.9327721946009659,,not reached within 504d,0.6583,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
gaussian_ctrl,0.6,ewma_gaussian,0.15,-1.0706468897490133,1,1408,0.13412079451422496,0.14775506991526913,0.0002,0.0006,0.0111,0.0275,0.0557,0.1499,0.1408,0.3725,0.1408,425.6462,1.2354374905819046,,not reached within 504d,0.6275,10000,10000,0.94,5.0,4.0,"the whole 504-day horizon; the 63/126/252 day columns read the SAME threshold, they do not each spend a fresh budget"
