scenario,sharpe_valid,method,true_state,level,n_paths,not_a_far_control,reached_by_d63,reached_by_d126,reached_by_d252,reached_by_d504
gaussian_ctrl,1.0,binary_gaussian,valid,0.9,10000,True,0.0,0.0004,0.0078,0.0328
gaussian_ctrl,1.0,binary_gaussian,invalid,0.9,10000,True,0.0,0.0052,0.0675,0.2967
gaussian_ctrl,1.0,binary_student_t,valid,0.9,10000,True,0.0,0.0042,0.0245,0.0662
gaussian_ctrl,1.0,binary_student_t,invalid,0.9,10000,True,0.0005,0.0175,0.138,0.4016
gaussian_ctrl,1.0,ewma_gaussian,valid,0.9,10000,True,0.0,0.0015,0.0147,0.0473
gaussian_ctrl,1.0,ewma_gaussian,invalid,0.9,10000,True,0.0001,0.0087,0.0975,0.3475
gaussian_ctrl,1.0,ewma_student_t,valid,0.9,10000,True,0.0001,0.0066,0.0317,0.0794
gaussian_ctrl,1.0,ewma_student_t,invalid,0.9,10000,True,0.0006,0.0226,0.154,0.4211
gaussian_ctrl,1.0,ewma_trunc_gaussian,valid,0.9,10000,True,0.0,0.0015,0.015,0.0475
gaussian_ctrl,1.0,ewma_trunc_gaussian,invalid,0.9,10000,True,0.0001,0.0087,0.0976,0.3475
gaussian_ctrl,1.0,ewma_trunc_student_t,valid,0.9,10000,True,0.0001,0.0066,0.0317,0.0795
gaussian_ctrl,1.0,ewma_trunc_student_t,invalid,0.9,10000,True,0.0006,0.0227,0.1541,0.4213
gaussian_ctrl,0.6,binary_gaussian,valid,0.9,10000,True,0.0,0.0,0.0002,0.0027
gaussian_ctrl,0.6,binary_gaussian,invalid,0.9,10000,True,0.0,0.0,0.0006,0.0249
gaussian_ctrl,0.6,binary_student_t,valid,0.9,10000,True,0.0,0.0,0.0011,0.0113
gaussian_ctrl,0.6,binary_student_t,invalid,0.9,10000,True,0.0,0.0,0.0046,0.0681
gaussian_ctrl,0.6,ewma_gaussian,valid,0.9,10000,True,0.0,0.0,0.0003,0.0058
gaussian_ctrl,0.6,ewma_gaussian,invalid,0.9,10000,True,0.0,0.0,0.0015,0.0396
gaussian_ctrl,0.6,ewma_student_t,valid,0.9,10000,True,0.0,0.0,0.0015,0.0155
gaussian_ctrl,0.6,ewma_student_t,invalid,0.9,10000,True,0.0,0.0001,0.0071,0.0782
gaussian_ctrl,0.6,ewma_trunc_gaussian,valid,0.9,10000,True,0.0,0.0,0.0003,0.0058
gaussian_ctrl,0.6,ewma_trunc_gaussian,invalid,0.9,10000,True,0.0,0.0,0.0015,0.0396
gaussian_ctrl,0.6,ewma_trunc_student_t,valid,0.9,10000,True,0.0,0.0,0.0015,0.0155
gaussian_ctrl,0.6,ewma_trunc_student_t,invalid,0.9,10000,True,0.0,0.0001,0.0071,0.0783
sv_ctrl,1.0,binary_gaussian,valid,0.9,10000,True,0.0015,0.0057,0.0166,0.042
