method,scenario,sharpe_valid,far_target,rank,threshold,n_calibration_paths,J,delta_per_comparison,coverage
binary_gaussian,gaussian_ctrl,1.0,0.05,427,-2.022952282136807,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
binary_gaussian,gaussian_ctrl,1.0,0.15,1379,-1.3780807542068807,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
binary_student_t,gaussian_ctrl,1.0,0.05,427,-2.515810884644255,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
binary_student_t,gaussian_ctrl,1.0,0.15,1379,-1.6941503401391478,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
trailing_sharpe_252,gaussian_ctrl,1.0,0.05,427,-1.5750924007815563,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
trailing_sharpe_252,gaussian_ctrl,1.0,0.15,1379,-1.0096286942203367,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
known_vol_rolling_252,gaussian_ctrl,1.0,0.05,427,-1.5563207035908586,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
known_vol_rolling_252,gaussian_ctrl,1.0,0.15,1379,-1.011522714436914,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_gaussian,gaussian_ctrl,1.0,0.05,427,-2.2633758487572586,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_gaussian,gaussian_ctrl,1.0,0.15,1379,-1.5183981536615327,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_student_t,gaussian_ctrl,1.0,0.05,427,-2.6382573986973794,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_student_t,gaussian_ctrl,1.0,0.15,1379,-1.7886632867338625,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_trunc_gaussian,gaussian_ctrl,1.0,0.05,427,-2.2633758487572586,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_trunc_gaussian,gaussian_ctrl,1.0,0.15,1379,-1.5184082861844401,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_trunc_student_t,gaussian_ctrl,1.0,0.05,427,-2.6382573986973794,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_trunc_student_t,gaussian_ctrl,1.0,0.15,1379,-1.7890463835489592,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
binary_gaussian,gaussian_ctrl,0.6,0.05,427,-1.3997588743969835,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
binary_gaussian,gaussian_ctrl,0.6,0.15,1379,-0.9753004649010643,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
binary_student_t,gaussian_ctrl,0.6,0.05,427,-1.7203704889174807,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
binary_student_t,gaussian_ctrl,0.6,0.15,1379,-1.193466164305068,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
trailing_sharpe_252,gaussian_ctrl,0.6,0.05,427,-1.9798994691911882,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
trailing_sharpe_252,gaussian_ctrl,0.6,0.15,1379,-1.4113355112635864,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
known_vol_rolling_252,gaussian_ctrl,0.6,0.05,427,-1.9563207035908585,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
known_vol_rolling_252,gaussian_ctrl,0.6,0.15,1379,-1.411522714436914,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_gaussian,gaussian_ctrl,0.6,0.05,427,-1.5474100297028444,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_gaussian,gaussian_ctrl,0.6,0.15,1379,-1.0706468897490133,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_student_t,gaussian_ctrl,0.6,0.05,427,-1.7998472341946936,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
ewma_student_t,gaussian_ctrl,0.6,0.15,1379,-1.2553347029132382,10000,160,0.0003125,these five fixed scenarios only; not a unified unknown-environment guarantee
