sharpe_valid,far_budget,years,days,max_detection,max_detection_check,effective_signal_s_sqrt_h,route_gap
1.0,0.05,0.25,63,0.12613489819343043,0.12613489819343032,0.5,1.1102230246251565e-16
1.0,0.05,0.5,126,0.17418726161793224,0.17418726161793197,0.7071067811865476,2.7755575615628914e-16
1.0,0.05,1.0,252,0.25951102284144434,0.2595110228414441,1.0,2.220446049250313e-16
1.0,0.05,2.0,504,0.40879721979387074,0.4087972197938703,1.4142135623730951,4.440892098500626e-16
1.0,0.15,0.25,63,0.29582953018098274,0.2958295301809828,0.5,5.551115123125783e-17
1.0,0.15,0.5,126,0.3709544171464648,0.3709544171464648,0.7071067811865476,0.0
1.0,0.15,1.0,252,0.4854683954393176,0.48546839543931763,1.0,5.551115123125783e-17
1.0,0.15,2.0,504,0.6472030480632728,0.6472030480632728,1.4142135623730951,0.0
0.6,0.05,0.25,63,0.08933625410965107,0.08933625410965096,0.3,1.1102230246251565e-16
0.6,0.05,0.5,126,0.11112073090160474,0.11112073090160451,0.4242640687119285,2.220446049250313e-16
0.6,0.05,1.0,252,0.14804531259466286,0.14804531259466258,0.6,2.7755575615628914e-16
0.6,0.05,2.0,504,0.21292143693056242,0.2129214369305621,0.848528137423857,3.3306690738754696e-16
0.6,0.15,0.25,63,0.23073349548121752,0.23073349548121752,0.3,0.0
0.6,0.15,0.5,126,0.2702128686449544,0.2702128686449544,0.4242640687119285,0.0
0.6,0.15,1.0,252,0.3312611589805311,0.3312611589805311,0.6,0.0
0.6,0.15,2.0,504,0.4254754627606707,0.4254754627606708,0.848528137423857,5.551115123125783e-17
