scenario,sharpe_valid,method,far_target,threshold_calibrated_over,threshold,far_at_own_H,detect_at_own_H,n_test_valid,note,far_extended_to_d63,detect_extended_to_d63,far_extended_to_d126,detect_extended_to_d126,far_extended_to_d252,detect_extended_to_d252,far_extended_to_d504,detect_extended_to_d504
gaussian_ctrl,1.0,binary_gaussian,0.05,63,-0.8693616317341702,0.043,0.1121,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.043,0.1121,0.1208,0.3031,0.2125,0.5408,0.2961,0.7495
gaussian_ctrl,1.0,binary_gaussian,0.05,126,-1.201332115706354,0.041,0.1475,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0053,0.0272,0.041,0.1475,0.1062,0.3761,0.1809,0.6317
gaussian_ctrl,1.0,binary_gaussian,0.05,252,-1.5892620264256552,0.0428,0.2185,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0002,0.0037,0.0081,0.0475,0.0428,0.2185,0.0962,0.489
gaussian_ctrl,1.0,binary_gaussian,0.15,63,-0.616569982995335,0.1361,0.259,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1361,0.259,0.2461,0.4818,0.3499,0.6803,0.4293,0.8386
gaussian_ctrl,1.0,binary_gaussian,0.15,126,-0.8257941092327701,0.1377,0.3326,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0538,0.132,0.1377,0.3326,0.2318,0.5671,0.3156,0.7674
gaussian_ctrl,1.0,binary_gaussian,0.15,252,-1.0780911803428,0.1399,0.4334,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0117,0.0471,0.0623,0.1939,0.1399,0.4334,0.2201,0.6753
gaussian_ctrl,1.0,binary_student_t,0.05,63,-1.070352110712225,0.0378,0.1013,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0378,0.1013,0.1163,0.2898,0.2141,0.5246,0.301,0.7333
gaussian_ctrl,1.0,binary_student_t,0.05,126,-1.4543440472509204,0.0422,0.1414,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.006,0.025,0.0422,0.1414,0.1092,0.3625,0.1873,0.6195
gaussian_ctrl,1.0,binary_student_t,0.05,252,-1.948742863411744,0.0421,0.2026,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0004,0.0022,0.0082,0.0406,0.0421,0.2026,0.1001,0.4706
gaussian_ctrl,1.0,binary_student_t,0.15,63,-0.7502432374418966,0.1361,0.2588,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1361,0.2588,0.2511,0.472,0.3586,0.6751,0.4407,0.8247
gaussian_ctrl,1.0,binary_student_t,0.15,126,-1.0110335980074472,0.1364,0.3204,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0498,0.1227,0.1364,0.3204,0.2364,0.5503,0.3233,0.7524
gaussian_ctrl,1.0,binary_student_t,0.15,252,-1.328297545898932,0.1376,0.413,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0117,0.04,0.0581,0.1838,0.1376,0.413,0.2187,0.6557
gaussian_ctrl,1.0,ewma_student_t,0.05,63,-1.1220835281214385,0.038,0.0978,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.038,0.0978,0.1167,0.2843,0.215,0.5178,0.3021,0.7288
gaussian_ctrl,1.0,ewma_student_t,0.05,126,-1.5160449854908506,0.0433,0.1374,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0067,0.0229,0.0433,0.1374,0.1105,0.3599,0.1904,0.615
gaussian_ctrl,1.0,ewma_student_t,0.05,252,-2.0570208857707684,0.0407,0.1942,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0004,0.0018,0.0088,0.0386,0.0407,0.1942,0.098,0.4595
gaussian_ctrl,1.0,ewma_student_t,0.15,63,-0.7814536796746765,0.1363,0.2551,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1363,0.2551,0.2496,0.4699,0.3605,0.6721,0.4444,0.8238
gaussian_ctrl,1.0,ewma_student_t,0.15,126,-1.0634844934346281,0.1347,0.3125,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0491,0.117,0.1347,0.3125,0.2347,0.5432,0.3221,0.7458
gaussian_ctrl,1.0,ewma_student_t,0.15,252,-1.4050099716656166,0.1332,0.4055,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0112,0.0368,0.0583,0.1747,0.1332,0.4055,0.2172,0.6482
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,63,-1.1220835281214385,0.038,0.098,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.038,0.098,0.1167,0.2845,0.2149,0.5178,0.3021,0.7286
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,126,-1.5160449854908506,0.0433,0.1375,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0067,0.0229,0.0433,0.1375,0.1105,0.3602,0.1906,0.6151
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,252,-2.0570208857707684,0.0407,0.1942,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0004,0.0018,0.0088,0.0386,0.0407,0.1942,0.098,0.4597
gaussian_ctrl,1.0,ewma_trunc_student_t,0.15,63,-0.7815868440207394,0.1362,0.2551,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1362,0.2551,0.2495,0.4699,0.3602,0.6722,0.4442,0.8242
gaussian_ctrl,1.0,ewma_trunc_student_t,0.15,126,-1.0649928656056358,0.1343,0.312,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.049,0.117,0.1343,0.312,0.234,0.5429,0.3213,0.7459
gaussian_ctrl,1.0,ewma_trunc_student_t,0.15,252,-1.4047710744870376,0.1335,0.4055,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0112,0.0368,0.0584,0.1748,0.1335,0.4055,0.2175,0.6483
gaussian_ctrl,0.6,binary_gaussian,0.05,63,-0.5458400712355528,0.0432,0.0777,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0432,0.0777,0.133,0.2387,0.2441,0.4486,0.3598,0.6481
gaussian_ctrl,0.6,binary_gaussian,0.05,126,-0.7683038063932702,0.0406,0.0974,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0044,0.015,0.0406,0.0974,0.1219,0.2767,0.2253,0.4995
gaussian_ctrl,0.6,binary_gaussian,0.05,252,-1.0496438385586173,0.0425,0.1286,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0001,0.0009,0.0061,0.0185,0.0425,0.1286,0.1149,0.3395
gaussian_ctrl,0.6,binary_gaussian,0.15,63,-0.39259028813202884,0.1354,0.2043,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1354,0.2043,0.2608,0.401,0.3885,0.5945,0.4919,0.7533
