scenario,sharpe_valid,far_target,method,cutoff_H,n_paired_paths,trunc_time_B,trunc_time_A,trunc_time_diff_days,lo,hi,excludes_zero,truncation_cap_days,interval_covers
gaussian_ctrl,1.0,0.05,binary_gaussian,63,10000,61.0491,62.9993,-1.9502,-2.083415191684056,-1.8169848083159437,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,binary_gaussian,126,10000,120.5091,125.8552,-5.3461,-5.655540539724938,-5.036659460275062,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,binary_gaussian,252,10000,234.2699,246.3984,-12.1285,-12.723017655048334,-11.533982344951667,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,binary_gaussian,504,10000,444.4368,444.4368,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,binary_student_t,63,10000,61.2922,63.0,-1.7078,-1.8307276424949923,-1.5848723575050077,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,binary_student_t,126,10000,120.8272,125.8666,-5.0394,-5.337577839081559,-4.74122216091844,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,binary_student_t,252,10000,235.5552,246.7563,-11.2011,-11.771621509326474,-10.630578490673527,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,binary_student_t,504,10000,447.4699,447.4699,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,ewma_student_t,63,10000,61.3926,63.0,-1.6074,-1.7252619439789765,-1.4895380560210234,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,ewma_student_t,126,10000,121.0758,125.8989,-4.8231,-5.11489168815031,-4.53130831184969,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,1.0,0.05,ewma_student_t,252,10000,236.7109,247.4516,-10.7407,-11.305840586134904,-10.175559413865097,True,252,"test sampling only, thresholds frozen"
