method,scenario,sharpe_valid,far_target,horizon,rank,threshold,working_prob_threshold,n_calibration_paths,n_rules_this_round,delta_per_cell,coverage
binary_gaussian,gaussian_ctrl,1.0,0.05,63,427,-0.8693616317341702,0.7046128494813646,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,1.0,0.15,63,1379,-0.616569982995335,0.6494380433649066,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,1.0,0.05,126,427,-1.201332115706354,0.7687616747050203,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,1.0,0.15,126,1379,-0.8257941092327701,0.695464882606511,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,1.0,0.05,252,427,-1.5892620264256552,0.8305122500215293,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,1.0,0.15,252,1379,-1.0780911803428,0.746132587006897,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,1.0,0.05,504,427,-2.0820612857231775,0.8891473655602092,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,1.0,0.15,504,1379,-1.381049786033732,0.7991595475678746,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,1.0,0.05,63,427,-1.070352110712225,0.7446638717813597,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,1.0,0.15,63,1379,-0.7502432374418966,0.6792316970862101,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,1.0,0.05,126,427,-1.4543440472509204,0.8106660869310298,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,1.0,0.15,126,1379,-1.0110335980074472,0.7332223773085932,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,1.0,0.05,252,427,-1.948742863411744,0.8753094991547637,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,1.0,0.15,252,1379,-1.328297545898932,0.79055888948096,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,1.0,0.05,504,427,-2.526856588881281,0.9260032512226124,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,1.0,0.15,504,1379,-1.7089217126712484,0.846696373105255,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_student_t,gaussian_ctrl,1.0,0.05,63,427,-1.1220835281214385,0.7543749849714424,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_student_t,gaussian_ctrl,1.0,0.15,63,1379,-0.7814536796746765,0.6859933305921505,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_student_t,gaussian_ctrl,1.0,0.05,126,427,-1.5160449854908506,0.8199553461055079,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_student_t,gaussian_ctrl,1.0,0.15,126,1379,-1.0634844934346281,0.7433558732150332,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_student_t,gaussian_ctrl,1.0,0.05,252,427,-2.0570208857707684,0.886655120141672,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_student_t,gaussian_ctrl,1.0,0.15,252,1379,-1.4050099716656166,0.8029776919734741,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_student_t,gaussian_ctrl,1.0,0.05,504,427,-2.686599084431972,0.9362312401458265,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_student_t,gaussian_ctrl,1.0,0.15,504,1379,-1.8060670697168448,0.8588858719323355,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_trunc_student_t,gaussian_ctrl,1.0,0.05,63,427,-1.1220835281214385,0.7543749849714424,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_trunc_student_t,gaussian_ctrl,1.0,0.15,63,1379,-0.7815868440207394,0.6860220143448549,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_trunc_student_t,gaussian_ctrl,1.0,0.05,126,427,-1.5160449854908506,0.8199553461055079,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_trunc_student_t,gaussian_ctrl,1.0,0.15,126,1379,-1.0649928656056358,0.7436435316731701,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_trunc_student_t,gaussian_ctrl,1.0,0.05,252,427,-2.0570208857707684,0.886655120141672,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_trunc_student_t,gaussian_ctrl,1.0,0.15,252,1379,-1.4047710744870376,0.8029398946248338,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_trunc_student_t,gaussian_ctrl,1.0,0.05,504,427,-2.686599084431972,0.9362312401458265,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
ewma_trunc_student_t,gaussian_ctrl,1.0,0.15,504,1379,-1.8061904684251417,0.8589008273083226,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,0.6,0.05,63,427,-0.5458400712355528,0.6331699182946938,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,0.6,0.15,63,1379,-0.39259028813202884,0.5969061026057029,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,0.6,0.05,126,427,-0.7683038063932702,0.6831538588317793,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,0.6,0.15,126,1379,-0.5362090859506637,0.6309301146900038,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,0.6,0.05,252,427,-1.0496438385586173,0.7407065005447325,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,0.6,0.15,252,1379,-0.7281279189967593,0.6743943229291887,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,0.6,0.05,504,427,-1.4391358210681409,0.808320792707858,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_gaussian,gaussian_ctrl,0.6,0.15,504,1379,-0.9782489587601149,0.7267606333482022,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,0.6,0.05,63,427,-0.6699123731234733,0.6614835378016685,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
binary_student_t,gaussian_ctrl,0.6,0.15,63,1379,-0.47679333257248135,0.6169903815878942,10000,128,0.0003125,"these two scenarios, four methods, two s, two budgets and four horizons only; not a joint guarantee across project stages"
