scenario,sharpe_valid,method,far_target,arm,cutoff_H,threshold_calibrated_over,threshold,working_prob_threshold,detect,detect_lo,detect_hi,far,far_lo,far_hi,expected_min_tau_H,expected_min_tau_H_se,undetected_at_H,median_first_alarm,median_note,truncation_cap_days,n_test_valid,n_test_invalid
gaussian_ctrl,0.6,binary_gaussian,0.05,A,63,504,-1.4391358210681409,0.808320792707858,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,63.0,0.0,1.0,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.05,A,63,504,-1.7169668171711805,0.8477377305618142,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,63.0,0.0,1.0,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.05,A,63,504,-1.8326476605407196,0.8620768365286364,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,63.0,0.0,1.0,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,A,63,504,-1.8327151922932234,0.8620848658822867,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,63.0,0.0,1.0,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.05,A,126,504,-1.4391358210681409,0.808320792707858,0.0016,0.000985132659693478,0.0025976369161969525,0.0003,0.00010203219941781012,0.0008817357722363795,125.9692,0.009475975697074215,0.9984,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.05,A,126,504,-1.7169668171711805,0.8477377305618142,0.0014,0.000834162028874972,0.002348761146363729,0.0003,0.00010203219941781012,0.0008817357722363795,125.9827,0.005575229082103425,0.9986,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.05,A,126,504,-1.8326476605407196,0.8620768365286364,0.0009,0.00047357706058500574,0.0017097301130243718,0.0003,0.00010203219941781012,0.0008817357722363795,125.9874,0.005391384859483721,0.9991,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.05,A,126,504,-1.8327151922932234,0.8620848658822867,0.0009,0.00047357706058500574,0.0017097301130243718,0.0003,0.00010203219941781012,0.0008817357722363795,125.9874,0.005391384859483721,0.9991,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.05,A,252,504,-1.4391358210681409,0.808320792707858,0.0329,0.029579354960203693,0.03657937631768236,0.0059,0.004577046502138715,0.007602420687763897,250.4025,0.10993933800421067,0.9671,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.05,A,252,504,-1.7169668171711805,0.8477377305618142,0.033,0.02967419810234849,0.03668445637586344,0.0066,0.005191478817931518,0.008387450774252148,250.4675,0.10547249318984532,0.967,,not reached within 252d,252,10000,10000
