scenario,sharpe_valid,method,setting,far_target,n_paths,mean_U_at_T_all,median_U_at_T_all,mean_q_at_T_all,median_q_at_T_all,n_survivors_last_alpha,mean_U_at_T_survivors,mean_q_at_T_survivors,survivor_filter_alpha,score_note
gaussian_ctrl,1.0,binary_gaussian,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,binary_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,ewma_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,ewma_trunc_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,binary_gaussian,fixed_T126,,10000,-0.2505072685643167,-0.2507706887068025,0.4439302226013582,0.4376338154786936,9778,-0.2860652394627777,0.4362362070250936,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,binary_student_t,fixed_T126,,10000,-0.2883310950156958,-0.2966877429401862,0.43774614199098394,0.4263673909508319,9795,-0.328434336761925,0.42957716901290227,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,ewma_student_t,fixed_T126,,10000,-0.2943270083457619,-0.29507538252625376,0.43708017431982654,0.4267617868760645,9813,-0.3334451860778867,0.42929110686783356,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,ewma_trunc_student_t,fixed_T126,,10000,-0.29442592958054137,-0.2953848125480263,0.43706066477705824,0.42668608989476,9813,-0.3335548938711999,0.42927031624468825,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,binary_gaussian,fixed_T252,,10000,-0.4927054754676434,-0.4906573045915319,0.39905737353081094,0.3797387357332638,9284,-0.6276527604308082,0.37095240151605985,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,binary_student_t,fixed_T252,,10000,-0.5633454032193757,-0.5647454883071891,0.3915784935139947,0.3624501579055507,9288,-0.7271034010013826,0.35968797679078623,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,ewma_student_t,fixed_T252,,10000,-0.5742093812412855,-0.5682172556411578,0.39112013914910027,0.3616482855073462,9321,-0.7388882939357629,0.3597140376891339,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,ewma_trunc_student_t,fixed_T252,,10000,-0.5743852371068592,-0.5693417227743256,0.39109749344511385,0.36138877136917547,9321,-0.7391085159448406,0.3596865698442623,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,binary_gaussian,random_uniform,,10000,-0.2562115736433937,-0.19748866164216303,0.4442693554984944,0.45078767806194253,9729,-0.2988251567813837,0.43515618820350443,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,binary_student_t,random_uniform,,10000,-0.2938139335239111,-0.2245310388243238,0.4388360224464508,0.4441018815288327,9750,-0.3422077300371613,0.42912138721823534,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,ewma_student_t,random_uniform,,10000,-0.3017052197877687,-0.2253083584417872,0.4378981036919056,0.4439099886522331,9765,-0.34985095179129716,0.42844557608436307,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,1.0,ewma_trunc_student_t,random_uniform,,10000,-0.3017952553701686,-0.22538623512651368,0.43788429451274313,0.44389076465185273,9765,-0.3499604721335775,0.42842961644449845,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,binary_gaussian,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,binary_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,ewma_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,ewma_trunc_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,binary_gaussian,fixed_T126,,10000,-0.09030436113858986,-0.0904624132240813,0.4783709955789525,0.4773998068879033,9891,-0.10177133555249561,0.4757117335608934,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,binary_student_t,fixed_T126,,10000,-0.1046860970745693,-0.10931669320990234,0.47530193808508836,0.47269800984858873,9904,-0.11712531940367561,0.47251458293418463,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,ewma_student_t,fixed_T126,,10000,-0.10668197555163406,-0.10661322903140458,0.47495513373170306,0.4733719100505175,9905,-0.1197658991318602,0.4720614296956782,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,ewma_trunc_student_t,fixed_T126,,10000,-0.10672862883705023,-0.10671672512027963,0.4749442054364679,0.47334610953523015,9906,-0.1196814508425617,0.47208007407876523,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,binary_gaussian,fixed_T252,,10000,-0.17562328528058568,-0.1743943827549187,0.4594532236180212,0.4565115677440523,9440,-0.2432184696460024,0.444022511772871,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,binary_student_t,fixed_T252,,10000,-0.2014367763945528,-0.20303186125790496,0.45488028086854576,0.44941568072099736,9433,-0.2851021202022104,0.4364895450207596,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,ewma_student_t,fixed_T252,,10000,-0.20469315652512157,-0.20304570714502623,0.45449972189900534,0.44941225471644985,9450,-0.2892578048121709,0.4361211896166639,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
