sharpe_valid,T,h,n_paths,mean_U_at_T_theory,mean_U_at_T_measured,mean_dU_theory,mean_dU_measured,scope,z_U_at_T,z_dU
1.0,0,63,40000,-0.0,0.0,0.125,0.12352689173831555,"iid Gaussian, fixed T, all paths (no survivor filter)",0.0,0.589243304673781
1.0,0,126,40000,-0.0,0.0,0.25,0.24696868467966443,"iid Gaussian, fixed T, all paths (no survivor filter)",0.0,0.8573854475695813
1.0,0,252,40000,-0.0,0.0,0.5,0.5028323280565583,"iid Gaussian, fixed T, all paths (no survivor filter)",0.0,0.5664656113116617
1.0,126,63,40000,-0.25,-0.25303131532033574,0.125,0.1312915712839903,"iid Gaussian, fixed T, all paths (no survivor filter)",0.8573854475696284,2.5166285135961197
1.0,126,126,40000,-0.25,-0.25303131532033574,0.25,0.2558636433768938,"iid Gaussian, fixed T, all paths (no survivor filter)",0.8573854475696284,1.6584887977044838
1.0,126,252,40000,-0.25,-0.25303131532033574,0.5,0.5098906037121023,"iid Gaussian, fixed T, all paths (no survivor filter)",0.8573854475696284,1.9781207424204528
1.0,252,63,40000,-0.5,-0.49716767194344214,0.125,0.1249115498691152,"iid Gaussian, fixed T, all paths (no survivor filter)",0.5664656113115729,0.03538005235392272
1.0,252,126,40000,-0.5,-0.49716767194344214,0.25,0.2540269603352085,"iid Gaussian, fixed T, all paths (no survivor filter)",0.5664656113115729,1.138996384238072
1.0,252,252,40000,-0.5,-0.49716767194344214,0.5,0.49950438236945083,"iid Gaussian, fixed T, all paths (no survivor filter)",0.5664656113115729,0.09912352610983444
0.6,0,63,40000,-0.0,0.0,0.045,0.04444217252076014,"iid Gaussian, fixed T, all paths (no survivor filter)",0.0,0.3718849861599066
0.6,0,126,40000,-0.0,0.0,0.09,0.090108731382067,"iid Gaussian, fixed T, all paths (no survivor filter)",0.0,0.05125646505824252
0.6,0,252,40000,-0.0,0.0,0.18,0.18080587881021642,"iid Gaussian, fixed T, all paths (no survivor filter)",0.0,0.26862627007214385
0.6,126,63,40000,-0.09,-0.089891268617933,0.045,0.04456302346747969,"iid Gaussian, fixed T, all paths (no survivor filter)",0.05125646505823598,0.29131768834687416
0.6,126,126,40000,-0.09,-0.089891268617933,0.09,0.09069714742814942,"iid Gaussian, fixed T, all paths (no survivor filter)",0.05125646505823598,0.3286384492874812
0.6,126,252,40000,-0.09,-0.089891268617933,0.18,0.18110153193674933,"iid Gaussian, fixed T, all paths (no survivor filter)",0.05125646505823598,0.3671773122497779
0.6,252,63,40000,-0.18,-0.17919412118978356,0.045,0.04492213183405804,"iid Gaussian, fixed T, all paths (no survivor filter)",0.26862627007214385,0.05191211062797093
0.6,252,126,40000,-0.18,-0.17919412118978356,0.09,0.0904043845085999,"iid Gaussian, fixed T, all paths (no survivor filter)",0.26862627007214385,0.1906286854918555
0.6,252,252,40000,-0.18,-0.17919412118978356,0.18,0.17682168525854422,"iid Gaussian, fixed T, all paths (no survivor filter)",0.26862627007214385,1.0594382471519244
