true_state,day,U_mean_empirical,U_mean_analytic,U_mean_z,U_sd_empirical,U_sd_analytic,mean_q_empirical,mean_q_analytic,sigmoid_of_mean_U
valid,126,-0.2614051321711648,-0.25,-1.140513217116479,0.7154478657227401,0.7071067811865476,0.441686892674344,0.444060837156535,0.43501832701114806
valid,252,-0.5163334754201394,-0.5,-1.154951122992437,1.0023236419686425,1.0,0.39441562283198633,0.39797286718324987,0.3737099886786258
valid,504,-1.0158305169779565,-1.0,-0.7915258488978227,1.4187694853431678,1.4142135623730951,0.3223177299890103,0.3249432976624347,0.2658403605724158
valid,1260,-2.5518846894597425,-2.5,-1.6407379438331733,2.2572277969866326,2.23606797749979,0.18578680444590126,0.18907922983742217,0.07229997223423472
valid,2520,-5.1014095595784905,-5.0,-2.267586687858197,3.1436990994436043,3.1622776601683795,0.07932634437282728,0.0843965125389638,0.006051317509335512
invalid,126,0.2504551420011666,0.25,0.04551420011665863,0.7195226240509649,0.7071067811865476,0.5555261501618115,0.555939162843465,0.5622885236726886
invalid,252,0.5029265648334668,0.5,0.20693938393264255,1.0110872060015437,1.0,0.6016887189111161,0.6020271328167501,0.6231468379188093
invalid,504,1.0134084616690664,1.0,0.6704230834533198,1.406321890050028,1.4142135623730951,0.6771015027287923,0.6750567023375653,0.7336866606598152
invalid,1260,2.5757556952383593,2.5,2.3956054268278786,2.2669026107566927,2.23606797749979,0.8162063512009221,0.8109207701625777,0.9292848643955662
invalid,2520,5.118196184171535,5.0,2.6429470248863716,3.2490133034146162,3.1622776601683795,0.915962084907059,0.9156034874610363,0.9940488163514843
