T,detector,threshold,achieved_continuation_fa,pre_failure_fa_incurred,target_continuation_fa,max_reachable_continuation_fa,feasible,survival_floor
252,binary_gaussian,-0.4749547014201219,0.17715305667112896,0.43975,0.17716049382716048,0.18077601410934743,True,0.5
252,binary_student_t,-0.6329526387771576,0.17715019255455713,0.41575,0.17716049382716048,0.1883148237566393,True,0.5
252,trailing_sharpe_252,-1.0832831350492715,0.17711518858307848,0.019,0.17716049382716048,0.8653437278525868,True,0.5
252,known_vol_rolling_252,-1.06752958229419,0.1770249617931737,0.0185,0.17716049382716048,0.8652004256828663,True,0.5
756,binary_gaussian,-0.5806461562904958,0.05268109125117592,0.4685,0.05268421052631579,0.053759398496240604,True,0.5
756,binary_student_t,-0.7061165533723467,0.05268245529241179,0.48275,0.05268421052631579,0.056231640788921525,True,0.5
756,trailing_sharpe_252,-1.6946516723500655,0.05263157894736842,0.05475,0.05268421052631579,0.4572713643178411,True,0.5
756,known_vol_rolling_252,-1.683309573205935,0.05256207078711041,0.0535,0.05268421052631579,0.4577711144427786,True,0.5
1260,binary_gaussian,-0.8592900925058905,0.0245136186770428,0.3575,0.02454794520547945,0.025048923679060666,True,0.5
1260,binary_student_t,-1.5674865111618512,0.02438241899262111,0.22075,0.02454794520547945,0.031984007996002,True,0.5
1260,trailing_sharpe_252,-2.0725348948380686,0.024174681570054587,0.03825,0.02454794520547945,0.2909815645241654,True,0.5
1260,known_vol_rolling_252,-2.0507495263772313,0.02442192777344765,0.03775,0.02454794520547945,0.28507239141288065,True,0.5
