group,detector,n_all,U_at_T_mean_all,U_at_T_q10_all,U_at_T_median_all,U_at_T_q90_all,q_at_T_mean_all,q_at_T_median_all,n_survived,U_at_T_mean_survived,U_at_T_q10_survived,U_at_T_median_survived,U_at_T_q90_survived,q_at_T_mean_survived,q_at_T_median_survived,survival_defined_at_alpha
fixed_T=0,binary_gaussian,2000,0.0,0.0,0.0,0.0,0.5,0.5,2000,0.0,0.0,0.0,0.0,0.5,0.5,0.05
fixed_T=0,binary_student_t,2000,0.0,0.0,0.0,0.0,0.5,0.5,2000,0.0,0.0,0.0,0.0,0.5,0.5,0.05
fixed_T=252,binary_gaussian,2000,-0.4577691730164238,-1.6948416522394902,-0.46640930127353053,0.8405073893825298,0.4053728585412733,0.3854664655128204,1969,-0.4953542386790836,-1.7052576285819376,-0.4784001763055272,0.7446180581464396,0.3981233062960952,0.38262997139604726,0.05
fixed_T=252,binary_student_t,2000,-0.5120739243298584,-2.0207210997820733,-0.5300737403510204,1.0283584321588528,0.39999484050512235,0.37049970956823464,1966,-0.5609985020498816,-2.026825798330051,-0.5592282603550355,0.9321472189727106,0.39137351244643187,0.3637260536984077,0.05
fixed_T=756,binary_gaussian,2000,-1.4544726209101428,-3.580837050449297,-1.4888861870707717,0.7019024617685289,0.2723813266669748,0.18408899061195516,1858,-1.6654769264463156,-3.651281320166727,-1.6449831114383278,0.32369674654231384,0.2367743814082858,0.16178814989378862,0.05
fixed_T=756,binary_student_t,2000,-1.6372237303727593,-4.299993431463969,-1.6718851638122167,0.9216807915718903,0.27054889439043844,0.15817300331479112,1850,-1.9034575856297395,-4.379611885896827,-1.8665756621046632,0.4471749198585608,0.23007836051276834,0.1339385488732465,0.05
fixed_T=1260,binary_gaussian,2000,-2.46695192951736,-5.350727595422928,-2.418366967745966,0.32263184145212825,0.18923489003459554,0.0817828131419408,1815,-2.7778268307789005,-5.453231125018757,-2.659441500879012,-0.27871335586715196,0.1468561778502502,0.06540946678787937,0.05
fixed_T=1260,binary_student_t,2000,-2.80536213786329,-6.26437161953253,-2.743357665526969,0.56942621898223,0.1897540551732899,0.06046288318634841,1796,-3.2079554412471083,-6.411757366077784,-3.0061856963176403,-0.18806344515189555,0.14041895474912996,0.04714720511855755,0.05
random_T,binary_gaussian,5000,-1.2159313925719208,-3.5961581897916153,-0.9678585089075517,0.6235019560799835,0.3132149441771061,0.27530755522227723,4723,-1.358695192407808,-3.656595709860044,-1.0736229138475946,0.4463031309754312,0.28955782924854717,0.25471471688878905,0.05
random_T,binary_student_t,5000,-1.392912138129687,-4.167902132704234,-1.1154051473268638,0.8732750906945626,0.30720444016574855,0.24686458392283087,4712,-1.5722518175464966,-4.272260810258562,-1.2442727000913827,0.5629581576610668,0.28042480550706395,0.2236931384989353,0.05
