group,detector,far_target,post_window_days,usable_post_failure_days,n_paths,mean_T,pre_failure_false_alarm_rate,n_survived_to_failure,frac_survived_to_failure,cond_detect_h126,uncond_detect_h126,n_cond_detect_h126,cond_detect_h252,uncond_detect_h252,n_cond_detect_h252,cond_detect_h504,uncond_detect_h504,n_cond_detect_h504,trunc_post_failure_delay_days,trunc_post_failure_delay_se,undetected_at_end_given_survived,median_post_failure_delay_days,median_post_failure_delay_note,matched_threshold,matched_target_pre_fa,target_continuation_fa,achieved_continuation_fa,max_reachable_continuation_fa
fixed_T=0,binary_gaussian,0.05,504,504,2000,0.0,0.0,2000,1.0,0.01,0.01,20,0.114,0.114,228,0.383,0.383,766,432.7275,2.5036398958794215,0.617,,not reached: only 38.3% of survivors detected within 504d after failure,,,,,
fixed_T=0,binary_gaussian,0.15,504,504,2000,0.0,0.0,2000,1.0,0.0985,0.0985,197,0.314,0.314,628,0.5795,0.5795,1159,357.53,3.4194051698881673,0.4205,404,,,,,,
fixed_T=0,binary_student_t,0.05,504,504,2000,0.0,0.0,2000,1.0,0.0105,0.0105,21,0.109,0.109,218,0.3585,0.3585,717,438.288,2.430890195292824,0.6415,,not reached: only 35.9% of survivors detected within 504d after failure,,,,,
fixed_T=0,binary_student_t,0.15,504,504,2000,0.0,0.0,2000,1.0,0.0915,0.0915,183,0.305,0.305,610,0.567,0.567,1134,362.0975,3.4155300349411055,0.43300000000000005,418,,,,,,
fixed_T=0,trailing_sharpe_252,0.05,504,253,2000,0.0,0.0,2000,1.0,0.0,0.0,0,0.0775,0.0775,155,0.322,0.322,644,448.3125,2.070288861453862,0.6779999999999999,,not reached: only 32.2% of survivors detected within 504d after failure,,,,,
fixed_T=0,trailing_sharpe_252,0.15,504,253,2000,0.0,0.0,2000,1.0,0.0,0.0,0,0.172,0.172,344,0.5555,0.5555,1111,401.4205,2.418306420379027,0.4445,449,,,,,,
fixed_T=0,known_vol_rolling_252,0.05,504,253,2000,0.0,0.0,2000,1.0,0.0,0.0,0,0.0795,0.0795,159,0.3255,0.3255,651,447.8265,2.07694271572357,0.6745,,not reached: only 32.6% of survivors detected within 504d after failure,,,,,
fixed_T=0,known_vol_rolling_252,0.15,504,253,2000,0.0,0.0,2000,1.0,0.0,0.0,0,0.172,0.172,344,0.5555,0.5555,1111,401.3975,2.4131467807756293,0.4445,446,,,,,,
fixed_T=252,binary_gaussian,0.05,504,504,2000,252.0,0.0155,1969,0.9845,0.04367699339766379,0.043,86,0.11173184357541899,0.11,220,0.28694768918232605,0.2825,565,442.3626206196039,2.7371138566116806,0.713052310817674,,not reached: only 28.7% of survivors detected within 504d after failure,,,,,
fixed_T=252,binary_gaussian,0.15,504,504,2000,252.0,0.0815,1837,0.9185,0.10016330974414807,0.092,184,0.21284703320631465,0.1955,391,0.4050081654872074,0.372,744,398.80348394120847,3.6250313924113176,0.5949918345127926,,not reached: only 40.5% of survivors detected within 504d after failure,,,,,
fixed_T=252,binary_student_t,0.05,504,504,2000,252.0,0.017,1966,0.983,0.04577822990844354,0.045,90,0.11190233977619532,0.11,220,0.27568667344862663,0.271,542,443.3056968463886,2.7374853240468897,0.7243133265513734,,not reached: only 27.6% of survivors detected within 504d after failure,,,,,
