detector,detector_label,role,statistic,far_target,threshold,first_eligible_day,n_calibration_paths,calibration_far,n_test_valid_paths,n_test_invalid_paths,far_d126,far_d126_lo,far_d126_hi,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,far_d252_lo,far_d252_hi,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,far_d504_lo,far_d504_hi,detect_d504,detect_d504_lo,detect_d504_hi,undetected_at_H,undetected_at_H_lo,undetected_at_H_hi,trunc_mean_detect_days,trunc_mean_detect_days_se,trunc_mean_detect_years,trunc_mean_detect_years_se,median_detect_days,median_detect_note,trunc_mean_valid_days,trunc_mean_valid_days_se
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.05,-1.9580427014642785,1,5000,0.05,5000,5000,0.0032,0.001970727821902371,0.005192060830706388,0.0156,0.01251823713404905,0.01942551251032229,0.0174,0.014128673436036129,0.021412312481333007,0.114,0.10548561331637656,0.12310705258520756,0.0516,0.045805193052696626,0.05808328205163061,0.3682,0.3549370598921713,0.38166530634054596,0.6318,0.6183346936594541,0.6450629401078288,434.9696,1.583675112054271,1.7260698412698414,0.006284425047834408,,not reached within the 504-day horizon,493.9834,0.7061685632311447
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.05,-2.4118742355913088,1,5000,0.05,5000,5000,0.0024,0.0013734655564128324,0.004190551419308018,0.0118,0.009159421922706208,0.015190162256447572,0.0178,0.014487945592163865,0.02185242616364923,0.0998,0.09179671658711111,0.10841775204971263,0.0538,0.04788174698389211,0.06040335023187689,0.3386,0.32561123252801905,0.35183658165984555,0.6614,0.6481634183401546,0.6743887674719811,441.7232,1.5152555019531324,1.7528698412698414,0.0060129186585441766,,not reached within the 504-day horizon,493.6616,0.7114829152381209
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing Sharpe (ddof=1),0.05,-1.4864721900694782,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.007,0.005037635094103144,0.009719319023723182,0.0692,0.06249097415276718,0.07657047784309402,0.0526,0.046748710224978236,0.05913822947545889,0.3086,0.29594759774983614,0.3215462785547317,0.6914,0.6784537214452683,0.7040524022501639,452.7186,1.26027442294614,1.7965023809523808,0.005001088979945,,not reached within the 504-day horizon,496.1048,0.5418169031170038
known_vol_rolling_252,Known-vol rolling (control),diagnostic control,annualised trailing mean / known sigma,0.05,-1.4701193512564792,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0076,0.0055422231900968295,0.010413809685395427,0.0702,0.0634434723454752,0.07761644424649589,0.0532,0.04731511889160377,0.05977089956649927,0.3124,0.2997015947015856,0.3253864470681999,0.6876,0.6746135529318001,0.7002984052984144,452.1398,1.2673330098216318,1.7942055555555554,0.005029099245323935,,not reached within the 504-day horizon,496.0512,0.543968469721555
random_closure,Random closure (analytic),analytic reference,none (coin flip each day),0.05,,1,,,,,0.01274145509856106,,,0.01274145509856106,,,0.025320565519093452,,,0.025320565519093452,,,0.04999999999998006,,,0.04999999999998006,,,0.9500000000000199,,,491.31728922908934,,1.9496717826551164,,,not reached within the 504-day horizon,491.31728922908934,
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.15,-1.3326385255852278,1,5000,0.15,5000,5000,0.024,0.020109114739861697,0.02862173751183269,0.1022,0.09410694680069476,0.1109038368667927,0.0788,0.07165124302171341,0.08659546909680271,0.31,0.29733053184164876,0.32296119489747305,0.141,0.131628882757097,0.15092232723945403,0.586,0.5722865631658153,0.5995813920996348,0.414,0.40041860790036515,0.4277134368341848,358.0182,2.1813039932971825,1.4207071428571427,0.008655968227369772,409,,467.7178,1.4119292126209055
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.15,-1.6298647958352264,1,5000,0.15,5000,5000,0.0264,0.022306626510353804,0.031220540772004313,0.093,0.08525925317287317,0.10136565621040333,0.0848,0.07739332746358839,0.09284417223158704,0.2998,0.28725804178300607,0.31264934607579487,0.152,0.1423160254409114,0.16221829511284838,0.5642,0.5504115823990229,0.5778898446712318,0.4358,0.4221101553287683,0.44958841760097723,363.1218,2.1675505641256927,1.4409595238095239,0.008601391127482908,425,,465.265,1.4511100092866185
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing Sharpe (ddof=1),0.15,-0.9563196100975437,252,5000,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.027,0.02285755356363269,0.031868692476391354,0.1642,0.15419014541886372,0.17472544320743671,0.1576,0.14776380545447806,0.1679619168374971,0.5564,0.5425913344943922,0.5701220687262054,0.4436,0.4298779312737947,0.4574086655056079,402.8794,1.519940648526451,1.5987277777777777,0.006031510510025599,451,,479.3732,0.9270897493946778
known_vol_rolling_252,Known-vol rolling (control),diagnostic control,annualised trailing mean / known sigma,0.15,-0.9526744379801403,252,5000,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0266,0.022490203302556452,0.031436656899023634,0.1656,0.1555540800527612,0.17615935900809307,0.1562,0.14640143245551734,0.16652643940190398,0.5572,0.5433932528335728,0.5709189220639128,0.4428,0.42908107793608724,0.4566067471664274,402.5618,1.519665302847484,1.5974674603174603,0.006030417868442397,450,,479.5706,0.9232498476491815
random_closure,Random closure (analytic),analytic reference,none (coin flip each day),0.15,,1,,,,,0.03981541059580884,,,0.03981541059580884,,,0.07804555427070492,,,0.07804555427070492,,,0.14999999999998825,,,0.14999999999998825,,,0.8500000000000117,,,465.25158520579265,,1.846236449229336,,,not reached within the 504-day horizon,465.25158520579265,
