detector,detector_label,role,statistic,far_target,threshold,first_eligible_day,n_calibration_paths,calibration_far,n_test_valid_paths,n_test_invalid_paths,far_d126,far_d126_lo,far_d126_hi,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,far_d252_lo,far_d252_hi,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,far_d504_lo,far_d504_hi,detect_d504,detect_d504_lo,detect_d504_hi,undetected_at_H,undetected_at_H_lo,undetected_at_H_hi,trunc_mean_detect_days,trunc_mean_detect_days_se,trunc_mean_detect_years,trunc_mean_detect_years_se,median_detect_days,median_detect_note,trunc_mean_valid_days,trunc_mean_valid_days_se,scenario,arm
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.05,-1.9580427014642785,1,0,,5000,5000,0.0022,0.001228915407138813,0.003935408649360061,0.011,0.008461172335733187,0.014289640166532683,0.017,0.013769889061235687,0.020971711017689503,0.115,0.10645134542601838,0.12413978507167563,0.0454,0.039970320043562504,0.051527674564883455,0.3654,0.35216063486852506,0.3788460304950844,0.6346,0.6211539695049157,0.6478393651314751,435.755,1.5759013700183158,1.7291865079365079,0.006253576865152047,,not reached within the 504-day horizon,494.9068,0.6779630296158524,gaussian,frozen_stage1
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.05,-2.4118742355913088,1,0,,5000,5000,0.0022,0.001228915407138813,0.003935408649360061,0.0084,0.006220654387306615,0.011334150165073551,0.0146,0.01162844344183671,0.018316841606424748,0.097,0.0891033190865822,0.10551544868113386,0.046,0.04053378733537788,0.052163286030734,0.3416,0.32858089616547087,0.3548623118107233,0.6584,0.6451376881892767,0.6714191038345292,441.9434,1.5029034110749113,1.7537436507936508,0.005963902424900442,,not reached within the 504-day horizon,495.429,0.6432352463262747,gaussian,frozen_stage1
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.05,-1.4864721900694782,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0082,0.006050485563239175,0.011104626069919014,0.072,0.0651590063175528,0.07949814654741609,0.0506,0.044862312290198145,0.0570276982180192,0.3162,0.30345659541585185,0.32922561181915116,0.6838,0.6707743881808488,0.6965434045841481,450.9594,1.2801265309003727,1.7895214285714287,0.00507986718611259,,not reached within the 504-day horizon,496.6622,0.520524934535796,gaussian,frozen_stage1
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.05,-1.4701193512564792,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.008,0.005880681725099649,0.010874736988836564,0.0734,0.06649420780762573,0.08096079549189701,0.0508,0.04505083668536069,0.05723886674207864,0.3218,0.30899208964934527,0.33488151932387317,0.6782,0.6651184806761269,0.6910079103506549,449.9988,1.2878197760817052,1.785709523809524,0.005110395936832163,,not reached within the 504-day horizon,496.5004,0.5284966808943489,gaussian,frozen_stage1
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.15,-1.3326385255852278,1,0,,5000,5000,0.0252,0.021206588938665706,0.029922420828360545,0.1042,0.09603323425328443,0.1129744786064228,0.07,0.06325293934676168,0.07740728432598745,0.3146,0.3018754207784178,0.3276092431028095,0.1378,0.12852354036373242,0.147632582925267,0.5838,0.5700777573590254,0.5973935757949829,0.4162,0.40260642420501713,0.42992224264097456,356.2998,2.1997680468367515,1.4138880952380952,0.00872923828109822,404,,470.576,1.3576175123583123,gaussian,frozen_stage1
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.15,-1.6298647958352264,1,0,,5000,5000,0.022,0.018286209661005734,0.02644771339846888,0.0972,0.08929563628725427,0.10572282439968374,0.0694,0.06268144029843477,0.07677970461664844,0.3052,0.29258961751805074,0.3181094791597437,0.1366,0.12735947992501698,0.1463984858486506,0.5706,0.556830774868619,0.584260825616739,0.4294,0.4157391743832611,0.4431692251313811,361.2502,2.1776012833992113,1.4335325396825398,0.008641274934123854,420,,470.2178,1.3469461924817518,gaussian,frozen_stage1
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.15,-0.9563196100975437,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0234,0.01956139679590935,0.027970376698119106,0.1724,0.16218261124150501,0.18312038707289646,0.146,0.13648432523244036,0.1560592077446601,0.5564,0.5425913344943922,0.5701220687262054,0.4436,0.4298779312737947,0.4574086655056079,402.3144,1.5267405863117605,1.5964857142857143,0.006058494390126033,449,,481.2318,0.89572241095079,gaussian,frozen_stage1
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.15,-0.9526744379801403,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.024,0.020109114739861697,0.02862173751183269,0.1714,0.16120744829120484,0.18209708542708672,0.1472,0.1376502220202381,0.15729146847219425,0.5544,0.5405866966507022,0.5681297773776754,0.4456,0.43187022262232455,0.45941330334929775,402.5548,1.528963879724142,1.5974396825396826,0.00606731698303231,452,,481.0746,0.8989602398719168,gaussian,frozen_stage1
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.05,-1.9298083464521443,1,5000,0.05,5000,5000,0.003,0.0018189297776376753,0.004944165955749107,0.0122,0.009509858115682888,0.015639111901914846,0.0182,0.014847689638538625,0.022292067955718423,0.1212,0.11244354447932577,0.13053806651424954,0.047,0.04147349616779377,0.053222041794428,0.3734,0.36009455910900845,0.38689982302348014,0.6266,0.6131001769765201,0.6399054408909917,432.956,1.6074071433040444,1.718079365079365,0.006378599775016049,,not reached within the 504-day horizon,494.305,0.711024209211766,gaussian,recalibrated
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.05,-2.391021273353818,1,5000,0.05,5000,5000,0.0022,0.001228915407138813,0.003935408649360061,0.0094,0.0070765572156887115,0.012476711932801345,0.0152,0.012161871202107252,0.01898249260382014,0.103,0.09487734390886228,0.11173221143551308,0.047,0.04147349616779377,0.053222041794428,0.3482,0.3351162065910496,0.36151686771946984,0.6518,0.6384831322805303,0.6648837934089505,439.935,1.526832852250613,1.7457738095238096,0.00605886052480402,,not reached within the 504-day horizon,495.184,0.6527985125439517,gaussian,recalibrated
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.05,-1.438576544709392,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0088,0.006562037439973316,0.011792152950850806,0.0806,0.07337259170799372,0.0884713566835202,0.054,0.048070671178201296,0.06061411895678967,0.336,0.32303799930113547,0.3492138069368434,0.664,0.6507861930631568,0.6769620006988647,447.166,1.3123257402679085,1.774468253968254,0.005207641826459954,,not reached within the 504-day horizon,496.0504,0.5428742344732258,gaussian,recalibrated
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.05,-1.420223011560903,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.009,0.00673322861097761,0.01202065469906849,0.0822,0.07490361133345794,0.0901378804118318,0.0562,0.05015038614349224,0.06293102610294048,0.3428,0.32976892533637225,0.3560724401551538,0.6572,0.6439275598448463,0.6702310746636279,446.0342,1.3216793156112654,1.7699769841269841,0.005244759188933593,,not reached within the 504-day horizon,495.8028,0.5501810995303783,gaussian,recalibrated
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.15,-1.2984365998142668,1,5000,0.15,5000,5000,0.0288,0.024513740513153515,0.03380974179986833,0.1156,0.10703088700143776,0.12475932225392217,0.0756,0.06859391472633179,0.08325771068463271,0.329,0.31611227755690946,0.34215027650830016,0.145,0.13551291721422795,0.15503215116676264,0.5946,0.5809236820350474,0.6081310687569479,0.4054,0.3918689312430522,0.4190763179649526,351.0704,2.226750648918394,1.393136507936508,0.008836312098882516,390,,467.9086,1.4147792086576088,gaussian,recalibrated
