scenario,arm,far_target,reference,other,n_paired_paths,detect_d504_reference,detect_d504_other,detect_diff,detect_diff_lo,detect_diff_hi,trunc_time_diff_days,trunc_time_diff_lo,trunc_time_diff_hi
gaussian,frozen,0.05,binary_gaussian,binary_student_t,5000,0.3654,0.3416,0.0238,0.015138241214129391,0.03246175878587061,-6.1884,-7.9026579354629725,-4.474142064537027
gaussian,frozen,0.05,binary_gaussian,known_vol_rolling_252,5000,0.3654,0.3218,0.0436,0.03290323458805265,0.05429676541194735,-14.2438,-16.151626539758237,-12.335973460241766
gaussian,frozen,0.05,binary_gaussian,trailing_sharpe_252,5000,0.3654,0.3162,0.0492,0.03849317036150839,0.05990682963849161,-15.2044,-17.129187348071504,-13.279612651928495
gaussian,frozen,0.15,binary_gaussian,binary_student_t,5000,0.5838,0.5706,0.0132,0.004302265634583672,0.02209773436541633,-4.9504,-7.232294922937838,-2.6685050770621626
gaussian,frozen,0.15,binary_gaussian,known_vol_rolling_252,5000,0.5838,0.5544,0.0294,0.017765970959737854,0.04103402904026214,-46.255,-49.315646035523955,-43.19435396447605
gaussian,frozen,0.15,binary_gaussian,trailing_sharpe_252,5000,0.5838,0.5564,0.0274,0.015722668898373003,0.039077331101627,-46.0146,-49.09399612749358,-42.93520387250642
gaussian,recalibrated,0.05,binary_gaussian,binary_student_t,5000,0.3734,0.3482,0.0252,0.01649702376426635,0.03390297623573365,-6.979,-8.716423241150437,-5.241576758849563
gaussian,recalibrated,0.05,binary_gaussian,known_vol_rolling_252,5000,0.3734,0.3428,0.0306,0.019747592557252634,0.04145240744274736,-13.0782,-15.038018145239594,-11.118381854760408
gaussian,recalibrated,0.05,binary_gaussian,trailing_sharpe_252,5000,0.3734,0.336,0.0374,0.026620857854139875,0.04817914214586013,-14.21,-16.17761738616344,-12.242382613836561
gaussian,recalibrated,0.15,binary_gaussian,binary_student_t,5000,0.5946,0.5718,0.0228,0.013865447037889923,0.03173455296211008,-9.5586,-11.875196309044494,-7.2420036909555074
gaussian,recalibrated,0.15,binary_gaussian,known_vol_rolling_252,5000,0.5946,0.5524,0.0422,0.030503931682410126,0.053896068317589876,-51.9082,-55.04762700264378,-48.76877299735622
gaussian,recalibrated,0.15,binary_gaussian,trailing_sharpe_252,5000,0.5946,0.5508,0.0438,0.03202984515466699,0.05557015484533301,-52.5052,-55.67004766509959,-49.340352334900416
student_t,frozen,0.05,binary_gaussian,binary_student_t,5000,0.3634,0.3402,0.0232,0.01284776568216408,0.03355223431783592,-9.9486,-12.011100213652927,-7.886099786347074
student_t,frozen,0.05,binary_gaussian,known_vol_rolling_252,5000,0.3634,0.314,0.0494,0.038544194269106116,0.06025580573089388,-14.9596,-16.985416706486674,-12.933783293513326
student_t,frozen,0.05,binary_gaussian,trailing_sharpe_252,5000,0.3634,0.3124,0.051,0.04019245909351131,0.061807540906488684,-15.2412,-17.307535830852743,-13.174864169147256
student_t,frozen,0.15,binary_gaussian,binary_student_t,5000,0.5832,0.5672,0.016,0.005519319350994733,0.026480680649005266,-9.577,-12.301051013084122,-6.852948986915878
student_t,frozen,0.15,binary_gaussian,known_vol_rolling_252,5000,0.5832,0.5512,0.032,0.02074055698127189,0.04325944301872811,-43.7548,-46.718895698512895,-40.79070430148711
student_t,frozen,0.15,binary_gaussian,trailing_sharpe_252,5000,0.5832,0.5554,0.0278,0.01647077841739198,0.039129221582608016,-42.9606,-45.93842072188971,-39.982779278110286
student_t,recalibrated,0.05,binary_gaussian,binary_student_t,5000,0.3534,0.4146,-0.0612,-0.07175777046076498,-0.05064222953923502,14.463,12.254467573606721,16.671532426393277
student_t,recalibrated,0.05,binary_gaussian,known_vol_rolling_252,5000,0.3534,0.3054,0.048,0.03721748066119026,0.05878251933880974,-13.0816,-15.023250355944175,-11.139949644055825
student_t,recalibrated,0.05,binary_gaussian,trailing_sharpe_252,5000,0.3534,0.3108,0.0426,0.031835696395394894,0.053364303604605104,-11.9038,-13.895839813017883,-9.911760186982118
student_t,recalibrated,0.15,binary_gaussian,binary_student_t,5000,0.5812,0.62,-0.0388,-0.04952530204727057,-0.028074697952729433,14.6234,11.769875351456644,17.476924648543356
student_t,recalibrated,0.15,binary_gaussian,known_vol_rolling_252,5000,0.5812,0.5412,0.04,0.028664918183799133,0.05133508181620087,-44.7748,-47.737946195394315,-41.81165380460568
student_t,recalibrated,0.15,binary_gaussian,trailing_sharpe_252,5000,0.5812,0.5448,0.0364,0.024961159137112436,0.04783884086288757,-44.1556,-47.13209364781298,-41.17910635218702
stoch_vol,frozen,0.05,binary_gaussian,binary_student_t,5000,0.3368,0.3236,0.0132,0.002271312128771588,0.02412868787122841,-10.4578,-12.87283063784346,-8.042769362156541
stoch_vol,frozen,0.05,binary_gaussian,known_vol_rolling_252,5000,0.3368,0.2772,0.0596,0.04871986386905839,0.0704801361309416,-17.1446,-19.179987887565687,-15.109212112434316
stoch_vol,frozen,0.05,binary_gaussian,trailing_sharpe_252,5000,0.3368,0.32,0.0168,0.004931145835919484,0.028668854164080514,-10.5956,-13.125147245891466,-8.066052754108533
stoch_vol,frozen,0.15,binary_gaussian,binary_student_t,5000,0.5642,0.5688,-0.0046,-0.015541094154944524,0.0063410941549445245,-5.2218,-8.199271597303085,-2.2443284026969157
stoch_vol,frozen,0.15,binary_gaussian,known_vol_rolling_252,5000,0.5642,0.5082,0.056,0.044029727948330495,0.06797027205166951,-45.269,-48.24736300255785,-42.29063699744215
stoch_vol,frozen,0.15,binary_gaussian,trailing_sharpe_252,5000,0.5642,0.5658,-0.0016,-0.013464958483335659,0.010264958483335657,-34.2702,-37.39495377607006,-31.145446223929948
stoch_vol,recalibrated,0.05,binary_gaussian,binary_student_t,5000,0.3132,0.4542,-0.141,-0.15295276579788,-0.12904723420211997,30.4526,27.731434885027884,33.17376511497212
stoch_vol,recalibrated,0.05,binary_gaussian,gaussian_oracle_vol,5000,0.3132,0.6086,-0.2954,-0.3113759375762085,-0.2794240624237915,88.2458,83.55302928016931,92.9385707198307
stoch_vol,recalibrated,0.05,binary_gaussian,known_vol_rolling_252,5000,0.3132,0.2302,0.083,0.0722741090230957,0.09372589097690431,-20.2914,-22.267366846749304,-18.315433153250694
stoch_vol,recalibrated,0.05,binary_gaussian,trailing_sharpe_252,5000,0.3132,0.3338,-0.0206,-0.032248551313750734,-0.008951448686249268,-2.2422,-4.688559470615794,0.2041594706157941
stoch_vol,recalibrated,0.15,binary_gaussian,binary_student_t,5000,0.5756,0.6628,-0.0872,-0.09837106041403079,-0.07602893958596921,33.7636,30.526202751537646,37.00099724846235
stoch_vol,recalibrated,0.15,binary_gaussian,gaussian_oracle_vol,5000,0.5756,0.7904,-0.2148,-0.22932797184371037,-0.2002720281562896,94.7482,89.57950821914557,99.91689178085443
stoch_vol,recalibrated,0.15,binary_gaussian,known_vol_rolling_252,5000,0.5756,0.5306,0.045,0.033181194127121505,0.05681880587287849,-44.442,-47.43175976148799,-41.45224023851201
stoch_vol,recalibrated,0.15,binary_gaussian,trailing_sharpe_252,5000,0.5756,0.6048,-0.0292,-0.0409592402225929,-0.017440759777407097,-30.209,-33.380757695259064,-27.037242304740936
jump,frozen,0.05,binary_gaussian,binary_student_t,5000,0.3696,0.3406,0.029,0.018548137142803282,0.03945186285719672,-6.9084,-9.007226795165977,-4.809573204834025
jump,frozen,0.05,binary_gaussian,known_vol_rolling_252,5000,0.3696,0.322,0.0476,0.03638301144397558,0.05881698855602443,-14.9512,-16.928220227468515,-12.974179772531485
jump,frozen,0.05,binary_gaussian,trailing_sharpe_252,5000,0.3696,0.3196,0.05,0.038546893920587716,0.06145310607941229,-15.4212,-17.512439549198287,-13.329960450801714
jump,frozen,0.15,binary_gaussian,binary_student_t,5000,0.5842,0.5716,0.0126,0.0020937895616809955,0.023106210438319005,-5.9434,-8.699730615296854,-3.187069384703144
jump,frozen,0.15,binary_gaussian,known_vol_rolling_252,5000,0.5842,0.5456,0.0386,0.02717342581102991,0.050026574188970094,-44.9412,-47.9171590242055,-41.9652409757945
jump,frozen,0.15,binary_gaussian,trailing_sharpe_252,5000,0.5842,0.5534,0.0308,0.01938885951643964,0.042211140483560367,-43.762,-46.74261863573892,-40.78138136426108
jump,recalibrated,0.05,binary_gaussian,binary_student_t,5000,0.3824,0.396,-0.0136,-0.024415218694096852,-0.0027847813059031466,5.0476,2.7762958625323075,7.318904137467692
jump,recalibrated,0.05,binary_gaussian,known_vol_rolling_252,5000,0.3824,0.3226,0.0598,0.04851165786758278,0.07108834213241721,-18.5354,-20.60129601243197,-16.46950398756803
jump,recalibrated,0.05,binary_gaussian,trailing_sharpe_252,5000,0.3824,0.3298,0.0526,0.04114913376867003,0.06405086623132998,-17.048,-19.187850814500454,-14.908149185499543
jump,recalibrated,0.15,binary_gaussian,binary_student_t,5000,0.5962,0.6138,-0.0176,-0.028195394314946574,-0.007004605685053426,7.537,4.624844712077837,10.449155287922164
