detector,day,years,n,brier,brier_base_rate,brier_skill_vs_base_rate,mean_predicted_q,observed_invalid_frac,scenario
binary_gaussian,252,1.0,10000,0.19869368259511358,0.25,0.20522526961954568,0.4987311299479182,0.5,gaussian
binary_gaussian,504,2.0,10000,0.16120500702466603,0.25,0.3551799719013359,0.49688240930447575,0.5,gaussian
binary_student_t,252,1.0,10000,0.20357098774385596,0.25,0.18571604902457617,0.4985410263577869,0.5,gaussian
binary_student_t,504,2.0,10000,0.16835953943518844,0.25,0.3265618422592462,0.4964247141635575,0.5,gaussian
binary_gaussian,252,1.0,10000,0.19978349240802504,0.25,0.20086603036789985,0.5018468889060044,0.5,student_t
binary_gaussian,504,2.0,10000,0.16197903529108976,0.25,0.352083858835641,0.5021036488211281,0.5,student_t
binary_student_t,252,1.0,10000,0.19002091617204642,0.25,0.23991633531181433,0.5011145012037376,0.5,student_t
binary_student_t,504,2.0,10000,0.14848174183821825,0.25,0.406073032647127,0.5002465209410338,0.5,student_t
binary_gaussian,252,1.0,10000,0.1931990475977915,0.25,0.22720380960883402,0.5007672212454483,0.5,stoch_vol
binary_gaussian,504,2.0,10000,0.15904193751778856,0.25,0.3638322499288458,0.49917290146656634,0.5,stoch_vol
binary_student_t,252,1.0,10000,0.179045272113232,0.25,0.28381891154707195,0.4999610024580103,0.5,stoch_vol
binary_student_t,504,2.0,10000,0.13690553530553343,0.25,0.4523778587778663,0.49954797042363464,0.5,stoch_vol
gaussian_oracle_vol,252,1.0,10000,0.14965464099836287,0.25,0.4013814360065485,0.49895894335549984,0.5,stoch_vol
gaussian_oracle_vol,504,2.0,10000,0.0960491573251597,0.25,0.6158033706993612,0.499340520227154,0.5,stoch_vol
binary_gaussian,252,1.0,10000,0.1985212604186419,0.25,0.20591495832543238,0.5029271889156869,0.5,jump
binary_gaussian,504,2.0,10000,0.16454448333709384,0.25,0.3418220666516246,0.5027524465734989,0.5,jump
binary_student_t,252,1.0,10000,0.196816834579325,0.25,0.2127326616827,0.5039571436379472,0.5,jump
binary_student_t,504,2.0,10000,0.16119990144732269,0.25,0.35520039421070926,0.5024100694440554,0.5,jump
