far_target,n_reps,far_a,far_a_lo,far_a_hi,det_a,det_a_lo,det_a_hi,far_b,far_b_lo,far_b_hi,det_b,det_b_lo,det_b_hi,far_diff,far_diff_lo,far_diff_hi,det_diff,det_diff_lo,det_diff_hi,det_diff_excludes_zero,includes_calibration_uncertainty,scenario,detector_a,detector_b
0.15,2000,0.1626,0.1462,0.1776,0.5596,0.54,0.5834,0.1576,0.1448,0.1742,0.5774,0.5558,0.6018,0.0050000000000000044,-0.00799999999999998,0.014399999999999996,-0.017800000000000038,-0.03479999999999994,-0.0015999999999999348,True,True,gaussian,binary_student_t,binary_gaussian
0.15,2000,0.1468,0.1328,0.16100999999999996,0.637,0.6183949999999999,0.6548,0.147,0.1302,0.16080499999999998,0.5952,0.571195,0.6166,-0.00019999999999997797,-0.012199999999999989,0.013399999999999995,0.04180000000000006,0.025794999999999943,0.06140000000000001,True,True,student_t,binary_student_t,binary_gaussian
0.15,2000,0.137,0.1266,0.1528,0.6714,0.652395,0.6916,0.1516,0.1372,0.1658,0.5784,0.554195,0.6006,-0.014600000000000002,-0.024404999999999996,-0.0003950000000000386,0.09299999999999997,0.07519999999999993,0.11220500000000005,True,True,stoch_vol,binary_student_t,binary_gaussian
0.15,2000,0.1388,0.1278,0.1524,0.608,0.5876,0.6264,0.1472,0.1338,0.1626,0.5944,0.571,0.6144,-0.00839999999999999,-0.02000499999999998,0.0030000000000000027,0.013599999999999945,-0.0026050000000000344,0.031404999999999954,False,True,jump,binary_student_t,binary_gaussian
0.15,2000,0.1504,0.1338,0.1656,0.7348,0.717,0.7508,0.1516,0.1374,0.16540499999999997,0.5784,0.555,0.6008,-0.0012000000000000066,-0.01840499999999999,0.015004999999999985,0.15639999999999998,0.13339499999999999,0.17779999999999996,True,True,stoch_vol,ewma_gaussian,binary_gaussian
0.15,2000,0.1444,0.1312,0.15760499999999997,0.7396,0.7228,0.7552049999999999,0.137,0.126395,0.1526,0.6714,0.653795,0.6914049999999999,0.00739999999999999,-0.008000000000000007,0.01900499999999999,0.06820000000000004,0.049800000000000066,0.08399999999999996,True,True,stoch_vol,ewma_student_t,binary_student_t
0.15,2000,0.1504,0.1338,0.1656,0.7348,0.7168,0.75,0.1444,0.131,0.1576,0.7396,0.723,0.7552,0.006000000000000005,-0.005599999999999994,0.018199999999999994,-0.0048000000000000265,-0.01759999999999995,0.006800000000000028,False,True,stoch_vol,ewma_gaussian,ewma_student_t
0.15,2000,0.1504,0.1342,0.16560499999999997,0.7348,0.71719,0.7502,0.1474,0.1286,0.1656,0.7856,0.769195,0.8006,0.0030000000000000027,-0.01319999999999999,0.020600000000000007,-0.050799999999999956,-0.06540000000000001,-0.036799999999999944,True,True,stoch_vol,ewma_gaussian,gaussian_oracle_vol
0.15,2000,0.1444,0.1306,0.1586,0.7396,0.7232,0.755,0.1474,0.130195,0.1656,0.7856,0.7682,0.8004,-0.0030000000000000027,-0.01840499999999999,0.012399999999999994,-0.04599999999999993,-0.059799999999999964,-0.031200000000000006,True,True,stoch_vol,ewma_student_t,gaussian_oracle_vol
0.05,2000,0.0466,0.0396,0.0564,0.5238,0.5046,0.5554,0.0494,0.042,0.0572,0.318,0.2904,0.34180499999999997,-0.002799999999999997,-0.0114,0.008400000000000005,0.20580000000000004,0.18059500000000003,0.24240500000000004,True,True,stoch_vol,ewma_gaussian,binary_gaussian
0.05,2000,0.0474,0.0386,0.056,0.54,0.5146,0.5674,0.0516,0.0426,0.0592,0.4578,0.4298,0.48660999999999993,-0.004200000000000002,-0.0138,0.005400000000000002,0.08220000000000005,0.052000000000000046,0.11000999999999993,True,True,stoch_vol,ewma_student_t,binary_student_t
0.05,2000,0.0466,0.03999500000000001,0.0564,0.5238,0.5043949999999999,0.5548049999999999,0.0474,0.0386,0.0562,0.54,0.5152,0.5686049999999999,-0.0007999999999999952,-0.006400000000000003,0.008,-0.016199999999999992,-0.03359999999999996,0.008199999999999985,False,True,stoch_vol,ewma_gaussian,ewma_student_t
0.05,2000,0.0466,0.03959500000000001,0.0564,0.5238,0.5043949999999999,0.5566,0.0458,0.0384,0.056,0.6292,0.6088,0.6496049999999999,0.0008000000000000021,-0.008,0.009399999999999999,-0.10539999999999994,-0.12439999999999996,-0.07720000000000005,True,True,stoch_vol,ewma_gaussian,gaussian_oracle_vol
0.05,2000,0.0474,0.0384,0.056,0.54,0.515195,0.5704049999999999,0.0458,0.0384,0.0556,0.6292,0.6084,0.6502,0.0015999999999999973,-0.008600000000000003,0.009000000000000001,-0.08919999999999995,-0.11140500000000005,-0.06519500000000006,True,True,stoch_vol,ewma_student_t,gaussian_oracle_vol
