detector,day,years,n,brier,brier_base_rate,brier_skill_vs_base_rate,mean_predicted_q,observed_invalid_frac,scenario
binary_gaussian,126,0.5,10000,0.22415058615623776,0.25,0.10339765537504897,0.49892747899344014,0.5,gaussian
binary_gaussian,252,1.0,10000,0.19968794234590564,0.25,0.20124823061637742,0.4969790713165341,0.5,gaussian
binary_gaussian,504,2.0,10000,0.16456906752548023,0.25,0.3417237298980791,0.49821874179245296,0.5,gaussian
binary_student_t,126,0.5,10000,0.22696590478535358,0.25,0.09213638085858566,0.4981903830740637,0.5,gaussian
binary_student_t,252,1.0,10000,0.20442747371788456,0.25,0.18229010512846178,0.49642914957606127,0.5,gaussian
binary_student_t,504,2.0,10000,0.17298309811003593,0.25,0.3080676075598563,0.4970513933368172,0.5,gaussian
ewma_gaussian,126,0.5,10000,0.22595486209394125,0.25,0.096180551624235,0.49908839372438163,0.5,gaussian
ewma_gaussian,252,1.0,10000,0.20221866979461853,0.25,0.1911253208215259,0.49761754468264463,0.5,gaussian
ewma_gaussian,504,2.0,10000,0.16786318191100405,0.25,0.3285472723559838,0.4985373456659949,0.5,gaussian
ewma_student_t,126,0.5,10000,0.22843014617520485,0.25,0.0862794152991806,0.49841435629253017,0.5,gaussian
ewma_student_t,252,1.0,10000,0.2062214416598803,0.25,0.17511423336047882,0.497160203394807,0.5,gaussian
ewma_student_t,504,2.0,10000,0.17545097262890347,0.25,0.29819610948438613,0.49760297000696646,0.5,gaussian
binary_gaussian,126,0.5,10000,0.21905626852759325,0.25,0.12377492588962702,0.49773848826438555,0.5,student_t
binary_gaussian,252,1.0,10000,0.19664918397732495,0.25,0.2134032640907002,0.4977737519652287,0.5,student_t
binary_gaussian,504,2.0,10000,0.16079306341715918,0.25,0.35682774633136327,0.4994150157112488,0.5,student_t
binary_student_t,126,0.5,10000,0.21364061380774393,0.25,0.14543754476902426,0.4971967392482445,0.5,student_t
binary_student_t,252,1.0,10000,0.18764353278638257,0.25,0.2494258688544697,0.4980045546719325,0.5,student_t
binary_student_t,504,2.0,10000,0.1463479459843846,0.25,0.41460821606246157,0.5007224943036386,0.5,student_t
ewma_gaussian,126,0.5,10000,0.22213137934235833,0.25,0.1114744826305667,0.4983126771615574,0.5,student_t
ewma_gaussian,252,1.0,10000,0.20213365596359148,0.25,0.19146537614563408,0.49899167799953303,0.5,student_t
ewma_gaussian,504,2.0,10000,0.16905030398592816,0.25,0.32379878405628737,0.5014336583861886,0.5,student_t
ewma_student_t,126,0.5,10000,0.21547096590054143,0.25,0.13811613639783427,0.49802760229748244,0.5,student_t
ewma_student_t,252,1.0,10000,0.1904626066881669,0.25,0.23814957324733244,0.49926098062638974,0.5,student_t
ewma_student_t,504,2.0,10000,0.15089996227831,0.25,0.39640015088675995,0.5015585355460164,0.5,student_t
binary_gaussian,126,0.5,10000,0.22127815298603945,0.25,0.1148873880558422,0.5003651507942195,0.5,stoch_vol
binary_gaussian,252,1.0,10000,0.1951080150504971,0.25,0.2195679397980116,0.5010915298149543,0.5,stoch_vol
binary_gaussian,504,2.0,10000,0.15763348394100707,0.25,0.3694660642359717,0.49977471250208394,0.5,stoch_vol
binary_student_t,126,0.5,10000,0.2106427412697266,0.25,0.1574290349210936,0.49900761882409733,0.5,stoch_vol
binary_student_t,252,1.0,10000,0.17955225684113862,0.25,0.2817909726354455,0.5004976344992192,0.5,stoch_vol
binary_student_t,504,2.0,10000,0.1342721831441495,0.25,0.46291126742340205,0.4993720745564769,0.5,stoch_vol
ewma_gaussian,126,0.5,10000,0.20685258574339113,0.25,0.17258965702643547,0.49875815315293603,0.5,stoch_vol
ewma_gaussian,252,1.0,10000,0.17221504941529023,0.25,0.3111398023388391,0.501065693390592,0.5,stoch_vol
ewma_gaussian,504,2.0,10000,0.12059717912958404,0.25,0.5176112834816639,0.49793614683819853,0.5,stoch_vol
ewma_student_t,126,0.5,10000,0.2036488464397223,0.25,0.18540461424111077,0.4972071651350272,0.5,stoch_vol
ewma_student_t,252,1.0,10000,0.1676186165946046,0.25,0.32952553362158155,0.5001578010697046,0.5,stoch_vol
ewma_student_t,504,2.0,10000,0.11431569685365134,0.25,0.5427372125853946,0.49716682525396183,0.5,stoch_vol
gaussian_oracle_vol,126,0.5,10000,0.19060295988367065,0.25,0.2375881604653174,0.49736514450814573,0.5,stoch_vol
gaussian_oracle_vol,252,1.0,10000,0.14778121994680704,0.25,0.40887512021277184,0.4991446949287052,0.5,stoch_vol
gaussian_oracle_vol,504,2.0,10000,0.09299741482403184,0.25,0.6280103407038726,0.49731338849116435,0.5,stoch_vol
binary_gaussian,126,0.5,10000,0.22078830740927047,0.25,0.11684677036291813,0.4992257698393364,0.5,jump
binary_gaussian,252,1.0,10000,0.19721003078281252,0.25,0.21115987686874993,0.5007702558481949,0.5,jump
binary_gaussian,504,2.0,10000,0.1592466112688351,0.25,0.3630135549246596,0.5010758252034341,0.5,jump
binary_student_t,126,0.5,10000,0.21920812528212455,0.25,0.1231674988715018,0.49863384613983297,0.5,jump
binary_student_t,252,1.0,10000,0.19451805645869635,0.25,0.2219277741652146,0.4999857280219494,0.5,jump
binary_student_t,504,2.0,10000,0.15422504607431453,0.25,0.3830998157027419,0.4999377826092118,0.5,jump
ewma_gaussian,126,0.5,10000,0.2240620181601161,0.25,0.10375192735953565,0.4984868593631856,0.5,jump
ewma_gaussian,252,1.0,10000,0.20237742550759166,0.25,0.19049029796963335,0.5006540329713435,0.5,jump
ewma_gaussian,504,2.0,10000,0.16641205736828618,0.25,0.3343517705268553,0.5014115666006446,0.5,jump
ewma_student_t,126,0.5,10000,0.22156768371793892,0.25,0.11372926512824433,0.4977510590026279,0.5,jump
ewma_student_t,252,1.0,10000,0.19808535202473868,0.25,0.2076585919010453,0.4990785902990706,0.5,jump
ewma_student_t,504,2.0,10000,0.159781103854714,0.25,0.360875584581144,0.5000422629093718,0.5,jump
