scenario,method_a,method_b,far_target,n_reps,detect_diff,detect_diff_lo,detect_diff_hi,far_diff_lo,far_diff_hi,detect_excludes_zero,binding_scenario_shares
sv_rho098,ewma_gaussian,binary_gaussian,0.15,2000,0.1583,0.14239999999999997,0.17170249999999995,-0.0075050000000000065,0.012300000000000005,True,"{""sv_rho098"": 0.6045, ""sv_rho0"": 0.3935, ""student_t"": 0.002, ""gaussian"": 0.0, ""jump_k5"": 0.0}"
sv_rho098,ewma_student_t,binary_student_t,0.15,2000,0.17289999999999994,0.15790000000000004,0.18590250000000005,0.04639749999999998,0.06579999999999998,True,"{""sv_rho098"": 0.996, ""gaussian"": 0.004, ""student_t"": 0.0, ""jump_k5"": 0.0, ""sv_rho0"": 0.0}"
sv_rho098,ewma_gaussian,binary_student_t,0.15,2000,0.14369999999999994,0.12630000000000008,0.15339999999999998,0.036597500000000005,0.0561,True,"{""sv_rho098"": 0.6085, ""sv_rho0"": 0.387, ""student_t"": 0.0045, ""gaussian"": 0.0, ""jump_k5"": 0.0}"
sv_rho098,ewma_student_t,binary_gaussian,0.15,2000,0.1875,0.1733975,0.20399999999999996,0.0014000000000000117,0.022199999999999998,True,"{""sv_rho098"": 0.9925, ""gaussian"": 0.0075, ""student_t"": 0.0, ""jump_k5"": 0.0, ""sv_rho0"": 0.0}"
gaussian,ewma_gaussian,binary_gaussian,0.15,2000,-0.08020000000000005,-0.09670250000000001,-0.07040000000000007,-0.04240000000000001,-0.028497500000000012,True,"{""sv_rho098"": 0.6, ""sv_rho0"": 0.3955, ""student_t"": 0.0045, ""gaussian"": 0.0, ""jump_k5"": 0.0}"
jump_k5,ewma_gaussian,binary_gaussian,0.15,2000,-0.02190000000000003,-0.03759999999999997,-0.012897499999999928,-0.011102500000000012,0.0032024999999999944,True,"{""sv_rho098"": 0.6165, ""sv_rho0"": 0.3795, ""student_t"": 0.004, ""gaussian"": 0.0, ""jump_k5"": 0.0}"
sv_rho098,ewma_gaussian,binary_gaussian,0.05,2000,0.22899999999999998,0.20689999999999997,0.253005,-0.0076999999999999985,0.007502499999999993,True,"{""sv_rho098"": 0.9965, ""sv_rho0"": 0.0035, ""gaussian"": 0.0, ""student_t"": 0.0, ""jump_k5"": 0.0}"
sv_rho098,ewma_student_t,binary_student_t,0.05,2000,0.20929999999999993,0.18029750000000003,0.23459999999999998,0.014700000000000005,0.028499999999999998,True,"{""sv_rho098"": 1.0, ""gaussian"": 0.0, ""student_t"": 0.0, ""jump_k5"": 0.0, ""sv_rho0"": 0.0}"
sv_rho098,ewma_gaussian,binary_student_t,0.05,2000,0.18369999999999997,0.15959750000000003,0.21020249999999993,0.0137,0.02810249999999999,True,"{""sv_rho098"": 0.9955, ""sv_rho0"": 0.0045, ""gaussian"": 0.0, ""student_t"": 0.0, ""jump_k5"": 0.0}"
sv_rho098,ewma_student_t,binary_gaussian,0.05,2000,0.25459999999999994,0.22819750000000003,0.2780025,-0.0067000000000000046,0.009000000000000001,True,"{""sv_rho098"": 1.0, ""gaussian"": 0.0, ""student_t"": 0.0, ""jump_k5"": 0.0, ""sv_rho0"": 0.0}"
gaussian,ewma_gaussian,binary_gaussian,0.05,2000,-0.07099999999999998,-0.09510500000000002,-0.048699999999999966,-0.0171,-0.007199999999999998,True,"{""sv_rho098"": 0.9975, ""sv_rho0"": 0.0025, ""gaussian"": 0.0, ""student_t"": 0.0, ""jump_k5"": 0.0}"
jump_k5,ewma_gaussian,binary_gaussian,0.05,2000,-0.01539999999999997,-0.037002500000000035,0.010002499999999996,-0.003099999999999995,0.008400000000000001,False,"{""sv_rho098"": 0.995, ""sv_rho0"": 0.005, ""gaussian"": 0.0, ""student_t"": 0.0, ""jump_k5"": 0.0}"
