method,scenario,true_state,day,n_paths,mean_q,median_q,q10,q25,q75,q90
binary_gaussian,gaussian,valid,63,10000,0.4693917652033523,0.4677661047146807,0.3153598762457033,0.38413535429300794,0.554131121999005,0.6252720082054601
binary_gaussian,gaussian,valid,126,10000,0.44282681773327576,0.43669602751917896,0.23969185134981047,0.3230545192097914,0.556789129787032,0.6588269841541279
binary_gaussian,gaussian,valid,252,10000,0.39715147191977473,0.37529458584691155,0.1444751538979815,0.2393008995404169,0.5421173340112988,0.6838354075103603
binary_gaussian,gaussian,valid,504,10000,0.32889308592844035,0.2706793836687621,0.057151730618643815,0.1252466493237166,0.4965090440642873,0.6973541396322148
binary_gaussian,gaussian,invalid,63,10000,0.5290660641932795,0.5308374800960819,0.3735636670448867,0.4480920162119211,0.6109025360046076,0.681204270253361
binary_gaussian,gaussian,invalid,126,10000,0.5545065862040035,0.5606977932700773,0.3372220482738859,0.4436090661834151,0.6725794416468781,0.7586198432268515
binary_gaussian,gaussian,invalid,252,10000,0.6034843323180962,0.6246332731930586,0.3192348361192527,0.45836798231407466,0.7639051572859523,0.8549718324375414
binary_gaussian,gaussian,invalid,504,10000,0.6760697358390276,0.7301804035750148,0.3112668943058061,0.5153166225304857,0.8754334228233783,0.9422734346592174
binary_student_t,gaussian,valid,63,10000,0.4655426756454335,0.4618314355055279,0.28357668610059655,0.3650458063335254,0.5639945560917692,0.6520088703197825
binary_student_t,gaussian,valid,126,10000,0.4371165624925702,0.42808388640246614,0.19873621176424305,0.29495241047268356,0.5699760121042834,0.6880984451812686
binary_student_t,gaussian,valid,252,10000,0.3894982834975679,0.359037397161161,0.10861937717632981,0.1996591044970597,0.5569795212311353,0.7243037573818069
binary_student_t,gaussian,valid,504,10000,0.32133437755839284,0.24729421612306063,0.03550432952460538,0.09297932158131328,0.5083435523304891,0.7449266012163908
binary_student_t,gaussian,invalid,63,10000,0.5331077177930525,0.535916074320695,0.35052586122280305,0.43869011202195723,0.6309276650540696,0.7130516798602384
binary_student_t,gaussian,invalid,126,10000,0.5600353364243014,0.570961930218338,0.3054439770898733,0.4270004668781497,0.7006958280913989,0.7963301411753337
binary_student_t,gaussian,invalid,252,10000,0.6112112708119355,0.6390205886376492,0.27852022887570116,0.4462034680108327,0.7997443483789413,0.8920291681098491
binary_student_t,gaussian,invalid,504,10000,0.6842667874981972,0.7607630582823797,0.2671932870111047,0.5070809691302338,0.9066291161975188,0.9653741887906981
ewma_gaussian,gaussian,valid,63,10000,0.46798003086464157,0.46479265506295153,0.3043191769686977,0.3751114792160014,0.5583156142245418,0.6354303816607808
ewma_gaussian,gaussian,valid,126,10000,0.44080114521343605,0.43367198678259583,0.22341169241405565,0.30972482822531644,0.5625867613288672,0.6714391795138962
ewma_gaussian,gaussian,valid,252,10000,0.39431562839507295,0.3657325227978595,0.12810143606102545,0.22257070096055317,0.549881003029631,0.7037506689843095
ewma_gaussian,gaussian,valid,504,10000,0.3255887393809562,0.25891743801865985,0.04671946307090085,0.11192996000174671,0.5080816913953179,0.7172803797931331
ewma_gaussian,gaussian,invalid,63,10000,0.5299616656623165,0.5325699166566203,0.36329656076933664,0.44316972775838115,0.6186642334242204,0.6950613935647607
ewma_gaussian,gaussian,invalid,126,10000,0.5561117871281673,0.5643031733060268,0.32224929891551246,0.43653038170426767,0.6832493031755342,0.7757412222930338
ewma_gaussian,gaussian,invalid,252,10000,0.6060869303429146,0.6289214283583071,0.298895092899233,0.4506767605635805,0.7817823634869423,0.8719530374735113
ewma_gaussian,gaussian,invalid,504,10000,0.6789570096516447,0.7415442382426911,0.2818788908498023,0.5101821662526824,0.8936424811762993,0.9550342111431175
ewma_student_t,gaussian,valid,63,10000,0.4648269062319937,0.4619059232000035,0.27888993347149754,0.36072149418382243,0.5658765727587438,0.6564538980571741
ewma_student_t,gaussian,valid,126,10000,0.43650146071640883,0.42520927241239903,0.19302560198330318,0.2900007157284929,0.5727354166827603,0.6959946913096331
ewma_student_t,gaussian,valid,252,10000,0.38906348624629034,0.3574215322440115,0.10216978133279082,0.19372081724134807,0.562564077710186,0.731420699292975
ewma_student_t,gaussian,valid,504,10000,0.3213939825063335,0.24227125973742247,0.03208034193006919,0.08785818596627917,0.5147716408073794,0.7544013190307216
ewma_student_t,gaussian,invalid,63,10000,0.5334714306371651,0.5368853854768136,0.34406852295117146,0.4355863686766685,0.634737331897557,0.718394003967544
ewma_student_t,gaussian,invalid,126,10000,0.5604071168096851,0.5717674363381215,0.29708814745487966,0.42248851474537785,0.7069515049179869,0.8051613353552318
ewma_student_t,gaussian,invalid,252,10000,0.6116784626981001,0.6415004280120996,0.27022305998526924,0.4423176914846989,0.8084115218137391,0.8978998038370954
ewma_student_t,gaussian,invalid,504,10000,0.6845270773664217,0.7664949804723475,0.2525770996283194,0.5035561169207403,0.9138379602874199,0.9695900247139643
binary_gaussian,student_t,valid,63,10000,0.4708058986286682,0.46815213837304936,0.31895274846526733,0.38848503154973657,0.5525234386732061,0.6266740901400184
binary_gaussian,student_t,valid,126,10000,0.4435932325291764,0.4370299342058098,0.236208542192089,0.32451721209746215,0.5563333792216971,0.6611362284058476
binary_gaussian,student_t,valid,252,10000,0.3951753095092641,0.37351002780020437,0.1423528611128635,0.23315177920800498,0.5366926373771611,0.6828546658856965
binary_gaussian,student_t,valid,504,10000,0.32117081870303926,0.26326366535041157,0.05518357773418221,0.11845450760128573,0.4865846364460954,0.6898258255658768
binary_gaussian,student_t,invalid,63,10000,0.5288641253109783,0.5308824148669757,0.3753742138604429,0.4472012275795223,0.6105212393002407,0.6802643926861213
binary_gaussian,student_t,invalid,126,10000,0.5542048039485392,0.560435942310509,0.33985580428958395,0.4424949108138462,0.671856855613525,0.7578058986916631
binary_gaussian,student_t,invalid,252,10000,0.5983032068820204,0.6174619113706235,0.31056652678164354,0.45209994829182754,0.7605384363820638,0.8522743494980829
binary_gaussian,student_t,invalid,504,10000,0.671667780562394,0.728233871820289,0.30420066866381495,0.5052044872446011,0.8731318011549387,0.9413256700172855
binary_student_t,student_t,valid,63,10000,0.46370666187049453,0.46006074445401396,0.2944398250288091,0.3688744657395902,0.555703509335451,0.6349081607372185
binary_student_t,student_t,valid,126,10000,0.4305622518718582,0.42157461645328914,0.20856497220585177,0.2962367620986205,0.5535748924210728,0.6688110492805049
binary_student_t,student_t,valid,252,10000,0.375694515063085,0.3472016428799948,0.11242404990631556,0.19831238207013818,0.5303116259465748,0.6904290876087742
binary_student_t,student_t,valid,504,10000,0.2911144413372811,0.21615738040507676,0.03566691569054164,0.08603113585452711,0.4497001482624178,0.6842347349290406
binary_student_t,student_t,invalid,63,10000,0.5359105707220068,0.5395494625140107,0.3626327112696045,0.4439560611356467,0.6290873329844832,0.70427253154225
binary_student_t,student_t,invalid,126,10000,0.5662132174306986,0.5738878235389488,0.33077265378261517,0.4456136597884971,0.6983900904815452,0.7867545416189219
binary_student_t,student_t,invalid,252,10000,0.6185936762803791,0.6461592514797548,0.30497804577944926,0.46560310801375326,0.7943100580727022,0.8839895237945189
binary_student_t,student_t,invalid,504,10000,0.7004078053084911,0.7720309981284947,0.3113646477353413,0.5370049572788484,0.9065939340458304,0.9619923207833644
ewma_gaussian,student_t,valid,63,10000,0.4674271059365989,0.4628583859462597,0.2917405488643538,0.3691413214743612,0.5648789374027005,0.6505963335668811
ewma_gaussian,student_t,valid,126,10000,0.4380243550534251,0.42663491038261525,0.20207692879882067,0.29677812950774746,0.5714428386932957,0.6925541821977738
ewma_gaussian,student_t,valid,252,10000,0.3883915110335158,0.3589761114625879,0.1078789958926435,0.19914129205876108,0.5534212186623783,0.7202998325515628
ewma_gaussian,student_t,valid,504,10000,0.3150299154990325,0.23904274953250015,0.03308261078927317,0.08721416616417157,0.49759982818776705,0.7301936689831215
ewma_gaussian,student_t,invalid,63,10000,0.5316211369133682,0.535468750561569,0.3515858993084808,0.4344229516091918,0.6299804541495531,0.7082686265101977
ewma_gaussian,student_t,invalid,126,10000,0.5587866144480603,0.56770547334716,0.3051069095686101,0.42986915422999317,0.6990005589173967,0.793473876453069
ewma_gaussian,student_t,invalid,252,10000,0.6049857882038225,0.6296291344040952,0.2697737992113771,0.43466817575507005,0.7991267639225322,0.888596139084105
ewma_gaussian,student_t,invalid,504,10000,0.6784446229648274,0.753634358738977,0.2547217195932778,0.49317344296673493,0.9067986881608112,0.9642800289028928
ewma_student_t,student_t,valid,63,10000,0.4616476351175249,0.45814937524312177,0.28294299971069703,0.35954421264494874,0.559608907403715,0.6460618798182209
ewma_student_t,student_t,valid,126,10000,0.42706734799693,0.41488741659019845,0.19089196336937422,0.2824796236632712,0.5594082591760376,0.6836826348378208
ewma_student_t,student_t,valid,252,10000,0.37155852882071294,0.33644483142321524,0.09726527714064216,0.17936983612245055,0.5370752593096314,0.7117857190609589
ewma_student_t,student_t,valid,504,10000,0.2877441607985595,0.20107084360591054,0.02651680070704044,0.07157656329492178,0.4584191118660824,0.7079557922583961
ewma_student_t,student_t,invalid,63,10000,0.537816021891713,0.54280374167749,0.35124814971686136,0.438419819718226,0.6388078630169197,0.7188467596569471
ewma_student_t,student_t,invalid,126,10000,0.5691510549245863,0.5787258472977805,0.31509603858157875,0.4377237874657166,0.7111255707676183,0.8072632010968064
ewma_student_t,student_t,invalid,252,10000,0.6231389365626426,0.655759942914355,0.2864743487881111,0.4605096270739036,0.812665075930118,0.9032296546573786
ewma_student_t,student_t,invalid,504,10000,0.7046560914377171,0.7892488354454297,0.2849163672204743,0.5346299897633562,0.9213271445805098,0.9716044998386479
binary_gaussian,sv_rho098,valid,63,10000,0.471601503069504,0.4704785412322736,0.3316564943768151,0.4017360643434626,0.538240835868093,0.614107622271471
binary_gaussian,sv_rho098,valid,126,10000,0.4457276189243236,0.43919201320433293,0.2516413695161895,0.3451321997489591,0.5423404166108843,0.6410112327213771
binary_gaussian,sv_rho098,valid,252,10000,0.39919664549913814,0.37750402905117275,0.15745539625232,0.2494775741016307,0.5313818136242924,0.6767830021172163
binary_gaussian,sv_rho098,valid,504,10000,0.32431122248071864,0.2689639397943313,0.06180085738804885,0.13252330356199876,0.4773155673874862,0.6835744914782705
binary_gaussian,sv_rho098,invalid,63,10000,0.529824721903677,0.5300162077661309,0.38888847056592446,0.46446169390545056,0.5980905905728119,0.6728725346489892
binary_gaussian,sv_rho098,invalid,126,10000,0.5560693376345323,0.5625835274849144,0.35753897615520147,0.4619084217354206,0.6582076847312583,0.7443315191947212
binary_gaussian,sv_rho098,invalid,252,10000,0.6038707706571784,0.6221729540303724,0.3364709404915951,0.4730969165871903,0.7506165309859828,0.8496377741890806
binary_gaussian,sv_rho098,invalid,504,10000,0.6759954364384666,0.7292444156616947,0.3176061899029788,0.5233951449234302,0.869902031034165,0.9401712998248155
binary_student_t,sv_rho098,valid,63,10000,0.46389361671753376,0.4610735377295647,0.301418441973991,0.3747316743902458,0.5496998649577766,0.6306422999495234
binary_student_t,sv_rho098,valid,126,10000,0.43110024491909005,0.4212170933304059,0.21787225325673815,0.3066912840442081,0.546891060571473,0.6609778163407398
binary_student_t,sv_rho098,valid,252,10000,0.3739004978641388,0.3427378910180355,0.12141317736445101,0.20477520551240946,0.5200652021654466,0.678905377429895
binary_student_t,sv_rho098,valid,504,10000,0.28602103121866707,0.21260085705125203,0.038147094157898596,0.0891937311938138,0.43420904365549423,0.6674693334981034
binary_student_t,sv_rho098,invalid,63,10000,0.5387576673684489,0.5405906678236272,0.3731961693462604,0.45375936318295396,0.6281345478007334,0.7026421374657208
binary_student_t,sv_rho098,invalid,126,10000,0.5720032197603853,0.5852304063123399,0.34419950112387365,0.4550602350600258,0.698504897370452,0.7823110537427559
binary_student_t,sv_rho098,invalid,252,10000,0.6306473409497174,0.6617766560001616,0.32674782924046797,0.4881114309153124,0.7980951540727911,0.8824748176781658
binary_student_t,sv_rho098,invalid,504,10000,0.716862144454848,0.7890356255677233,0.34246248152876624,0.5717134607473704,0.9123916734634504,0.9620860128560579
ewma_gaussian,sv_rho098,valid,63,10000,0.45484433703983906,0.4540608255006583,0.263279845791355,0.35411661419888324,0.5568076648426252,0.6459921940506266
ewma_gaussian,sv_rho098,valid,126,10000,0.4096293500631344,0.4020369163695269,0.14295656528858783,0.25391047747765944,0.5548787217367213,0.6870574445856223
ewma_gaussian,sv_rho098,valid,252,10000,0.3364037028884079,0.28961381427160826,0.044421738581147084,0.1273010391147687,0.5112570045206772,0.7094073845020192
ewma_gaussian,sv_rho098,valid,504,10000,0.2375636388513738,0.126483324594246,0.005100998918819156,0.027097647370529873,0.38071723049831446,0.6773366119945662
ewma_gaussian,sv_rho098,invalid,63,10000,0.5455608246825013,0.5456717772164367,0.3591436535247037,0.4471227897689068,0.6459115453750279,0.7337871006152858
ewma_gaussian,sv_rho098,invalid,126,10000,0.5915212940531017,0.6009625778994749,0.3183721853132998,0.4466604684014843,0.7435087080610924,0.8566869680925988
