scenario,method,arm,far_target,threshold,first_eligible_day,far_d504,far_alarms,far_lo,far_hi,trunc_mean_valid_days,far_d63,detect_d63,detect_d63_lo,detect_d63_hi,far_d126,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,detect_d252,detect_d252_lo,detect_d252_hi,detect_d504,detect_d504_lo,detect_d504_hi,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid,covered_by_guarantee
gaussian,binary_gaussian,A_nominal,0.05,-1.9650036460877658,1,0.0489,489,0.044843646588557176,0.053302796741467234,495.0582,0.0,0.0002,5.484892732085772e-05,0.0007289958440074673,0.0017,0.0122,0.010227982913488937,0.014546645896943149,0.0142,0.1122,0.1061624213215819,0.11853540781471483,0.3654,0.3560153042358406,0.3748880681255454,435.1871,1.117025238702058,,not reached within 504d,0.6346,10000,10000,True
gaussian,binary_student_t,A_nominal,0.05,-2.426191689442586,1,0.0478,478,0.043789399861243195,0.05215788826519671,495.6793,0.0,0.0,0.0,0.00038399837067659573,0.0012,0.0102,0.008410152377830622,0.01236601242608417,0.0127,0.1012,0.09544116846787132,0.10726510863258032,0.3392,0.3299841126639923,0.3485393812120172,441.2809,1.072517603081596,,not reached within 504d,0.6608,10000,10000,True
gaussian,trailing_sharpe_252,A_nominal,0.05,-1.5447748331616307,252,0.0458,458,0.0418741615064729,0.050074662613449714,497.339,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0046,0.0601,0.05560846700111595,0.0649293747654053,0.2942,0.28534918312796353,0.3032088706014069,454.7828,0.8801711950235902,,not reached within 504d,0.7058,10000,10000,True
gaussian,known_vol_rolling_252,A_nominal,0.05,-1.5267242209878595,252,0.047,470,0.04302305617019257,0.051324846353640416,497.2048,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0046,0.0614,0.05686117117938984,0.06627567219136767,0.2981,0.28921357681500093,0.3071414817270781,453.9179,0.8859395266289254,,not reached within 504d,0.7019,10000,10000,True
gaussian,ewma_gaussian,A_nominal,0.05,-2.1721094419119735,1,0.0496,496,0.04551483891184551,0.054031066820459946,495.0383,0.0,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0007,0.0094,0.007688088248246492,0.011488690953061383,0.0148,0.1027,0.09690195201038845,0.10880317309495116,0.3534,0.344088795152418,0.3628237931698643,438.8633,1.0838120621997234,,not reached within 504d,0.6466000000000001,10000,10000,True
gaussian,ewma_student_t,A_nominal,0.05,-2.511343437703942,1,0.051,510,0.046857920608897666,0.055486909927969896,494.8312,0.0,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0012,0.0096,0.007868298014665221,0.011708327587294383,0.0152,0.1016,0.09583067183565595,0.10767529806609914,0.3396,0.3303813015928109,0.348941885084502,441.1935,1.0740513043590794,,not reached within 504d,0.6604,10000,10000,True
gaussian,binary_gaussian,A_nominal,0.15,-1.3318853378912872,1,0.1491,1491,0.14225364780278335,0.15621584225375748,466.7482,0.0019,0.0118,0.009863119376493548,0.014111816632635079,0.024,0.0996,0.09388344184756302,0.10562406404767478,0.0807,0.3068,0.29783693883407614,0.31591143813635325,0.5798,0.5700969624652308,0.5894417513948091,358.372,1.5404684891021274,406,,0.4202,10000,10000,True
gaussian,binary_student_t,A_nominal,0.15,-1.650836740134938,1,0.1471,1471,0.140293221622136,0.15417780442788756,467.9606,0.0017,0.0099,0.00813900122178111,0.01203739398115609,0.0225,0.0871,0.08173060321353506,0.09278650264096966,0.0765,0.2887,0.27990073706478097,0.2976615406466669,0.5538,0.5440382650115517,0.5635204167637634,367.2638,1.516131817001626,436,,0.44620000000000004,10000,10000,True
gaussian,trailing_sharpe_252,A_nominal,0.15,-0.9491128807266611,252,0.1566,1566,0.14960904775000275,0.1638546823309779,479.5296,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0269,0.1721,0.16482803820119518,0.17962378793029454,0.5558,0.5460418168036314,0.5655153289782011,402.1774,1.0796753321282657,450,,0.44420000000000004,10000,10000,True
gaussian,known_vol_rolling_252,A_nominal,0.15,-0.947740521383673,252,0.158,1580,0.15098270141124923,0.16527995347429356,479.1834,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0267,0.1716,0.16433674840595952,0.17911546172390086,0.5549,0.5451401987496671,0.5646176382292325,402.3168,1.079685896888347,451,,0.44510000000000005,10000,10000,True
gaussian,ewma_gaussian,A_nominal,0.15,-1.4696553250480537,1,0.148,1480,0.1411753593269673,0.155094975525989,467.2445,0.0018,0.0084,0.006790405766700767,0.01038714143134846,0.0243,0.0922,0.08668518704574357,0.09802800202538026,0.0785,0.3018,0.29288051594435893,0.31087170100977723,0.5672,0.557465117940916,0.576883272678065,362.9118,1.5258168021644594,421,,0.43279999999999996,10000,10000,True
gaussian,ewma_student_t,A_nominal,0.15,-1.7458696219223926,1,0.1439,1439,0.137157459228976,0.15091602441061985,468.8508,0.0014,0.0077,0.006165744043271591,0.009612340752496585,0.0218,0.0798,0.07464874952428152,0.08527396270643509,0.0727,0.2752,0.26653408476117224,0.2840385609062839,0.542,0.53222054888145,0.5517471952554132,371.6912,1.4959627584647524,449,,0.45799999999999996,10000,10000,True
gaussian,binary_gaussian,B_buffered,0.05,-2.047085763294985,1,0.0422,422,0.03843221799684181,0.046319370911349675,496.6653,0.0,0.0,0.0,0.00038399837067659573,0.0009,0.0091,0.0074181785377802605,0.01115883106255002,0.0107,0.097,0.09135313525265308,0.10295636743411225,0.3423,0.3330625194962284,0.3516585935898829,441.9112,1.0602510102218567,,not reached within 504d,0.6577,10000,10000,True
gaussian,binary_student_t,B_buffered,0.05,-2.52088337439814,1,0.0408,408,0.03709573835131741,0.04485692575231197,497.1357,0.0,0.0,0.0,0.00038399837067659573,0.0006,0.0068,0.005367876155841787,0.008610899836993606,0.0098,0.0851,0.07978915415679394,0.09072948769119349,0.3149,0.3058689855505901,0.32407317064623425,448.1307,1.009809939227346,,not reached within 504d,0.6851,10000,10000,True
gaussian,trailing_sharpe_252,B_buffered,0.05,-1.6112741416431058,252,0.0389,389,0.03528393401149463,0.042870189285943314,498.3613,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0036,0.0522,0.04800985071545024,0.05673405822532771,0.2665,0.2579253011462836,0.2752540260928223,459.5031,0.8483171713700743,,not reached within 504d,0.7335,10000,10000,True
gaussian,known_vol_rolling_252,B_buffered,0.05,-1.5906287334816667,252,0.0398,398,0.03614186338857826,0.04381156871179247,498.2946,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0038,0.0547,0.05041173530937794,0.05933025363954662,0.2713,0.2626744529178376,0.2801011879369098,458.5985,0.8545053233946358,,not reached within 504d,0.7287,10000,10000,True
gaussian,ewma_gaussian,B_buffered,0.05,-2.258795341805713,1,0.0429,429,0.03910090304217032,0.04705014826830221,496.7675,0.0,0.0,0.0,0.00038399837067659573,0.0004,0.0061,0.00475210315987151,0.00782721043068283,0.0108,0.0879,0.0825074287038378,0.09360906275327387,0.3314,0.3222404122370592,0.34068907201353277,445.0335,1.0298967067126925,,not reached within 504d,0.6686000000000001,10000,10000,True
gaussian,ewma_student_t,B_buffered,0.05,-2.6258183032086237,1,0.0431,431,0.039292009027508144,0.047258888683616114,496.71,0.0,0.0,0.0,0.00038399837067659573,0.0005,0.0066,0.005191478817931518,0.008387450774252148,0.0109,0.0837,0.07843067397639374,0.0892890430670316,0.3139,0.30487719998877627,0.3230657242047895,448.5386,1.0067437331806093,,not reached within 504d,0.6860999999999999,10000,10000,True
gaussian,binary_gaussian,B_buffered,0.15,-1.3779076567104898,1,0.1365,1365,0.12991050416292352,0.1433686626525584,470.5333,0.0012,0.0087,0.007059092062941591,0.010718224736085231,0.0205,0.0887,0.08328439209000255,0.09443148496971601,0.073,0.2896,0.2807921927539218,0.2985693937604588,0.5644,0.5546589118899705,0.5740916291198863,364.9721,1.5142270174927706,423,,0.4356,10000,10000,True
gaussian,binary_student_t,B_buffered,0.15,-1.7093797208677137,1,0.137,1370,0.13039995958322761,0.1438788232338836,471.3358,0.0013,0.0073,0.005810351168746254,0.009168040825718465,0.0187,0.0761,0.0710642235407037,0.08146133027795592,0.0681,0.2674,0.2588156683457719,0.27616296769626686,0.536,0.5262136573514795,0.5457586947658317,374.7883,1.4836335751018566,460,,0.46399999999999997,10000,10000,True
gaussian,trailing_sharpe_252,B_buffered,0.15,-0.9970626114557787,252,0.1436,1436,0.13686354043769397,0.1506101736009243,481.6774,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0235,0.1609,0.1538287533963665,0.16823167429862632,0.5352,0.5254128459594841,0.5449601205552203,406.7754,1.0725566433803513,471,,0.4648,10000,10000,True
gaussian,known_vol_rolling_252,B_buffered,0.15,-0.9947811515768025,252,0.1428,1428,0.1360798069996437,0.14979452143636765,481.8082,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0236,0.1599,0.1528472614979651,0.1672139341937691,0.5342,0.524411867241204,0.5439618672702417,407.0833,1.0709987954955857,471,,0.4658,10000,10000,True
gaussian,ewma_gaussian,B_buffered,0.15,-1.517503667064701,1,0.1382,1382,0.1315747751199206,0.14510308610110095,470.4169,0.0012,0.0066,0.005191478817931518,0.008387450774252148,0.0208,0.083,0.07775160249864888,0.0885686521424954,0.0707,0.2843,0.27554312501078404,0.29322253188632574,0.5526,0.5428362104941039,0.5623233928773009,369.5091,1.5009960595005116,443,,0.4474,10000,10000,True
gaussian,ewma_student_t,B_buffered,0.15,-1.7987261381869843,1,0.1348,1348,0.12824658273269673,0.14163388967724544,471.8597,0.0012,0.0066,0.005191478817931518,0.008387450774252148,0.0186,0.0721,0.06719310986155058,0.07733551594407445,0.0662,0.2567,0.2482331943345228,0.26535365927264837,0.5275,0.5177063267666122,0.5372725533230005,377.9975,1.4686471672342483,469,,0.47250000000000003,10000,10000,True
gaussian,binary_gaussian,C_unified,0.05,-2.2248819931017287,1,0.0301,301,0.02692738200873219,0.03363349966002967,499.2573,0.0,0.0,0.0,0.00038399837067659573,0.0002,0.0047,0.003536501767139378,0.006243887018852858,0.0066,0.0669,0.06216748096035557,0.0719651384283245,0.2905,0.28168369094587964,0.29947720437143377,455.4599,0.9356056086752038,,not reached within 504d,0.7095,10000,10000,True
gaussian,binary_student_t,C_unified,0.05,-2.52088337439814,1,0.0408,408,0.03709573835131741,0.04485692575231197,497.1357,0.0,0.0,0.0,0.00038399837067659573,0.0006,0.0068,0.005367876155841787,0.008610899836993606,0.0098,0.0851,0.07978915415679394,0.09072948769119349,0.3149,0.3058689855505901,0.32407317064623425,448.1307,1.009809939227346,,not reached within 504d,0.6851,10000,10000,True
gaussian,trailing_sharpe_252,C_unified,0.05,-1.6112741416431058,252,0.0389,389,0.03528393401149463,0.042870189285943314,498.3613,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0036,0.0522,0.04800985071545024,0.05673405822532771,0.2665,0.2579253011462836,0.2752540260928223,459.5031,0.8483171713700743,,not reached within 504d,0.7335,10000,10000,True
gaussian,known_vol_rolling_252,C_unified,0.05,-1.7610918106628506,252,0.0245,245,0.02164766048220529,0.02771752196830815,500.4609,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0023,0.0357,0.03223808066494071,0.039518500222069576,0.2071,0.19927088227377765,0.21515406397176468,469.8061,0.7605116094247392,,not reached within 504d,0.7928999999999999,10000,10000,True
gaussian,ewma_gaussian,C_unified,0.05,-2.7169291756618286,1,0.0173,173,0.014923598454330068,0.020047113572721115,501.6207,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0009,0.00047357706058500574,0.0017097301130243718,0.0025,0.034,0.03062309409181081,0.03773479238965977,0.2195,0.21149610833268326,0.22771931475326632,471.755,0.7487662402834805,,not reached within 504d,0.7805,10000,10000,True
