scenario,far_target,method,reference,n_paired_paths,detect_method,detect_reference,detect_diff,detect_diff_lo,detect_diff_hi,interval_covers,exploratory
gaussian,0.05,binary_student_t,binary_gaussian,10000,0.3149,0.2905,0.0244,0.018320500651928435,0.03047949934807157,"test sampling only, frozen unified threshold",
gaussian,0.05,trailing_sharpe_252,binary_gaussian,10000,0.2665,0.2905,-0.024,-0.03145916262964779,-0.01654083737035221,"test sampling only, frozen unified threshold",
gaussian,0.05,known_vol_rolling_252,binary_gaussian,10000,0.2071,0.2905,-0.0834,-0.090926343005998,-0.075873656994002,"test sampling only, frozen unified threshold",
gaussian,0.05,ewma_gaussian,binary_gaussian,10000,0.2195,0.2905,-0.071,-0.07686576182336372,-0.06513423817663627,"test sampling only, frozen unified threshold",
gaussian,0.05,ewma_student_t,binary_gaussian,10000,0.247,0.2905,-0.0435,-0.050030500347122656,-0.03696949965287734,"test sampling only, frozen unified threshold",
gaussian,0.15,binary_student_t,binary_gaussian,10000,0.536,0.5562,-0.0202,-0.026502504885350615,-0.013897495114649381,"test sampling only, frozen unified threshold",
gaussian,0.15,trailing_sharpe_252,binary_gaussian,10000,0.5237,0.5562,-0.0325,-0.04068648581933989,-0.024313514180660113,"test sampling only, frozen unified threshold",
gaussian,0.15,known_vol_rolling_252,binary_gaussian,10000,0.527,0.5562,-0.0292,-0.03738891661977504,-0.021011083380224962,"test sampling only, frozen unified threshold",
gaussian,0.15,ewma_gaussian,binary_gaussian,10000,0.476,0.5562,-0.0802,-0.08640346335888736,-0.07399653664111262,"test sampling only, frozen unified threshold",
gaussian,0.15,ewma_student_t,binary_gaussian,10000,0.5085,0.5562,-0.0477,-0.054652688558888406,-0.04074731144111159,"test sampling only, frozen unified threshold",
student_t,0.05,binary_student_t,binary_gaussian,10000,0.296,0.2791,0.0169,0.009975281297091042,0.023824718702908955,"test sampling only, frozen unified threshold",
student_t,0.05,trailing_sharpe_252,binary_gaussian,10000,0.2603,0.2791,-0.0188,-0.02619248910395239,-0.01140751089604761,"test sampling only, frozen unified threshold",
student_t,0.05,known_vol_rolling_252,binary_gaussian,10000,0.2048,0.2791,-0.0743,-0.08163858072066442,-0.06696141927933559,"test sampling only, frozen unified threshold",
student_t,0.05,ewma_gaussian,binary_gaussian,10000,0.2623,0.2791,-0.0168,-0.022964628977689874,-0.010635371022310124,"test sampling only, frozen unified threshold",
student_t,0.05,ewma_student_t,binary_gaussian,10000,0.2605,0.2791,-0.0186,-0.026131690651727515,-0.011068309348272482,"test sampling only, frozen unified threshold",
