method,scenario,far_target,rank_nominal,rank_buffered,threshold_nominal,threshold_buffered,n_calibration_paths
binary_gaussian,gaussian,0.05,501,433,-1.9650036460877658,-2.047085763294985,10000
binary_gaussian,gaussian,0.15,1501,1389,-1.3318853378912872,-1.3779076567104898,10000
binary_student_t,gaussian,0.05,501,433,-2.426191689442586,-2.52088337439814,10000
binary_student_t,gaussian,0.15,1501,1389,-1.650836740134938,-1.7093797208677137,10000
trailing_sharpe_252,gaussian,0.05,501,433,-1.5447748331616307,-1.6112741416431058,10000
trailing_sharpe_252,gaussian,0.15,1501,1389,-0.9491128807266611,-0.9970626114557787,10000
known_vol_rolling_252,gaussian,0.05,501,433,-1.5267242209878595,-1.5906287334816667,10000
known_vol_rolling_252,gaussian,0.15,1501,1389,-0.947740521383673,-0.9947811515768025,10000
ewma_gaussian,gaussian,0.05,501,433,-2.1721094419119735,-2.258795341805713,10000
ewma_gaussian,gaussian,0.15,1501,1389,-1.4696553250480537,-1.517503667064701,10000
ewma_student_t,gaussian,0.05,501,433,-2.511343437703942,-2.6258183032086237,10000
ewma_student_t,gaussian,0.15,1501,1389,-1.7458696219223926,-1.7987261381869843,10000
binary_gaussian,student_t,0.05,501,433,-1.9594687303098253,-2.034418969167505,10000
binary_gaussian,student_t,0.15,1501,1389,-1.3208228951111656,-1.3697195897517565,10000
binary_student_t,student_t,0.05,501,433,-2.1050610643793775,-2.1834067456124195,10000
binary_student_t,student_t,0.15,1501,1389,-1.4151135421566172,-1.4649085466561163,10000
trailing_sharpe_252,student_t,0.05,501,433,-1.516597301708207,-1.5730950048918757,10000
trailing_sharpe_252,student_t,0.15,1501,1389,-0.9432549516002042,-0.9901425276017027,10000
known_vol_rolling_252,student_t,0.05,501,433,-1.5226352159015375,-1.579122845734352,10000
known_vol_rolling_252,student_t,0.15,1501,1389,-0.9391795333880735,-0.9872154583394673,10000
ewma_gaussian,student_t,0.05,501,433,-2.38530504469706,-2.4876994727971082,10000
ewma_gaussian,student_t,0.15,1501,1389,-1.6447370951507216,-1.6963261553668352,10000
ewma_student_t,student_t,0.05,501,433,-2.3235363156028384,-2.413249147981984,10000
ewma_student_t,student_t,0.15,1501,1389,-1.5887065102211628,-1.6532904930498513,10000
binary_gaussian,sv_rho098,0.05,501,433,-2.12891411493044,-2.2248819931017287,10000
binary_gaussian,sv_rho098,0.15,1501,1389,-1.346698128514831,-1.401444376765194,10000
binary_student_t,sv_rho098,0.05,501,433,-2.0676667475867374,-2.1564949333991574,10000
binary_student_t,sv_rho098,0.15,1501,1389,-1.3770067072596235,-1.4245009951870768,10000
trailing_sharpe_252,sv_rho098,0.05,501,433,-1.4985123624078582,-1.5427272016555253,10000
trailing_sharpe_252,sv_rho098,0.15,1501,1389,-0.9378423135809821,-0.9860586259210277,10000
known_vol_rolling_252,sv_rho098,0.05,501,433,-1.6654025100895187,-1.7610918106628506,10000
known_vol_rolling_252,sv_rho098,0.15,1501,1389,-0.9547754996466065,-1.0138173399256876,10000
ewma_gaussian,sv_rho098,0.05,501,433,-2.587967809072658,-2.7169291756618286,10000
ewma_gaussian,sv_rho098,0.15,1501,1389,-1.6980048301874298,-1.7486128807272068,10000
ewma_student_t,sv_rho098,0.05,501,433,-2.804072351613301,-2.9295472492107932,10000
ewma_student_t,sv_rho098,0.15,1501,1389,-1.7983224139471452,-1.8676400867598089,10000
binary_gaussian,jump_k5,0.05,501,433,-1.9561761090311194,-2.038897441440935,10000
binary_gaussian,jump_k5,0.15,1501,1389,-1.3014436590067344,-1.3558582487687252,10000
binary_student_t,jump_k5,0.05,501,433,-2.2085988169675015,-2.305062496978561,10000
binary_student_t,jump_k5,0.15,1501,1389,-1.4875621419177167,-1.5439175701370054,10000
trailing_sharpe_252,jump_k5,0.05,501,433,-1.5025983972963748,-1.5587767045285388,10000
trailing_sharpe_252,jump_k5,0.15,1501,1389,-0.9661296131720775,-1.0090497718296052,10000
known_vol_rolling_252,jump_k5,0.05,501,433,-1.5299754578932023,-1.5817531149731658,10000
known_vol_rolling_252,jump_k5,0.15,1501,1389,-0.9643569761333336,-1.0080049572102,10000
ewma_gaussian,jump_k5,0.05,501,433,-2.383879273089507,-2.4796939353563907,10000
ewma_gaussian,jump_k5,0.15,1501,1389,-1.6006119442291353,-1.6677817340670238,10000
ewma_student_t,jump_k5,0.05,501,433,-2.496730525833864,-2.6035927247924855,10000
ewma_student_t,jump_k5,0.15,1501,1389,-1.682611577581437,-1.745331556018523,10000
binary_gaussian,sv_rho0,0.05,501,433,-1.9669604500803524,-2.0540575068534133,10000
binary_gaussian,sv_rho0,0.15,1501,1389,-1.3260313941294284,-1.3748115205828961,10000
binary_student_t,sv_rho0,0.05,501,433,-1.95086522822316,-2.02958289996437,10000
binary_student_t,sv_rho0,0.15,1501,1389,-1.3066756638276404,-1.3578703725947143,10000
trailing_sharpe_252,sv_rho0,0.05,501,433,-1.5082979953569131,-1.5585540320741609,10000
trailing_sharpe_252,sv_rho0,0.15,1501,1389,-0.9767421638251182,-1.0216678503228327,10000
known_vol_rolling_252,sv_rho0,0.05,501,433,-1.5087457565810416,-1.5656596609894189,10000
known_vol_rolling_252,sv_rho0,0.15,1501,1389,-0.9727216738564567,-1.0133016283898701,10000
ewma_gaussian,sv_rho0,0.05,501,433,-2.464728703138993,-2.5682886867405696,10000
ewma_gaussian,sv_rho0,0.15,1501,1389,-1.6836673861421598,-1.744697592208139,10000
ewma_student_t,sv_rho0,0.05,501,433,-2.197405530163669,-2.2944027765208688,10000
ewma_student_t,sv_rho0,0.15,1501,1389,-1.4742990675925318,-1.5259201854898254,10000
