method,far_target,unified_threshold,binding_scenario,threshold_gaussian,threshold_student_t,threshold_sv_rho098,threshold_jump_k5,threshold_sv_rho0
binary_gaussian,0.05,-2.2248819931017287,sv_rho098,-2.047085763294985,-2.034418969167505,-2.2248819931017287,-2.038897441440935,-2.0540575068534133
binary_gaussian,0.15,-1.401444376765194,sv_rho098,-1.3779076567104898,-1.3697195897517565,-1.401444376765194,-1.3558582487687252,-1.3748115205828961
binary_student_t,0.05,-2.52088337439814,gaussian,-2.52088337439814,-2.1834067456124195,-2.1564949333991574,-2.305062496978561,-2.02958289996437
binary_student_t,0.15,-1.7093797208677137,gaussian,-1.7093797208677137,-1.4649085466561163,-1.4245009951870768,-1.5439175701370054,-1.3578703725947143
trailing_sharpe_252,0.05,-1.6112741416431058,gaussian,-1.6112741416431058,-1.5730950048918757,-1.5427272016555253,-1.5587767045285388,-1.5585540320741609
trailing_sharpe_252,0.15,-1.0216678503228327,sv_rho0,-0.9970626114557787,-0.9901425276017027,-0.9860586259210277,-1.0090497718296052,-1.0216678503228327
known_vol_rolling_252,0.05,-1.7610918106628506,sv_rho098,-1.5906287334816667,-1.579122845734352,-1.7610918106628506,-1.5817531149731658,-1.5656596609894189
known_vol_rolling_252,0.15,-1.0138173399256876,sv_rho098,-0.9947811515768025,-0.9872154583394673,-1.0138173399256876,-1.0080049572102,-1.0133016283898701
ewma_gaussian,0.05,-2.7169291756618286,sv_rho098,-2.258795341805713,-2.4876994727971082,-2.7169291756618286,-2.4796939353563907,-2.5682886867405696
ewma_gaussian,0.15,-1.7486128807272068,sv_rho098,-1.517503667064701,-1.6963261553668352,-1.7486128807272068,-1.6677817340670238,-1.744697592208139
ewma_student_t,0.05,-2.9295472492107932,sv_rho098,-2.6258183032086237,-2.413249147981984,-2.9295472492107932,-2.6035927247924855,-2.2944027765208688
ewma_student_t,0.15,-1.8676400867598089,sv_rho098,-1.7987261381869843,-1.6532904930498513,-1.8676400867598089,-1.745331556018523,-1.5259201854898254
