scenario,arm,far_target,method_a,method_b,n_paired_paths,detect_a,detect_b,far_a,far_b,detect_diff,detect_diff_lo,detect_diff_hi,detect_excludes_zero,interval_covers
sv_jump,transfer,0.05,ewma_student_t,binary_student_t,10000,0.5302,0.3018,0.0367,0.016,0.2284,0.21882908654505326,0.23797091345494673,True,"test sampling only, thresholds frozen"
sv_jump,transfer,0.05,ewma_gaussian,binary_gaussian,10000,0.5321,0.2656,0.0858,0.0374,0.2665,0.25585634451343875,0.2771436554865613,True,"test sampling only, thresholds frozen"
sv_jump,transfer,0.05,ewma_student_t,ewma_gaussian,10000,0.5302,0.5321,0.0367,0.0858,-0.0019,-0.010282477059677938,0.0064824770596779374,False,"test sampling only, thresholds frozen"
sv_jump,diagnostic,0.05,ewma_student_t,binary_student_t,10000,0.5453,0.4655,0.0419,0.0427,0.0798,0.07037065613810697,0.08922934386189302,True,"test sampling only, thresholds frozen"
sv_jump,diagnostic,0.05,ewma_gaussian,binary_gaussian,10000,0.3907,0.2957,0.0417,0.0437,0.095,0.08444519812894,0.10555480187106,True,"test sampling only, thresholds frozen"
sv_jump,diagnostic,0.05,ewma_student_t,ewma_gaussian,10000,0.5453,0.3907,0.0419,0.0417,0.1546,0.14567582161542306,0.16352417838457692,True,"test sampling only, thresholds frozen"
sv_jump,transfer,0.15,ewma_student_t,binary_student_t,10000,0.7375,0.5456,0.1286,0.0683,0.1919,0.1827133002737764,0.20108669972622356,True,"test sampling only, thresholds frozen"
sv_jump,transfer,0.15,ewma_gaussian,binary_gaussian,10000,0.7186,0.5435,0.194,0.1318,0.1751,0.16513949047893944,0.18506050952106057,True,"test sampling only, thresholds frozen"
sv_jump,transfer,0.15,ewma_student_t,ewma_gaussian,10000,0.7375,0.7186,0.1286,0.194,0.0189,0.011051357912588815,0.026748642087411185,True,"test sampling only, thresholds frozen"
sv_jump,diagnostic,0.15,ewma_student_t,binary_student_t,10000,0.7488,0.693,0.1378,0.1392,0.0558,0.04748678669911601,0.06411321330088399,True,"test sampling only, thresholds frozen"
sv_jump,diagnostic,0.15,ewma_gaussian,binary_gaussian,10000,0.6385,0.5573,0.1348,0.139,0.0812,0.07103775319020116,0.09136224680979883,True,"test sampling only, thresholds frozen"
sv_jump,diagnostic,0.15,ewma_student_t,ewma_gaussian,10000,0.7488,0.6385,0.1378,0.1348,0.1103,0.10191208171766787,0.11868791828233212,True,"test sampling only, thresholds frozen"
sv_jump_big,transfer,0.05,ewma_student_t,binary_student_t,10000,0.5912,0.2932,0.0354,0.01,0.298,0.28802877338377775,0.3079712266162222,True,"test sampling only, thresholds frozen"
sv_jump_big,transfer,0.05,ewma_gaussian,binary_gaussian,10000,0.6071,0.2593,0.1511,0.0332,0.3478,0.3372732597550785,0.3583267402449215,True,"test sampling only, thresholds frozen"
sv_jump_big,transfer,0.05,ewma_student_t,ewma_gaussian,10000,0.5912,0.6071,0.0354,0.1511,-0.0159,-0.025098669068246898,-0.006701330931753105,True,"test sampling only, thresholds frozen"
sv_jump_big,diagnostic,0.05,ewma_student_t,binary_student_t,10000,0.6097,0.5238,0.0402,0.0403,0.0859,0.07638367820567994,0.09541632179432007,True,"test sampling only, thresholds frozen"
sv_jump_big,diagnostic,0.05,ewma_gaussian,binary_gaussian,10000,0.3093,0.294,0.0439,0.0411,0.0153,0.004964209893477109,0.02563579010652289,True,"test sampling only, thresholds frozen"
sv_jump_big,diagnostic,0.05,ewma_student_t,ewma_gaussian,10000,0.6097,0.3093,0.0402,0.0439,0.3004,0.29030311510855705,0.31049688489144295,True,"test sampling only, thresholds frozen"
sv_jump_big,transfer,0.15,ewma_student_t,binary_student_t,10000,0.7778,0.5576,0.1258,0.0492,0.2202,0.21110075214087076,0.22929924785912925,True,"test sampling only, thresholds frozen"
sv_jump_big,transfer,0.15,ewma_gaussian,binary_gaussian,10000,0.7585,0.535,0.2706,0.1251,0.2235,0.21346823978051918,0.23353176021948083,True,"test sampling only, thresholds frozen"
sv_jump_big,transfer,0.15,ewma_student_t,ewma_gaussian,10000,0.7778,0.7585,0.1258,0.2706,0.0193,0.011022885183280295,0.027577114816719706,True,"test sampling only, thresholds frozen"
sv_jump_big,diagnostic,0.15,ewma_student_t,binary_student_t,10000,0.7954,0.7528,0.1399,0.139,0.0426,0.03476011367941865,0.05043988632058135,True,"test sampling only, thresholds frozen"
sv_jump_big,diagnostic,0.15,ewma_gaussian,binary_gaussian,10000,0.5943,0.5573,0.1439,0.1373,0.037,0.026717032081603698,0.0472829679183963,True,"test sampling only, thresholds frozen"
sv_jump_big,diagnostic,0.15,ewma_student_t,ewma_gaussian,10000,0.7954,0.5943,0.1399,0.1439,0.2011,0.19167418457264826,0.21052581542735174,True,"test sampling only, thresholds frozen"
