method,scenario,far_target,rank,threshold,n_calibration_paths
binary_gaussian,gaussian_ctrl,0.05,433,-2.0189450034021927,10000
binary_gaussian,gaussian_ctrl,0.15,1389,-1.3855392797324528,10000
binary_student_t,gaussian_ctrl,0.05,433,-2.4882649287138916,10000
binary_student_t,gaussian_ctrl,0.15,1389,-1.6960263956623136,10000
trailing_sharpe_252,gaussian_ctrl,0.05,433,-1.5426326928227332,10000
trailing_sharpe_252,gaussian_ctrl,0.15,1389,-1.0154360614436155,10000
known_vol_rolling_252,gaussian_ctrl,0.05,433,-1.5400814008690076,10000
known_vol_rolling_252,gaussian_ctrl,0.15,1389,-1.004374440620404,10000
ewma_gaussian,gaussian_ctrl,0.05,433,-2.240686187116846,10000
ewma_gaussian,gaussian_ctrl,0.15,1389,-1.5308351519920633,10000
ewma_student_t,gaussian_ctrl,0.05,433,-2.6224331314416314,10000
ewma_student_t,gaussian_ctrl,0.15,1389,-1.7872861324693337,10000
binary_gaussian,sv_ctrl,0.05,433,-2.1032716197848558,10000
binary_gaussian,sv_ctrl,0.15,1389,-1.3426982053585328,10000
binary_student_t,sv_ctrl,0.05,433,-2.0691033379520687,10000
binary_student_t,sv_ctrl,0.15,1389,-1.3425281030884502,10000
trailing_sharpe_252,sv_ctrl,0.05,433,-1.5081159728256497,10000
trailing_sharpe_252,sv_ctrl,0.15,1389,-0.936183552530239,10000
known_vol_rolling_252,sv_ctrl,0.05,433,-1.6932783592225904,10000
known_vol_rolling_252,sv_ctrl,0.15,1389,-0.9462633924231408,10000
ewma_gaussian,sv_ctrl,0.05,433,-2.6968258352952716,10000
ewma_gaussian,sv_ctrl,0.15,1389,-1.720937340953941,10000
ewma_student_t,sv_ctrl,0.05,433,-2.884871089419469,10000
ewma_student_t,sv_ctrl,0.15,1389,-1.8477368587673468,10000
binary_gaussian,jump_ctrl,0.05,433,-2.071947215366232,10000
binary_gaussian,jump_ctrl,0.15,1389,-1.3769742103564984,10000
binary_student_t,jump_ctrl,0.05,433,-2.333632919559996,10000
binary_student_t,jump_ctrl,0.15,1389,-1.576757603369278,10000
trailing_sharpe_252,jump_ctrl,0.05,433,-1.547294102038262,10000
trailing_sharpe_252,jump_ctrl,0.15,1389,-0.9901059524069324,10000
known_vol_rolling_252,jump_ctrl,0.05,433,-1.573578583085356,10000
known_vol_rolling_252,jump_ctrl,0.15,1389,-0.9898780505313091,10000
ewma_gaussian,jump_ctrl,0.05,433,-2.520719384056943,10000
ewma_gaussian,jump_ctrl,0.15,1389,-1.6937741340096961,10000
ewma_student_t,jump_ctrl,0.05,433,-2.6442173102799935,10000
ewma_student_t,jump_ctrl,0.15,1389,-1.7803815898244215,10000
binary_gaussian,sv_jump,0.05,433,-2.118917163409256,10000
binary_gaussian,sv_jump,0.15,1389,-1.3643425764918142,10000
binary_student_t,sv_jump,0.05,433,-1.9691516316716937,10000
binary_student_t,sv_jump,0.15,1389,-1.274708860387709,10000
trailing_sharpe_252,sv_jump,0.05,433,-1.5231472611394112,10000
trailing_sharpe_252,sv_jump,0.15,1389,-0.9562114342659229,10000
known_vol_rolling_252,sv_jump,0.05,433,-1.7262048276115507,10000
known_vol_rolling_252,sv_jump,0.15,1389,-0.973516391710708,10000
ewma_gaussian,sv_jump,0.05,433,-3.5422328122989057,10000
ewma_gaussian,sv_jump,0.15,1389,-2.1715052155789305,10000
ewma_student_t,sv_jump,0.05,433,-2.843728873419886,10000
ewma_student_t,sv_jump,0.15,1389,-1.8023267277776127,10000
binary_gaussian,sv_jump_big,0.05,433,-2.102579254399156,10000
binary_gaussian,sv_jump_big,0.15,1389,-1.3447676016606978,10000
binary_student_t,sv_jump_big,0.05,433,-1.805255605344473,10000
binary_student_t,sv_jump_big,0.15,1389,-1.147404303696014,10000
trailing_sharpe_252,sv_jump_big,0.05,433,-1.423020996198493,10000
trailing_sharpe_252,sv_jump_big,0.15,1389,-0.9122547551662394,10000
known_vol_rolling_252,sv_jump_big,0.05,433,-1.6198844131620955,10000
known_vol_rolling_252,sv_jump_big,0.15,1389,-0.9601176976286272,10000
ewma_gaussian,sv_jump_big,0.05,433,-4.89919495439893,10000
ewma_gaussian,sv_jump_big,0.15,1389,-2.803869001545897,10000
ewma_student_t,sv_jump_big,0.05,433,-2.831671625210694,10000
ewma_student_t,sv_jump_big,0.15,1389,-1.7639421922107705,10000
