scenario,method,far_target,n_valid_paths,n_first_alarms,far_total,window_days,p_label_theory,mean_usable_lookback_days,n_on_label_day,share_on_label_day,prob_on_label_day,share_on_label_day_theory,prob_on_label_day_theory,n_within_window,share_within_window,prob_within_window,share_within_window_theory,prob_within_window_theory,n_elsewhere,share_elsewhere,prob_elsewhere,share_elsewhere_theory,prob_elsewhere_theory,share_sum,prob_sum,class2_asymptotic_theory
gaussian_ctrl,binary_student_t,0.05,10000,461,0.0461,20,0.007905097010013639,20.0,4,0.008676789587852495,0.0004,0.007905097010013639,0.0003644249721616288,78,0.16919739696312364,0.0078,0.14561317809937208,0.006712767510381053,379,0.8221258134490239,0.0379,0.8464817248906142,0.03902280751745732,1.0,0.0461,0.14561317809937208
gaussian_ctrl,binary_student_t,0.15,10000,1476,0.1476,20,0.007905097010013639,20.0,11,0.007452574525745257,0.0011,0.007905097010013639,0.0011667923186780133,218,0.14769647696476965,0.0218,0.14561317809937213,0.021492505087467327,1247,0.8448509485094851,0.1247,0.8464817248906142,0.12494070259385467,1.0,0.1476,0.14561317809937208
gaussian_ctrl,ewma_gaussian,0.05,10000,462,0.0462,20,0.007905097010013639,20.0,4,0.008658008658008658,0.0004,0.007905097010013639,0.0003652154818626301,66,0.14285714285714285,0.0066,0.1456131780993721,0.006727328828190991,392,0.8484848484848485,0.0392,0.8464817248906142,0.03910745568994638,1.0,0.0462,0.14561317809937208
gaussian_ctrl,ewma_gaussian,0.15,10000,1463,0.1463,20,0.007905097010013639,20.0,11,0.007518796992481203,0.0011,0.007905097010013639,0.0011565156925649955,230,0.1572112098427888,0.023,0.1456131780993721,0.021303207955938142,1222,0.83526999316473,0.1222,0.8464817248906142,0.12384027635149687,1.0,0.1463,0.14561317809937208
gaussian_ctrl,ewma_student_t,0.05,10000,486,0.0486,20,0.007905097010013639,20.0,9,0.018518518518518517,0.0009,0.007905097010013639,0.00038418771468666285,80,0.1646090534979424,0.008,0.1456131780993721,0.007076800455629484,397,0.8168724279835391,0.0397,0.8464817248906142,0.04113901182968385,1.0,0.0486,0.14561317809937208
gaussian_ctrl,ewma_student_t,0.15,10000,1446,0.1446,20,0.007905097010013639,20.0,13,0.008990318118948824,0.0013,0.007905097010013639,0.0011430770276479722,213,0.14730290456431536,0.0213,0.1456131780993721,0.021055665553169206,1220,0.8437067773167358,0.122,0.8464817248906142,0.12240125741918283,1.0,0.1446,0.14561317809937208
gaussian_ctrl,ewma_trunc_gaussian,0.05,10000,461,0.0461,20,0.007905097010013639,20.0,4,0.008676789587852495,0.0004,0.007905097010013639,0.0003644249721616288,65,0.14099783080260303,0.0065,0.14561317809937208,0.006712767510381053,392,0.8503253796095445,0.0392,0.8464817248906142,0.03902280751745732,1.0,0.046099999999999995,0.14561317809937208
gaussian_ctrl,ewma_trunc_gaussian,0.15,10000,1465,0.1465,20,0.007905097010013639,20.0,11,0.007508532423208191,0.0011,0.007905097010013639,0.0011580967119669981,231,0.157679180887372,0.0231,0.1456131780993721,0.02133233059155801,1223,0.8348122866894198,0.1223,0.8464817248906142,0.12400957269647497,1.0,0.1465,0.14561317809937208
gaussian_ctrl,ewma_trunc_student_t,0.05,10000,486,0.0486,20,0.007905097010013639,20.0,9,0.018518518518518517,0.0009,0.007905097010013639,0.00038418771468666285,80,0.1646090534979424,0.008,0.1456131780993721,0.007076800455629484,397,0.8168724279835391,0.0397,0.8464817248906142,0.04113901182968385,1.0,0.0486,0.14561317809937208
gaussian_ctrl,ewma_trunc_student_t,0.15,10000,1448,0.1448,20,0.007905097010013639,20.0,14,0.009668508287292817,0.0014,0.007905097010013639,0.001144658047049975,213,0.14709944751381215,0.0213,0.1456131780993721,0.02108478818878908,1221,0.8432320441988951,0.1221,0.8464817248906142,0.12257055376416096,1.0,0.1448,0.14561317809937208
