scenario,method,far_target,threshold,first_eligible_day,n_test_valid,n_test_invalid,far_d63,detect_d63,far_d126,detect_d126,far_d252,detect_d252,far_d504,detect_d504,far_total,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,truncation_rule
sv_jump,binary_student_t,0.05,-1.9513411793267041,1,10000,10000,0.0002,0.0006,0.0032,0.023,0.0173,0.1641,0.0414,0.4732,0.0414,410.9247,1.2402983419277391,,not reached within 504d,0.5267999999999999,undetected paths scored at day 504
sv_jump,binary_student_t,0.15,-1.2715559290766394,1,10000,10000,0.009,0.0272,0.0381,0.1513,0.0835,0.409,0.1366,0.6941,0.1366,318.3065,1.595332493354108,310,,0.30589999999999995,undetected paths scored at day 504
sv_jump,ewma_gaussian,0.05,-3.4792325643102897,1,10000,10000,0.0007,0.001,0.0038,0.0273,0.0158,0.1452,0.0443,0.4018,0.0443,423.3109,1.2285228247582929,,not reached within 504d,0.5982000000000001,undetected paths scored at day 504
sv_jump,ewma_gaussian,0.15,-2.177898478006957,1,10000,10000,0.0034,0.0091,0.0225,0.119,0.0687,0.3473,0.1358,0.6359,0.1358,342.0082,1.5583727942480854,363,,0.3641,undetected paths scored at day 504
sv_jump,ewma_student_t,0.05,-2.769415851309927,1,10000,10000,0.0002,0.0029,0.0038,0.0666,0.0174,0.2467,0.0414,0.5646,0.0414,378.1092,1.428452048569187,445,,0.4354,undetected paths scored at day 504
sv_jump,ewma_student_t,0.15,-1.7817128819635761,1,10000,10000,0.0051,0.0401,0.0352,0.2066,0.0808,0.4735,0.1353,0.7586,0.1353,291.2582,1.607712246374554,268,,0.24139999999999995,undetected paths scored at day 504
sv_jump,ewma_trunc_gaussian,0.05,-3.7455996454040017,1,10000,10000,0.0008,0.001,0.0047,0.028,0.0164,0.1405,0.045,0.3928,0.045,426.291,1.2135375310364007,,not reached within 504d,0.6072,undetected paths scored at day 504
sv_jump,ewma_trunc_gaussian,0.15,-2.2633941527091204,1,10000,10000,0.0046,0.0109,0.0253,0.1197,0.0736,0.3523,0.1397,0.6459,0.1397,339.3782,1.557650282931439,356,,0.35409999999999997,undetected paths scored at day 504
sv_jump,ewma_trunc_student_t,0.05,-2.856088791863527,1,10000,10000,0.0001,0.0026,0.0036,0.0682,0.0176,0.2612,0.0414,0.5803,0.0414,373.4836,1.4396450364194253,431,,0.41969999999999996,undetected paths scored at day 504
sv_jump,ewma_trunc_student_t,0.15,-1.8499432676487935,1,10000,10000,0.0041,0.0371,0.0344,0.2098,0.0794,0.4841,0.134,0.7651,0.134,288.1793,1.6014695144184175,262,,0.2349,undetected paths scored at day 504
sv_jump_big,binary_student_t,0.05,-1.8279482874448258,1,10000,10000,0.0002,0.0009,0.0036,0.0266,0.0167,0.1848,0.0369,0.5272,0.0369,398.0615,1.2805963862534708,479,,0.4728,undetected paths scored at day 504
sv_jump_big,binary_student_t,0.15,-1.1647318220953173,1,10000,10000,0.0105,0.0371,0.0402,0.1731,0.0837,0.4636,0.1311,0.7454,0.1311,298.4996,1.587268856314589,274,,0.25460000000000005,undetected paths scored at day 504
sv_jump_big,ewma_gaussian,0.05,-4.950305960927168,1,10000,10000,0.001,0.0012,0.0043,0.0164,0.0166,0.0882,0.0422,0.3126,0.0422,448.0816,1.0410229714212376,,not reached within 504d,0.6874,undetected paths scored at day 504
sv_jump_big,ewma_gaussian,0.15,-2.8727740847919985,1,10000,10000,0.0053,0.0074,0.0218,0.0866,0.0673,0.2942,0.1301,0.579,0.1301,363.9275,1.502430875025012,418,,0.42100000000000004,undetected paths scored at day 504
sv_jump_big,ewma_student_t,0.05,-2.8172424155717324,1,10000,10000,0.0002,0.0045,0.0046,0.0797,0.0175,0.2935,0.0409,0.623,0.0409,358.5939,1.4630530033761828,389,,0.377,undetected paths scored at day 504
sv_jump_big,ewma_student_t,0.15,-1.7642670426765874,1,10000,10000,0.007,0.055,0.0402,0.2458,0.0875,0.5453,0.1361,0.806,0.1361,267.0364,1.5828760207779116,228,,0.19399999999999995,undetected paths scored at day 504
sv_jump_big,ewma_trunc_gaussian,0.05,-5.488821771737441,1,10000,10000,0.0008,0.0011,0.005,0.0186,0.0187,0.0872,0.043,0.3052,0.043,448.5425,1.048672623272907,,not reached within 504d,0.6948,undetected paths scored at day 504
sv_jump_big,ewma_trunc_gaussian,0.15,-3.0812062837278456,1,10000,10000,0.0061,0.0091,0.0255,0.0886,0.071,0.2969,0.1332,0.59,0.1332,361.5198,1.5033959361159899,406,,0.41000000000000003,undetected paths scored at day 504
sv_jump_big,ewma_trunc_student_t,0.05,-2.9453008247653787,1,10000,10000,0.0001,0.0035,0.0041,0.0883,0.0181,0.3264,0.0416,0.6562,0.0416,347.2846,1.4784693528939803,364,,0.3438,undetected paths scored at day 504
sv_jump_big,ewma_trunc_student_t,0.15,-1.8602199595007352,1,10000,10000,0.0047,0.0492,0.0381,0.2598,0.088,0.5642,0.1353,0.8184,0.1353,260.2936,1.5683671181983332,219,,0.18159999999999998,undetected paths scored at day 504
