day,n_reps,brier_a,brier_b,diff,lo,hi,excludes_zero,scenario,a,b
63,2000,0.21965182134138062,0.22025386908714017,-0.0006020477457595597,-0.0008384188286820707,-0.00036147227477927317,True,sv_jump,ewma_trunc_student_t,ewma_student_t
126,2000,0.19683203308724442,0.19794628051749105,-0.0011142474302466288,-0.0015089716267985046,-0.0007231981718963792,True,sv_jump,ewma_trunc_student_t,ewma_student_t
252,2000,0.1580858752716042,0.16002371572682905,-0.001937840455224854,-0.002419993856494042,-0.0014386876523781206,True,sv_jump,ewma_trunc_student_t,ewma_student_t
504,2000,0.10734004329716731,0.11008634479814491,-0.0027463015009775993,-0.0033110899699633264,-0.0021682671260869536,True,sv_jump,ewma_trunc_student_t,ewma_student_t
63,2000,0.22995705416643306,0.23061451770886593,-0.0006574635424328734,-0.0009028342186805698,-0.0004237807025676585,True,sv_jump,ewma_trunc_gaussian,ewma_gaussian
126,2000,0.21552075187371475,0.21766516609287345,-0.0021444142191587023,-0.002666845648271455,-0.0016551297398329703,True,sv_jump,ewma_trunc_gaussian,ewma_gaussian
252,2000,0.18958019321561306,0.1936779680222572,-0.004097774806644139,-0.004779369358169937,-0.0033982793806206124,True,sv_jump,ewma_trunc_gaussian,ewma_gaussian
504,2000,0.1481008743648434,0.1533536334002999,-0.005252759035456495,-0.0061248472687787684,-0.0043591634641794086,True,sv_jump,ewma_trunc_gaussian,ewma_gaussian
63,2000,0.21965182134138062,0.22995705416643306,-0.01030523282505244,-0.011626235446602323,-0.008953183943892978,True,sv_jump,ewma_trunc_student_t,ewma_trunc_gaussian
126,2000,0.19683203308724442,0.21552075187371475,-0.018688718786470326,-0.020602320800195948,-0.016809739099916683,True,sv_jump,ewma_trunc_student_t,ewma_trunc_gaussian
252,2000,0.1580858752716042,0.18958019321561306,-0.031494317944008865,-0.03415286419242438,-0.028964905721719413,True,sv_jump,ewma_trunc_student_t,ewma_trunc_gaussian
504,2000,0.10734004329716731,0.1481008743648434,-0.040760831067676084,-0.043410552235560514,-0.037938305476886244,True,sv_jump,ewma_trunc_student_t,ewma_trunc_gaussian
63,2000,0.2142539743427025,0.21563567148905494,-0.0013816971463524452,-0.0017149051090411163,-0.0010467433987097453,True,sv_jump_big,ewma_trunc_student_t,ewma_student_t
126,2000,0.18573356809088923,0.18814372228492107,-0.002410154194031844,-0.0029522852968111323,-0.0018357529794668262,True,sv_jump_big,ewma_trunc_student_t,ewma_student_t
252,2000,0.1412263546872057,0.14533403351618027,-0.004107678828974559,-0.004797795782585854,-0.0034189851489171965,True,sv_jump_big,ewma_trunc_student_t,ewma_student_t
504,2000,0.08644111335185631,0.09175382389427858,-0.005312710542422272,-0.006135660228060431,-0.004503829773110416,True,sv_jump_big,ewma_trunc_student_t,ewma_student_t
63,2000,0.23231651756429988,0.23337387522019554,-0.0010573576558956521,-0.0014681736735111237,-0.0006552942034387338,True,sv_jump_big,ewma_trunc_gaussian,ewma_gaussian
126,2000,0.22099084176712905,0.2246081549277071,-0.0036173131605780617,-0.0044038352592261154,-0.002861622477542628,True,sv_jump_big,ewma_trunc_gaussian,ewma_gaussian
252,2000,0.20104677630982565,0.20773074502212072,-0.006683968712295069,-0.007719346600803562,-0.005658887770308163,True,sv_jump_big,ewma_trunc_gaussian,ewma_gaussian
504,2000,0.1672651034633846,0.17688728079326638,-0.00962217732988177,-0.010994802518897426,-0.008267620019947795,True,sv_jump_big,ewma_trunc_gaussian,ewma_gaussian
63,2000,0.2142539743427025,0.23231651756429988,-0.018062543221597394,-0.01998938060160869,-0.016273565045309496,True,sv_jump_big,ewma_trunc_student_t,ewma_trunc_gaussian
126,2000,0.18573356809088923,0.22099084176712905,-0.03525727367623982,-0.03790415841949589,-0.032621875710621605,True,sv_jump_big,ewma_trunc_student_t,ewma_trunc_gaussian
252,2000,0.1412263546872057,0.20104677630982565,-0.05982042162261994,-0.06306086788341794,-0.05669723870861076,True,sv_jump_big,ewma_trunc_student_t,ewma_trunc_gaussian
504,2000,0.08644111335185631,0.1672651034633846,-0.0808239901115283,-0.0844296941675152,-0.07705851686618279,True,sv_jump_big,ewma_trunc_student_t,ewma_trunc_gaussian
