scenario,method,arm,far_target,threshold,first_eligible_day,far_alarms,far_lo,far_hi,far_d63,detect_d63,far_d126,detect_d126,far_d252,detect_d252,far_d504,detect_d504,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid
gaussian_ctrl,ewma_gaussian,legacy_threshold,0.05,-2.716929175661829,1,194,0.016875471300350647,0.022293627933543694,0.0,0.0,0.0001,0.0008,0.0039,0.0307,0.0194,0.2042,474.3119,0.7199037630001653,,not reached within 504d,0.7958000000000001,10000,10000
gaussian_ctrl,ewma_student_t,legacy_threshold,0.05,-2.9295472492107932,1,282,0.025132138896511322,0.03163020196605911,0.0,0.0,0.0003,0.0019,0.0055,0.0433,0.0282,0.2334,467.3032,0.8132218147270736,,not reached within 504d,0.7666,10000,10000
gaussian_ctrl,ewma_trunc_gaussian,legacy_threshold,0.05,-2.716929175661829,1,194,0.016875471300350647,0.022293627933543694,0.0,0.0,0.0001,0.0008,0.0039,0.0308,0.0194,0.2046,474.2772,0.7204494158177068,,not reached within 504d,0.7954,10000,10000
gaussian_ctrl,ewma_trunc_student_t,legacy_threshold,0.05,-2.9295472492107932,1,282,0.025132138896511322,0.03163020196605911,0.0,0.0,0.0003,0.0019,0.0055,0.0434,0.0282,0.2336,467.28,0.8135553252402216,,not reached within 504d,0.7664,10000,10000
gaussian_ctrl,ewma_gaussian,legacy_threshold,0.15,-1.7486128807272068,1,1019,0.09612281799686313,0.10798292150586956,0.0003,0.0015,0.0106,0.0377,0.0426,0.1979,0.1019,0.466,401.9469,1.3438674287315697,,not reached within 504d,0.534,10000,10000
gaussian_ctrl,ewma_student_t,legacy_threshold,0.15,-1.8676400867598089,1,1285,0.12208342799375609,0.13520188279565662,0.0012,0.0029,0.0164,0.0556,0.0627,0.2318,0.1285,0.499,389.2161,1.4174460467363619,,not reached within 504d,0.501,10000,10000
gaussian_ctrl,ewma_trunc_gaussian,legacy_threshold,0.15,-1.7486128807272068,1,1018,0.09602543417296856,0.10788038212943828,0.0003,0.0015,0.0106,0.0378,0.0428,0.198,0.1018,0.4661,401.8846,1.3441992097288047,,not reached within 504d,0.5339,10000,10000
gaussian_ctrl,ewma_trunc_student_t,legacy_threshold,0.15,-1.8676400867598089,1,1285,0.12208342799375609,0.13520188279565662,0.0012,0.0029,0.0164,0.0557,0.0627,0.232,0.1285,0.4993,389.0853,1.4178570782206597,,not reached within 504d,0.5006999999999999,10000,10000
gaussian_ctrl,binary_gaussian,per_scenario,0.05,-2.011145242363618,1,476,0.043597783455069775,0.0519496582707184,0.0,0.0002,0.0026,0.0087,0.0154,0.0932,0.0476,0.3427,442.572,1.049110921195894,,not reached within 504d,0.6573,10000,10000
gaussian_ctrl,binary_student_t,per_scenario,0.05,-2.4642687148689535,1,461,0.0421613141098896,0.050387279611010596,0.0,0.0,0.0025,0.0072,0.0143,0.0847,0.0461,0.3189,447.3749,1.0143056130115118,,not reached within 504d,0.6811,10000,10000
gaussian_ctrl,trailing_sharpe_252,per_scenario,0.05,-1.5332993657087854,252,503,0.04618626511967923,0.05475910301490729,0.0,0.0,0.0,0.0,0.0065,0.0563,0.0503,0.2891,456.3016,0.8677034485764519,,not reached within 504d,0.7109,10000,10000
gaussian_ctrl,known_vol_rolling_252,per_scenario,0.05,-1.5386976913583252,252,491,0.045035391683213966,0.053510898047462174,0.0,0.0,0.0,0.0,0.0063,0.0546,0.0491,0.2825,457.5531,0.8589635730815296,,not reached within 504d,0.7175,10000,10000
gaussian_ctrl,ewma_gaussian,per_scenario,0.05,-2.23553729256309,1,462,0.04225704225860869,0.050491474662617365,0.0,0.0,0.0019,0.0067,0.014,0.0872,0.0462,0.3223,446.9219,1.0152510396480028,,not reached within 504d,0.6777,10000,10000
