scenario,arm,far_target,method_a,method_b,n_paired_paths,detect_a,detect_b,far_a,far_b,detect_diff,detect_diff_lo,detect_diff_hi,detect_excludes_zero,interval_covers
gaussian_ctrl,per_scenario,0.05,ewma_trunc_student_t,ewma_student_t,10000,0.3029,0.3028,0.0486,0.0486,0.0001,-9.599639845400547e-05,0.0002959963984540055,False,"test sampling only, thresholds frozen"
gaussian_ctrl,per_scenario,0.05,ewma_trunc_gaussian,ewma_gaussian,10000,0.3219,0.3223,0.0461,0.0462,-0.0004,-0.0008800511543696125,8.005115436961256e-05,False,"test sampling only, thresholds frozen"
gaussian_ctrl,per_scenario,0.05,ewma_trunc_student_t,ewma_trunc_gaussian,10000,0.3029,0.3219,0.0486,0.0461,-0.019,-0.02527951370879659,-0.012720486291203408,True,"test sampling only, thresholds frozen"
gaussian_ctrl,per_scenario,0.15,ewma_trunc_student_t,ewma_student_t,10000,0.5257,0.5258,0.1448,0.1446,-0.0001,-0.0004394870370232622,0.0002394870370232622,False,"test sampling only, thresholds frozen"
gaussian_ctrl,per_scenario,0.15,ewma_trunc_gaussian,ewma_gaussian,10000,0.5451,0.545,0.1465,0.1463,0.0001,-0.00023948703702326215,0.00043948703702326213,False,"test sampling only, thresholds frozen"
gaussian_ctrl,per_scenario,0.15,ewma_trunc_student_t,ewma_trunc_gaussian,10000,0.5257,0.5451,0.1448,0.1465,-0.0194,-0.02613941143097083,-0.012660588569029171,True,"test sampling only, thresholds frozen"
sv_ctrl,per_scenario,0.05,ewma_trunc_student_t,ewma_student_t,10000,0.5344,0.5336,0.0446,0.0445,0.0008,1.613202460693658e-05,0.0015838679753930635,True,"test sampling only, thresholds frozen"
sv_ctrl,per_scenario,0.05,ewma_trunc_gaussian,ewma_gaussian,10000,0.5155,0.5148,0.0445,0.0441,0.0007,-0.00023991257084982043,0.0016399125708498204,False,"test sampling only, thresholds frozen"
sv_ctrl,per_scenario,0.05,ewma_trunc_student_t,ewma_trunc_gaussian,10000,0.5344,0.5155,0.0446,0.0445,0.0189,0.012237438484043371,0.02556256151595663,True,"test sampling only, thresholds frozen"
sv_ctrl,per_scenario,0.15,ewma_trunc_student_t,ewma_student_t,10000,0.7297,0.7297,0.145,0.1446,0.0,-0.0007333880423754177,0.0007333880423754177,False,"test sampling only, thresholds frozen"
