scenario,far_target,kind,sharpe_valid,method,cutoff_H,point,lo,hi,excludes_zero,n_reps,interval_type,resampling,note
gaussian_ctrl,0.05,detect_B_minus_A,1.0,binary_student_t,63,0.1013,0.0902975,0.11109999999999999,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",same cutoff; B spends its budget inside the window
gaussian_ctrl,0.05,far_B_minus_A,1.0,binary_student_t,63,0.0378,0.0322,0.04420249999999999,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",the false alarms that buy the detection difference
gaussian_ctrl,0.05,detect_B_minus_A,1.0,binary_student_t,126,0.1348,0.12390000000000001,0.1483025,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",same cutoff; B spends its budget inside the window
gaussian_ctrl,0.05,far_B_minus_A,1.0,binary_student_t,126,0.0415,0.0354975,0.04710249999999999,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",the false alarms that buy the detection difference
gaussian_ctrl,0.05,detect_B_minus_A,1.0,binary_student_t,252,0.1143,0.1012,0.1273025,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",same cutoff; B spends its budget inside the window
gaussian_ctrl,0.05,far_B_minus_A,1.0,binary_student_t,252,0.032799999999999996,0.0271,0.0382,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",the false alarms that buy the detection difference
gaussian_ctrl,0.05,detect_B_minus_A,1.0,binary_student_t,504,0.0,0.0,0.0,False,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",same cutoff; B spends its budget inside the window
gaussian_ctrl,0.05,far_B_minus_A,1.0,binary_student_t,504,0.0,0.0,0.0,False,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",the false alarms that buy the detection difference
gaussian_ctrl,0.05,detect_B_minus_A,1.0,ewma_student_t,63,0.0978,0.0875975,0.1087025,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",same cutoff; B spends its budget inside the window
gaussian_ctrl,0.05,far_B_minus_A,1.0,ewma_student_t,63,0.038,0.0326,0.04420249999999999,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",the false alarms that buy the detection difference
gaussian_ctrl,0.05,detect_B_minus_A,1.0,ewma_student_t,126,0.1323,0.12100000000000001,0.1474025,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",same cutoff; B spends its budget inside the window
gaussian_ctrl,0.05,far_B_minus_A,1.0,ewma_student_t,126,0.0424,0.0376,0.04840249999999999,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",the false alarms that buy the detection difference
gaussian_ctrl,0.05,detect_B_minus_A,1.0,ewma_student_t,252,0.116,0.1023,0.1289,True,2000,per-comparison; the calibration buffer does not cover these differences,"calibration + test, shared across arms, horizons and methods",same cutoff; B spends its budget inside the window
