detector,day,years,n,brier,brier_base_rate,brier_skill_vs_base_rate,mean_predicted_q,observed_invalid_frac,scenario,sharpe_valid,state_mix,post_alarm
binary_gaussian,63,0.25,20000,0.234594975478758,0.25,0.061620098084968045,0.5000328525829817,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
binary_gaussian,126,0.5,20000,0.22154643967601706,0.25,0.11381424129593176,0.5000365500767978,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
binary_gaussian,252,1.0,20000,0.19671152422831656,0.25,0.21315390308673376,0.5003119450271203,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
binary_gaussian,504,2.0,20000,0.1584752898105132,0.25,0.3660988407579472,0.499836497619126,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
binary_student_t,63,0.25,20000,0.22726936750398208,0.25,0.09092252998407169,0.500753664700476,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
binary_student_t,126,0.5,20000,0.20844862117447088,0.25,0.16620551530211647,0.5015359037508663,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
binary_student_t,252,1.0,20000,0.17463641537107324,0.25,0.301454338515707,0.5006627050914856,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
binary_student_t,504,2.0,20000,0.12548449940059317,0.25,0.4980620023976273,0.5004670997795136,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
ewma_student_t,63,0.25,20000,0.22163303735732848,0.25,0.11346785057068609,0.5004626177473334,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
ewma_student_t,126,0.5,20000,0.19969245482082387,0.25,0.2012301807167045,0.5011014956974789,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
ewma_student_t,252,1.0,20000,0.16067169603196788,0.25,0.3573132158721285,0.500794205561628,0.5,sv_jump,1.0,"50/50 valid/invalid, prior 0.5",all paths kept; nothing deleted after an alarm
