scenario,sharpe_valid,far_target,method_a,method_b,n_paired_paths,trunc_time_a,trunc_time_b,trunc_time_diff_days,trunc_time_diff_lo,trunc_time_diff_hi,excludes_zero,interval_covers,reading
gaussian_ctrl,1.0,0.05,ewma_student_t,binary_student_t,10000,450.6601,449.3339,1.3262,0.5452196535974424,2.107180346402558,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,1.0,0.05,ewma_trunc_student_t,ewma_student_t,10000,450.61,450.6601,-0.0501,-0.1146011998437543,0.014401199843754313,False,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,1.0,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,450.61,458.5115,-7.9015,-9.392433852944357,-6.410566147055643,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,1.0,0.15,ewma_student_t,binary_student_t,10000,376.4175,372.6011,3.8164,2.687198694603146,4.9456013053968535,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,1.0,0.15,ewma_trunc_student_t,ewma_student_t,10000,376.3709,376.4175,-0.0466,-0.13739050393074032,0.04419050393074031,False,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,1.0,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,376.3709,408.0408,-31.6699,-33.91343998193059,-29.42636001806941,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,0.6,0.05,ewma_student_t,binary_student_t,10000,479.9063,479.4353,0.471,-0.14366886453651562,1.0856688645365156,False,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,0.6,0.05,ewma_trunc_student_t,ewma_student_t,10000,479.8944,479.9063,-0.0119,-0.03264110878884141,0.008841108788841406,False,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,0.6,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,479.8944,480.7503,-0.8559,-1.9495019575397081,0.23770195753970802,False,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,0.6,0.15,ewma_student_t,binary_student_t,10000,431.21,428.9196,2.2904,1.32184654478672,3.25895345521328,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,0.6,0.15,ewma_trunc_student_t,ewma_student_t,10000,431.2008,431.21,-0.0092,-0.05337457660915127,0.03497457660915127,False,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
gaussian_ctrl,0.6,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,431.2008,445.8467,-14.6459,-16.464693548763524,-12.827106451236476,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,1.0,0.05,ewma_student_t,binary_student_t,10000,385.0906,425.4991,-40.4085,-42.88382557583405,-37.93317442416594,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,1.0,0.05,ewma_trunc_student_t,ewma_student_t,10000,384.9088,385.0906,-0.1818,-0.36833483605801987,0.004734836058019887,False,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,1.0,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,384.9088,454.7391,-69.8303,-72.45416272931394,-67.20643727068605,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,1.0,0.15,ewma_student_t,binary_student_t,10000,305.7501,334.2371,-28.487,-31.199840097975287,-25.77415990202471,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,1.0,0.15,ewma_trunc_student_t,ewma_student_t,10000,305.4435,305.7501,-0.3066,-0.5003035131151303,-0.11289648688486961,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,1.0,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,305.4435,402.6079,-97.1644,-100.17466830762243,-94.15413169237758,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,0.6,0.05,ewma_student_t,binary_student_t,10000,451.3672,470.6853,-19.3181,-21.265394559654077,-17.370805440345926,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,0.6,0.05,ewma_trunc_student_t,ewma_student_t,10000,451.765,451.3672,0.3978,0.2144511505391435,0.5811488494608565,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,0.6,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,451.765,479.6747,-27.9097,-29.869821922568157,-25.949578077431845,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,0.6,0.15,ewma_student_t,binary_student_t,10000,390.2495,409.6135,-19.364,-21.941972045039783,-16.78602795496022,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,0.6,0.15,ewma_trunc_student_t,ewma_student_t,10000,390.0657,390.2495,-0.1838,-0.399455296092302,0.03185529609230203,False,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_ctrl,0.6,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,390.0657,441.1004,-51.0347,-53.70124789792176,-48.36815210207824,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,1.0,0.05,ewma_student_t,binary_student_t,10000,440.7073,437.7244,2.9829,2.0026667851343385,3.9631332148656613,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,1.0,0.05,ewma_trunc_student_t,ewma_student_t,10000,439.5931,440.7073,-1.1142,-1.6070781399034935,-0.6213218600965067,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,1.0,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,439.5931,454.9578,-15.3647,-17.0417212147094,-13.687678785290597,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,1.0,0.15,ewma_student_t,binary_student_t,10000,362.6528,355.925,6.7278,5.337485557012863,8.118114442987137,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,1.0,0.15,ewma_trunc_student_t,ewma_student_t,10000,361.5458,362.6528,-1.107,-1.7893376265232461,-0.42466237347675384,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,1.0,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,361.5458,406.5185,-44.9727,-47.422975128740845,-42.52242487125916,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,0.6,0.05,ewma_student_t,binary_student_t,10000,474.5327,474.8049,-0.2722,-1.0363719165397474,0.49197191653974737,False,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,0.6,0.05,ewma_trunc_student_t,ewma_student_t,10000,474.0461,474.5327,-0.4866,-0.8893121921249056,-0.08388780787509426,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,0.6,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,474.0461,478.8149,-4.7688,-6.048882519056339,-3.4887174809436603,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,0.6,0.15,ewma_student_t,binary_student_t,10000,422.5511,419.0481,3.503,2.316026820873335,4.689973179126666,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
