scenario,sharpe_valid,method,far_target,setting,failure_kind,T_fixed,mean_T,threshold,working_prob_threshold,working_prob_threshold_note,first_eligible_day,n_paths,n_pre_failure_alarms,pre_failure_far,n_survivors,survival_rate,pre_failure_far_lo,pre_failure_far_hi,joint_detect_h63,joint_detect_h63_lo,joint_detect_h63_hi,cond_detect_h63,cond_detect_h63_lo,cond_detect_h63_hi,joint_check_h63,joint_identity_gap_h63,joint_detect_h126,joint_detect_h126_lo,joint_detect_h126_hi,cond_detect_h126,cond_detect_h126_lo,cond_detect_h126_hi,joint_check_h126,joint_identity_gap_h126,joint_detect_h252,joint_detect_h252_lo,joint_detect_h252_hi,cond_detect_h252,cond_detect_h252_lo,cond_detect_h252_hi,joint_check_h252,joint_identity_gap_h252,expected_min_delay,expected_min_delay_se,delay_cap_days,post_failure_undetected,median_post_failure_delay,median_post_failure_note
gaussian_ctrl,1.0,binary_gaussian,0.05,fixed_T0,fixed,0,0.0,-2.022952282136807,0.883185936490878,,1,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0003,0.00010203219941781012,0.0008817357722363795,0.0003,0.00010203219941781012,0.0008817357722363795,0.0003,0.0,0.0084,0.006790405766700767,0.01038714143134846,0.0084,0.006790405766700767,0.01038714143134846,0.0084,0.0,0.0981,0.09242349649803105,0.1040851613923188,0.0981,0.09242349649803105,0.1040851613923188,0.0981,0.0,245.7859,0.23076254300498036,252,0.9019,,not reached within 252d
gaussian_ctrl,1.0,binary_gaussian,0.15,fixed_T0,fixed,0,0.0,-1.3780807542068807,0.798682584079396,,1,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0088,0.0071487758942133965,0.010828464105139289,0.0088,0.0071487758942133965,0.010828464105139289,0.0088,0.0,0.0871,0.08173060321353506,0.09278650264096966,0.0871,0.08173060321353506,0.09278650264096966,0.0871,0.0,0.2936,0.28475473065700513,0.30260378387041015,0.2936,0.28475473065700513,0.30260378387041015,0.2936,0.0,225.3015,0.5073947819218012,252,0.7063999999999999,,not reached within 252d
gaussian_ctrl,1.0,binary_student_t,0.05,fixed_T0,fixed,0,0.0,-2.515810884644255,0.9252428154793239,,1,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0059,0.004577046502138715,0.007602420687763897,0.0059,0.004577046502138715,0.007602420687763897,0.0059,0.0,0.0833,0.07804261923315418,0.0888774050089677,0.0833,0.07804261923315418,0.0888774050089677,0.0833,0.0,246.9957,0.20380932749802574,252,0.9167,,not reached within 252d
gaussian_ctrl,1.0,binary_student_t,0.15,fixed_T0,fixed,0,0.0,-1.6941503401391478,0.8447691905390815,,1,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0069,0.005456205431184981,0.008722493761976275,0.0069,0.005456205431184981,0.008722493761976275,0.0069,0.0,0.0746,0.0696120472226823,0.07991465859108934,0.0746,0.0696120472226823,0.07991465859108934,0.0746,0.0,0.2705,0.2618828379143779,0.27929341733776264,0.2705,0.2618828379143779,0.27929341733776264,0.2705,0.0,227.8826,0.4829431903821749,252,0.7295,,not reached within 252d
gaussian_ctrl,1.0,trailing_sharpe_252,0.05,fixed_T0,fixed,0,0.0,-1.5750924007815563,,not applicable: the statistic is not a log-odds,252,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0603,0.05580115113730913,0.06513653702986386,0.0603,0.05580115113730913,0.06513653702986386,0.0603,0.0,252.0,0.0,252,0.9397,,not reached within 252d
gaussian_ctrl,1.0,trailing_sharpe_252,0.15,fixed_T0,fixed,0,0.0,-1.0096286942203367,,not applicable: the statistic is not a log-odds,252,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.1584,0.1513752102931381,0.16568713739370816,0.1584,0.1513752102931381,0.16568713739370816,0.1584,0.0,252.0,0.0,252,0.8416,,not reached within 252d
gaussian_ctrl,1.0,ewma_student_t,0.05,fixed_T0,fixed,0,0.0,-2.6382573986973794,0.9332835425973557,,1,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0056,0.004315267073552004,0.007264430515373014,0.0056,0.004315267073552004,0.007264430515373014,0.0056,0.0,0.0824,0.07716963202033106,0.08795108341885804,0.0824,0.07716963202033106,0.08795108341885804,0.0824,0.0,247.2315,0.1980976906591908,252,0.9176,,not reached within 252d
gaussian_ctrl,1.0,ewma_student_t,0.15,fixed_T0,fixed,0,0.0,-1.7886632867338625,0.8567633133673043,,1,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.006,0.0046645228934497195,0.007714867496778757,0.006,0.0046645228934497195,0.007714867496778757,0.006,0.0,0.0688,0.06400283172344769,0.07392832847142382,0.0688,0.06400283172344769,0.07392832847142382,0.0688,0.0,0.2598,0.251298464543516,0.2684860082737569,0.2598,0.251298464543516,0.2684860082737569,0.2598,0.0,228.9809,0.47042659750205845,252,0.7402,,not reached within 252d
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,fixed_T0,fixed,0,0.0,-2.6382573986973794,0.9332835425973557,,1,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0056,0.004315267073552004,0.007264430515373014,0.0056,0.004315267073552004,0.007264430515373014,0.0056,0.0,0.0825,0.07726662124193656,0.0880540173975784,0.0825,0.07726662124193656,0.0880540173975784,0.0825,0.0,247.2275,0.19822165259465407,252,0.9175,,not reached within 252d
gaussian_ctrl,1.0,ewma_trunc_student_t,0.15,fixed_T0,fixed,0,0.0,-1.7890463835489592,0.8568103205595133,,1,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.006,0.0046645228934497195,0.007714867496778757,0.006,0.0046645228934497195,0.007714867496778757,0.006,0.0,0.0689,0.0640994596515586,0.07403162374363877,0.0689,0.0640994596515586,0.07403162374363877,0.0689,0.0,0.2598,0.251298464543516,0.2684860082737569,0.2598,0.251298464543516,0.2684860082737569,0.2598,0.0,228.968,0.47070185215629046,252,0.7402,,not reached within 252d
